,r2_human,pear_human,r2_primates,pear_primates
0,-11.330358505249023,-0.025144707411527634,-12.65864086151123,0.5102530717849731
1,-4.924807548522949,-0.09936735033988953,-14.209216117858887,0.42291495203971863
2,-6.17349910736084,0.0160321444272995,-13.501617431640625,0.6078813076019287
3,-19.47532844543457,-0.024061910808086395,-11.704829216003418,0.6121255159378052
4,-4.025487899780273,0.12566867470741272,-19.488983154296875,0.4860202670097351
5,-3.1009035110473633,-0.051695164293050766,-13.000021934509277,0.4296954572200775
6,-4.612577438354492,0.06576235592365265,-14.058433532714844,0.49383625388145447
7,-4.372020721435547,-0.016100844368338585,-18.290546417236328,0.4194711446762085
8,-4.3667707443237305,0.01339586079120636,-11.822858810424805,0.6262558102607727
9,-4.715175628662109,-0.011433812789618969,-13.806750297546387,0.5203260183334351
