,F1,Accuracy,F1Species,AccuracySpecies,recon_pear_primates,recon_pear_human,recon_r2_primates,recon_r2_human,latent_human_pear,latent_mouse_pear,KNNTranslationF1,ClassifierTranslationF1
0,0.9411764705882353,0.918918918918919,0.9830508474576272,0.972972972972973,0.8243259787559509,0.9215648770332336,-0.03769252076745033,0.7359460592269897,0.2062380313873291,0.4457823634147644,0.8235294117647058,0.9411764705882353
1,0.9696969696969697,0.9444444444444444,0.9491525423728814,0.9166666666666666,0.8450416922569275,0.8545867204666138,-0.28837481141090393,0.2776031196117401,0.25547781586647034,0.2170930802822113,0.6,0.4117647058823529
2,0.9830508474576272,0.9714285714285714,0.9152542372881356,0.8571428571428571,0.6681237816810608,0.8726251721382141,-1.1823121309280396,0.4847087562084198,0.28553083539009094,0.47022494673728943,0.5,0.41379310344827586
3,0.9615384615384616,0.9428571428571428,0.9032258064516129,0.8285714285714286,0.6133529543876648,0.9207929372787476,-1.5358681678771973,0.651731550693512,0.21001651883125305,0.5615503787994385,0.5833333333333334,0.6
4,1.0,1.0,0.9491525423728814,0.9142857142857143,0.7567747831344604,0.8839621543884277,-0.3955223858356476,0.3566041886806488,0.29658371210098267,0.38272473216056824,0.21052631578947367,0.5454545454545454
5,0.8709677419354839,0.7714285714285715,0.9333333333333333,0.8857142857142857,0.8503034710884094,0.8894343376159668,-0.3920387327671051,0.5019338130950928,0.26228171586990356,0.36020058393478394,0.4117647058823529,0.4666666666666667
6,0.9850746268656716,0.9714285714285714,0.9655172413793104,0.9428571428571428,0.8796870708465576,0.7835073471069336,0.19283708930015564,-0.2654951810836792,0.23505368828773499,0.3766576647758484,0.3225806451612903,0.3
7,0.9836065573770492,0.9714285714285714,0.9032258064516129,0.8285714285714286,0.5881381034851074,0.9004672169685364,-1.2299187183380127,0.49363407492637634,0.26684969663619995,0.3796123266220093,0.6666666666666666,0.4666666666666667
8,0.9705882352941176,0.9428571428571428,0.9032258064516129,0.8285714285714286,0.6233354806900024,0.8613978028297424,-1.6481170654296875,0.2962213456630707,0.2504481077194214,0.4510989189147949,0.4444444444444444,0.42424242424242425
9,0.9230769230769231,0.8571428571428571,0.9333333333333333,0.8857142857142857,0.8326493501663208,0.9024155139923096,-0.9562585353851318,0.49548211693763733,0.20396439731121063,0.4676153063774109,0.20512820512820512,0.3783783783783784
