feature,mean_percentage_score,r,quality,annotation
aRhIgG_gp120_ZM109F,5.61774247270814,0.935035669803619,high,""
aRhIgG_Barouch_Boost,13.4509526259704,0.832430130243301,high,""
aRhIgG_gp120_CN54,0.825278011669813,0.693326957523823,good,""
aRhIgG_HIV_p7,18.0450862985631,0.575111496448517,good,""
aRhIgG_Barouch_Prime,9.84847069176108,0.739960186183453,good,""
aRhIgG_Gag,20.0143735660392,0.743394902348518,good,aRhIgG_Gag
aRhIgG_gp120_BAL,0.788770895687908,0.703804130852222,good,""
aRhIgG_gp120_YU2,9.59110786611268,0.86147563457489,high,""
aRhIgG_RSC3_gp120,18.6807664117854,0.724117371439934,good,""
aRhIgG_1086_gp120,-11.517657627247,0.794713957607746,high,""
aRhIgG_gp140_BR29,9.83080758179012,0.655570515990257,good,""
aRhIgG_gp41_HxBc2,9.12034406791939,0.907093280553818,high,""
aRhIgG_p24_HxBc2,-0.363729257630491,0.903732311725616,high,""
aRhIgG_Boost,-11.096462617298,0.863796973228455,high,""
aRhIgG_p17_Clade_C,-4.3591211233008,0.587030138075352,good,""
aRhIgG_gp120_CM235,8.32304061152202,0.847955724596977,high,""
aRhIgG_gp120_Du151,10.3869300524816,0.82168744392693,high,""
aRhIgG_gp120_96ZM651,18.5719713688876,0.707466961443424,good,""
aRhIgG_gp70_V1V2_Clade_AE,11.9181642399796,0.82160639166832,high,""
aRhIgG_NL4_3_integrase,12.5889990182037,0.744158697128296,good,""
aRhIgG_gp120_JRCSF,-23.2198122758745,0.843239685893059,high,aRhIgG_gp120_JRCSF
aRhIgG_gp120_TRO,13.3593322437945,0.646924357116222,good,""
FcgR2AH_gp120_ZM109F,8.66843466282381,0.941066700220108,high,""
FcgR2AH_Barouch_Boost,9.53894480405132,0.858628728985786,high,""
FcgR2AH_gp120_CN54,15.8739266452075,0.656410521268845,good,""
FcgR2AH_HIV_p7,7.32191941034564,0.549263123422861,good,""
FcgR2AH_Barouch_Prime,-5.68016143583165,0.722831305861473,good,""
FcgR2AH_Gag,5.33222922646748,0.398574217408896,medium,""
FcgR2AH_gp120_BAL,13.6716047296928,0.826194924116135,high,""
FcgR2AH_gp120_YU2,-12.4887188939666,0.911780989170074,high,""
FcgR2AH_RSC3_gp120,11.5549038350415,0.825375583767891,high,""
FcgR2AH_1086_gp120,10.8884845073361,0.687125203758478,good,""
FcgR2AH_gp140_BR29,14.7447375192137,0.803224335610867,high,""
FcgR2AH_gp41_HxBc2,3.83178187216584,0.905600339174271,high,""
FcgR2AH_p24_HxBc2,-2.52402919476868,0.922634810209274,high,""
FcgR2AH_Boost,12.0973449529804,0.732531982660294,good,""
FcgR2AH_p17_Clade_C,17.8528918643556,0.731036964058876,good,""
FcgR2AH_gp120_CM235,6.6466211521129,0.797080573975109,high,""
FcgR2AH_gp120_Du151,10.9883751117482,0.806914454698563,high,""
FcgR2AH_gp120_96ZM651,0.65265429082892,0.750205983221531,high,""
