,model_pearson2to1,model_pearson1to2,recon_pear_2,recon_pear_1,F1,Accuracy,model,set,cell,iteration
0,0.5566160082817078,0.5530604720115662,0.7629660367965698,0.7586398124694824,1.0,1.0,model,validation,HCC515,0
1,0.5492284893989563,0.5348358154296875,0.7462859749794006,0.7378864288330078,1.0,1.0,model,validation,HCC515,0
2,0.5379688739776611,0.5177609920501709,0.7430475950241089,0.7354252338409424,1.0,1.0,model,validation,HCC515,0
3,0.5612303018569946,0.5625983476638794,0.7538948655128479,0.7498512864112854,1.0,1.0,model,validation,HCC515,0
4,0.582150399684906,0.5843281149864197,0.7658061981201172,0.761722207069397,1.0,1.0,model,validation,HCC515,0
0,0.5425668954849243,0.5579811334609985,0.7573628425598145,0.761773943901062,1.0,1.0,model,validation,HCC515,1
1,0.5177749395370483,0.5378150343894958,0.7409050464630127,0.745888352394104,1.0,1.0,model,validation,HCC515,1
2,0.5508891940116882,0.556849479675293,0.7400153279304504,0.7415403127670288,1.0,1.0,model,validation,HCC515,1
3,0.5756998062133789,0.5773336291313171,0.7507203221321106,0.7540958523750305,1.0,1.0,model,validation,HCC515,1
4,0.5625150203704834,0.5632255673408508,0.7642748355865479,0.7654294967651367,1.0,1.0,model,validation,HCC515,1
0,0.5502367615699768,0.5512977242469788,0.7619377970695496,0.756525993347168,1.0,1.0,model,validation,HCC515,2
1,0.5283781290054321,0.5435715913772583,0.744447648525238,0.7432171702384949,1.0,1.0,model,validation,HCC515,2
2,0.531058669090271,0.5445722937583923,0.7430357933044434,0.7380778789520264,1.0,1.0,model,validation,HCC515,2
3,0.5720342993736267,0.5509432554244995,0.7567819952964783,0.7470332980155945,1.0,1.0,model,validation,HCC515,2
4,0.5778761506080627,0.5916419625282288,0.7690348625183105,0.7650893926620483,1.0,1.0,model,validation,HCC515,2
0,0.5714195966720581,0.5638531446456909,0.7623564004898071,0.7572662830352783,1.0,1.0,model,validation,HCC515,3
1,0.5420630574226379,0.5157754421234131,0.7450234293937683,0.7388938665390015,1.0,1.0,model,validation,HCC515,3
2,0.5321921706199646,0.5380805730819702,0.7430501580238342,0.7415096163749695,1.0,1.0,model,validation,HCC515,3
3,0.546079158782959,0.5300310254096985,0.7522815465927124,0.7515002489089966,1.0,1.0,model,validation,HCC515,3
4,0.5618059039115906,0.5626544952392578,0.7642420530319214,0.765049397945404,1.0,1.0,model,validation,HCC515,3
0,0.521111011505127,0.5561597943305969,0.7566829323768616,0.7609164118766785,1.0,1.0,model,validation,HCC515,4
1,0.5294976234436035,0.545237123966217,0.7469000220298767,0.7415245771408081,1.0,1.0,model,validation,HCC515,4
2,0.5174185633659363,0.5322969555854797,0.7388208508491516,0.7361717224121094,1.0,1.0,model,validation,HCC515,4
3,0.5570034384727478,0.5723467469215393,0.7512682676315308,0.7573333382606506,1.0,1.0,model,validation,HCC515,4
4,0.5595648884773254,0.5457119345664978,0.7645431756973267,0.7651968598365784,1.0,1.0,model,validation,HCC515,4
