,model_pearson2to1,model_pearson1to2,recon_pear_2,recon_pear_1,F1,Accuracy,model,set,cell,iteration
0,0.6515573859214783,0.6542742252349854,0.7289588451385498,0.7377274036407471,1.0,1.0,model,validation,A549,0
1,0.667572557926178,0.6648486852645874,0.7368968725204468,0.7365084290504456,1.0,1.0,model,validation,A549,0
2,0.6829753518104553,0.6806828379631042,0.7517239451408386,0.7501145601272583,1.0,1.0,model,validation,A549,0
3,0.6390125751495361,0.6405475735664368,0.7197445034980774,0.7200053930282593,1.0,1.0,model,validation,A549,0
4,0.67418372631073,0.6841951012611389,0.7460285425186157,0.7522414326667786,1.0,1.0,model,validation,A549,0
0,0.6585679650306702,0.6535214781761169,0.7339276671409607,0.7335715293884277,1.0,1.0,model,validation,A549,1
1,0.665209949016571,0.6612384915351868,0.73888099193573,0.7402119040489197,1.0,1.0,model,validation,A549,1
2,0.6819405555725098,0.6765848994255066,0.751252293586731,0.750395655632019,1.0,1.0,model,validation,A549,1
3,0.6430559754371643,0.6419247984886169,0.72039395570755,0.7221196293830872,1.0,1.0,model,validation,A549,1
4,0.6764057874679565,0.6770005822181702,0.7480619549751282,0.750049889087677,1.0,1.0,model,validation,A549,1
0,0.6508482098579407,0.6578640937805176,0.7310656905174255,0.7377316951751709,1.0,1.0,model,validation,A549,2
1,0.6655067205429077,0.6692834496498108,0.7376866340637207,0.7404041290283203,1.0,1.0,model,validation,A549,2
2,0.6793379783630371,0.6804764270782471,0.7519246339797974,0.74940425157547,1.0,1.0,model,validation,A549,2
3,0.6379883885383606,0.6399878263473511,0.7177023887634277,0.7215750813484192,1.0,1.0,model,validation,A549,2
4,0.6764339208602905,0.6776010990142822,0.7478928565979004,0.753010094165802,1.0,1.0,model,validation,A549,2
0,0.645490288734436,0.6649941205978394,0.7289784550666809,0.7398748993873596,1.0,1.0,model,validation,A549,3
1,0.6566846966743469,0.6687629222869873,0.7358359098434448,0.7428157329559326,1.0,1.0,model,validation,A549,3
2,0.670549750328064,0.6790372133255005,0.7483771443367004,0.7534400224685669,1.0,1.0,model,validation,A549,3
3,0.6362206339836121,0.6469269394874573,0.7185198664665222,0.724739134311676,1.0,1.0,model,validation,A549,3
4,0.6715775728225708,0.6860032081604004,0.7450974583625793,0.7516697645187378,1.0,1.0,model,validation,A549,3
0,0.6555095911026001,0.652498722076416,0.7358851432800293,0.7321873307228088,1.0,1.0,model,validation,A549,4
1,0.671654224395752,0.6617960929870605,0.7428602576255798,0.7371291518211365,1.0,1.0,model,validation,A549,4
2,0.6793548464775085,0.6736169457435608,0.7555420398712158,0.7493309378623962,1.0,1.0,model,validation,A549,4
3,0.6465668678283691,0.6374310851097107,0.7218632698059082,0.720734179019928,1.0,1.0,model,validation,A549,4
4,0.680090606212616,0.6691172122955322,0.7520543336868286,0.7458741664886475,1.0,1.0,model,validation,A549,4
