fold,model_pearson2to1,model_pearson1to2,recon_pear_2,recon_pear_1,F1,Accuracy,model,set,cell,iteration
0,0.687829971313477,0.677898645401001,0.751604378223419,0.741966187953949,1,1,AutoTransOp v2,validation,MCF7,1
1,0.687295258045197,0.675536692142487,0.752680897712708,0.7394859790802,1,1,AutoTransOp v2,validation,MCF7,1
2,0.688863575458527,0.673948049545288,0.752595782279968,0.742007911205292,1,1,AutoTransOp v2,validation,MCF7,1
3,0.703695952892304,0.691622018814087,0.769069135189056,0.759574949741364,1,1,AutoTransOp v2,validation,MCF7,1
4,0.69449782371521,0.68805605173111,0.757182240486145,0.749168634414673,1,1,AutoTransOp v2,validation,MCF7,1
0,0.679459691047669,0.681558966636658,0.747768521308899,0.750089824199677,1,1,AutoTransOp v2,validation,MCF7,2
1,0.679842233657837,0.680051386356354,0.74527770280838,0.746159374713898,1,1,AutoTransOp v2,validation,MCF7,2
2,0.677613258361816,0.685257613658905,0.745894014835358,0.751612067222595,1,1,AutoTransOp v2,validation,MCF7,2
3,0.697032928466797,0.70044207572937,0.76268607378006,0.764263987541199,1,1,AutoTransOp v2,validation,MCF7,2
4,0.687085092067719,0.689234435558319,0.756123721599579,0.757176339626312,1,1,AutoTransOp v2,validation,MCF7,2
0,0.685165107250214,0.674935579299927,0.75037693977356,0.743464469909668,1,1,AutoTransOp v2,validation,MCF7,3
1,0.683232665061951,0.670764267444611,0.75069671869278,0.744631886482239,1,1,AutoTransOp v2,validation,MCF7,3
2,0.689420640468597,0.677098095417023,0.753300070762634,0.745626449584961,1,1,AutoTransOp v2,validation,MCF7,3
3,0.698466956615448,0.685279488563538,0.766598045825958,0.761739850044251,1,1,AutoTransOp v2,validation,MCF7,3
4,0.69618034362793,0.685906827449799,0.758840084075928,0.752607047557831,1,1,AutoTransOp v2,validation,MCF7,3
0,0.681983530521393,0.679823756217957,0.748562395572662,0.747040450572968,1,1,AutoTransOp v2,validation,MCF7,4
1,0.681156873703003,0.67712813615799,0.750528931617737,0.74780285358429,1,1,AutoTransOp v2,validation,MCF7,4
2,0.679184854030609,0.678717911243439,0.747951865196228,0.749504685401917,1,1,AutoTransOp v2,validation,MCF7,4
3,0.700257062911987,0.694015383720398,0.768096446990967,0.762447357177734,1,1,AutoTransOp v2,validation,MCF7,4
4,0.690109431743622,0.689595460891724,0.755659639835358,0.756473243236542,1,1,AutoTransOp v2,validation,MCF7,4
0,0.651557385921478,0.654274225234985,0.72895884513855,0.737727403640747,1,1,AutoTransOp v2,validation,A549,0
1,0.667572557926178,0.664848685264587,0.736896872520447,0.736508429050446,1,1,AutoTransOp v2,validation,A549,0
2,0.682975351810455,0.680682837963104,0.751723945140839,0.750114560127258,1,1,AutoTransOp v2,validation,A549,0
3,0.639012575149536,0.640547573566437,0.719744503498077,0.720005393028259,1,1,AutoTransOp v2,validation,A549,0
4,0.67418372631073,0.684195101261139,0.746028542518616,0.752241432666779,1,1,AutoTransOp v2,validation,A549,0
0,0.65856796503067,0.653521478176117,0.733927667140961,0.733571529388428,1,1,AutoTransOp v2,validation,A549,1
1,0.665209949016571,0.661238491535187,0.73888099193573,0.74021190404892,1,1,AutoTransOp v2,validation,A549,1
2,0.68194055557251,0.676584899425507,0.751252293586731,0.750395655632019,1,1,AutoTransOp v2,validation,A549,1
3,0.643055975437164,0.641924798488617,0.72039395570755,0.722119629383087,1,1,AutoTransOp v2,validation,A549,1
4,0.676405787467957,0.67700058221817,0.748061954975128,0.750049889087677,1,1,AutoTransOp v2,validation,A549,1
0,0.650848209857941,0.657864093780518,0.731065690517426,0.737731695175171,1,1,AutoTransOp v2,validation,A549,2
1,0.665506720542908,0.669283449649811,0.737686634063721,0.74040412902832,1,1,AutoTransOp v2,validation,A549,2
2,0.679337978363037,0.680476427078247,0.751924633979797,0.74940425157547,1,1,AutoTransOp v2,validation,A549,2
3,0.637988388538361,0.639987826347351,0.717702388763428,0.721575081348419,1,1,AutoTransOp v2,validation,A549,2
4,0.676433920860291,0.677601099014282,0.7478928565979,0.753010094165802,1,1,AutoTransOp v2,validation,A549,2
0,0.645490288734436,0.664994120597839,0.728978455066681,0.73987489938736,1,1,AutoTransOp v2,validation,A549,3
1,0.656684696674347,0.668762922286987,0.735835909843445,0.742815732955933,1,1,AutoTransOp v2,validation,A549,3
2,0.670549750328064,0.679037213325501,0.7483771443367,0.753440022468567,1,1,AutoTransOp v2,validation,A549,3
3,0.636220633983612,0.646926939487457,0.718519866466522,0.724739134311676,1,1,AutoTransOp v2,validation,A549,3
4,0.671577572822571,0.6860032081604,0.745097458362579,0.751669764518738,1,1,AutoTransOp v2,validation,A549,3
0,0.6555095911026,0.652498722076416,0.735885143280029,0.732187330722809,1,1,AutoTransOp v2,validation,A549,4
1,0.671654224395752,0.661796092987061,0.74286025762558,0.737129151821137,1,1,AutoTransOp v2,validation,A549,4
2,0.679354846477509,0.673616945743561,0.755542039871216,0.749330937862396,1,1,AutoTransOp v2,validation,A549,4
3,0.646566867828369,0.637431085109711,0.721863269805908,0.720734179019928,1,1,AutoTransOp v2,validation,A549,4
4,0.680090606212616,0.669117212295532,0.752054333686829,0.745874166488648,1,1,AutoTransOp v2,validation,A549,4
0,0.595204710960388,0.589444816112518,0.701480984687805,0.691940784454346,1,1,AutoTransOp v2,validation,NPC,0
1,0.634805560112,0.623691976070404,0.723947286605835,0.713051378726959,1,1,AutoTransOp v2,validation,NPC,0
2,0.642132043838501,0.638420701026917,0.730557858943939,0.72577828168869,1,1,AutoTransOp v2,validation,NPC,0
3,0.64546000957489,0.631196737289429,0.732534170150757,0.721575379371643,1,1,AutoTransOp v2,validation,NPC,0
4,0.634866416454315,0.60435301065445,0.72101891040802,0.712001800537109,1,1,AutoTransOp v2,validation,NPC,0
0,0.591034471988678,0.601817786693573,0.692351222038269,0.699575960636139,1,1,AutoTransOp v2,validation,NPC,1
1,0.610972225666046,0.638359069824219,0.712961494922638,0.720474779605866,1,1,AutoTransOp v2,validation,NPC,1
2,0.622544527053833,0.638752043247223,0.720826804637909,0.734573841094971,1,1,AutoTransOp v2,validation,NPC,1
3,0.623813271522522,0.644484579563141,0.725871682167053,0.730680644512177,1,1,AutoTransOp v2,validation,NPC,1
4,0.606881618499756,0.621688783168793,0.714766204357147,0.715097367763519,1,1,AutoTransOp v2,validation,NPC,1
0,0.600705504417419,0.582772672176361,0.699745714664459,0.68952351808548,1,1,AutoTransOp v2,validation,NPC,2
1,0.642041265964508,0.60715264081955,0.725201725959778,0.707622230052948,1,1,AutoTransOp v2,validation,NPC,2
2,0.624151349067688,0.615242123603821,0.734952390193939,0.720695853233337,1,1,AutoTransOp v2,validation,NPC,2
3,0.61720997095108,0.61940860748291,0.729902148246765,0.724440693855286,1,1,AutoTransOp v2,validation,NPC,2
4,0.626774489879608,0.609351575374603,0.721909105777741,0.711092472076416,1,1,AutoTransOp v2,validation,NPC,2
0,0.599182546138763,0.599108040332794,0.692566752433777,0.696214973926544,1,1,AutoTransOp v2,validation,NPC,3
1,0.630763649940491,0.623862028121948,0.71968287229538,0.715279221534729,1,1,AutoTransOp v2,validation,NPC,3
2,0.645942270755768,0.635318875312805,0.730430901050568,0.727376639842987,1,1,AutoTransOp v2,validation,NPC,3
3,0.62115478515625,0.637184679508209,0.72895473241806,0.722730278968811,1,1,AutoTransOp v2,validation,NPC,3
4,0.626069962978363,0.627215325832367,0.718592643737793,0.712874710559845,1,1,AutoTransOp v2,validation,NPC,3
0,0.595639228820801,0.601015269756317,0.689560472965241,0.697911381721497,1,1,AutoTransOp v2,validation,NPC,4
1,0.615236461162567,0.636098504066467,0.711634814739227,0.721834182739258,1,1,AutoTransOp v2,validation,NPC,4
2,0.635616481304169,0.649978339672089,0.725305318832398,0.734419405460358,1,1,AutoTransOp v2,validation,NPC,4
3,0.63910037279129,0.628144860267639,0.722130000591278,0.728470504283905,1,1,AutoTransOp v2,validation,NPC,4
4,0.626263022422791,0.63089781999588,0.718757510185242,0.717382252216339,1,1,AutoTransOp v2,validation,NPC,4
0,0.690676987171173,0.693996787071228,0.760329008102417,0.75998055934906,1,1,AutoTransOp v2,validation,HEPG2,0
1,0.662965834140778,0.661668956279755,0.740430355072022,0.739404678344727,1,1,AutoTransOp v2,validation,HEPG2,0
2,0.686805188655853,0.684835493564606,0.755035936832428,0.751736223697662,1,1,AutoTransOp v2,validation,HEPG2,0
3,0.670077383518219,0.682434380054474,0.750353693962097,0.752946257591248,1,1,AutoTransOp v2,validation,HEPG2,0
4,0.676179587841034,0.676137030124664,0.75003457069397,0.746992647647858,1,1,AutoTransOp v2,validation,HEPG2,0
0,0.689635992050171,0.701996028423309,0.754674553871155,0.768516480922699,1,1,AutoTransOp v2,validation,HEPG2,1
1,0.657539546489716,0.670540511608124,0.732784688472748,0.74486368894577,1,1,AutoTransOp v2,validation,HEPG2,1
2,0.68158346414566,0.687758326530457,0.747146546840668,0.757634043693543,1,1,AutoTransOp v2,validation,HEPG2,1
3,0.67708033323288,0.68895560503006,0.747629225254059,0.75745439529419,1,1,AutoTransOp v2,validation,HEPG2,1
4,0.670110166072846,0.675099968910217,0.745483040809631,0.749716639518738,1,1,AutoTransOp v2,validation,HEPG2,1
0,0.687256813049316,0.69659298658371,0.756990194320679,0.762765288352966,1,1,AutoTransOp v2,validation,HEPG2,2
1,0.660537660121918,0.666550099849701,0.737698078155518,0.742344260215759,1,1,AutoTransOp v2,validation,HEPG2,2
2,0.67863655090332,0.685283720493317,0.752160429954529,0.7564377784729,1,1,AutoTransOp v2,validation,HEPG2,2
3,0.677136838436127,0.687938094139099,0.748107671737671,0.75571483373642,1,1,AutoTransOp v2,validation,HEPG2,2
4,0.670005083084106,0.672838091850281,0.745404422283173,0.746603906154633,1,1,AutoTransOp v2,validation,HEPG2,2
0,0.693214297294617,0.690747976303101,0.760024845600128,0.759366273880005,1,1,AutoTransOp v2,validation,HEPG2,3
1,0.671519815921783,0.661211133003235,0.742091417312622,0.738852381706238,1,1,AutoTransOp v2,validation,HEPG2,3
2,0.687249600887299,0.686766445636749,0.753118753433228,0.753427505493164,1,1,AutoTransOp v2,validation,HEPG2,3
3,0.684879720211029,0.675761938095093,0.751794815063477,0.749023854732513,1,1,AutoTransOp v2,validation,HEPG2,3
4,0.676419198513031,0.674116849899292,0.74894642829895,0.745934188365936,1,1,AutoTransOp v2,validation,HEPG2,3
0,0.684703469276428,0.702141284942627,0.753665566444397,0.764996886253357,1,1,AutoTransOp v2,validation,HEPG2,4
1,0.657303929328919,0.671881973743439,0.734573543071747,0.743964016437531,1,1,AutoTransOp v2,validation,HEPG2,4
2,0.674809634685516,0.68949294090271,0.747394323348999,0.760973572731018,1,1,AutoTransOp v2,validation,HEPG2,4
3,0.670505821704865,0.688977181911469,0.746840000152588,0.756264507770538,1,1,AutoTransOp v2,validation,HEPG2,4
4,0.665865957736969,0.678408026695252,0.739493429660797,0.753600716590881,1,1,AutoTransOp v2,validation,HEPG2,4
0,0.709827482700348,0.707256734371185,0.777664124965668,0.774592518806458,1,1,AutoTransOp v2,validation,A375,0
1,0.689648330211639,0.683891296386719,0.756065547466278,0.751417279243469,1,1,AutoTransOp v2,validation,A375,0
2,0.70801717042923,0.702000081539154,0.777691721916199,0.77020525932312,1,1,AutoTransOp v2,validation,A375,0
3,0.682583153247833,0.675069630146027,0.757819294929504,0.75070732831955,1,1,AutoTransOp v2,validation,A375,0
4,0.685704708099365,0.687723577022553,0.762000918388367,0.75710254907608,1,1,AutoTransOp v2,validation,A375,0
0,0.700478613376617,0.71293318271637,0.768883645534515,0.782118558883667,1,1,AutoTransOp v2,validation,A375,1
1,0.68261581659317,0.692504167556763,0.751502990722656,0.757505536079407,1,1,AutoTransOp v2,validation,A375,1
2,0.696772217750549,0.70651775598526,0.768277585506439,0.778179883956909,1,1,AutoTransOp v2,validation,A375,1
3,0.673542380332947,0.68434488773346,0.750097393989563,0.756731688976288,1,1,AutoTransOp v2,validation,A375,1
4,0.678602039813995,0.693274736404419,0.755996465682983,0.766601324081421,1,1,AutoTransOp v2,validation,A375,1
0,0.710080981254578,0.708650827407837,0.779147446155548,0.772989988327026,1,1,AutoTransOp v2,validation,A375,2
1,0.686715245246887,0.688664615154266,0.754689335823059,0.757634580135346,1,1,AutoTransOp v2,validation,A375,2
2,0.706009387969971,0.703612446784973,0.774330496788025,0.772757232189179,1,1,AutoTransOp v2,validation,A375,2
3,0.67188435792923,0.676016509532929,0.751824676990509,0.754519879817963,1,1,AutoTransOp v2,validation,A375,2
4,0.682974815368652,0.688181579113007,0.758044183254242,0.76220577955246,1,1,AutoTransOp v2,validation,A375,2
0,0.706933856010437,0.708360850811005,0.775129556655884,0.77675873041153,1,1,AutoTransOp v2,validation,A375,3
1,0.687090933322907,0.689324676990509,0.751302301883698,0.753972828388214,1,1,AutoTransOp v2,validation,A375,3
2,0.699316561222076,0.703234553337097,0.773100554943085,0.772535264492035,1,1,AutoTransOp v2,validation,A375,3
3,0.677041828632355,0.680620968341827,0.752097368240356,0.753602206707001,1,1,AutoTransOp v2,validation,A375,3
4,0.680218636989594,0.686766088008881,0.757705509662628,0.76306164264679,1,1,AutoTransOp v2,validation,A375,3
0,0.716699957847595,0.706422924995422,0.779536902904511,0.771754086017609,1,1,AutoTransOp v2,validation,A375,4
1,0.689852952957153,0.685503959655762,0.75607830286026,0.753554224967957,1,1,AutoTransOp v2,validation,A375,4
2,0.709124028682709,0.695416808128357,0.777771234512329,0.76830917596817,1,1,AutoTransOp v2,validation,A375,4
3,0.678868591785431,0.672369480133057,0.75481253862381,0.752127408981323,1,1,AutoTransOp v2,validation,A375,4
4,0.690085172653198,0.681468486785889,0.76421982049942,0.759406268596649,1,1,AutoTransOp v2,validation,A375,4
0,0.611666619777679,0.62438690662384,0.701417624950409,0.711233615875244,1,1,AutoTransOp v2,validation,YAPC,0
1,0.635631144046783,0.634140431880951,0.706685304641724,0.712215542793274,1,1,AutoTransOp v2,validation,YAPC,0
2,0.621208906173706,0.616404950618744,0.699840843677521,0.697950184345245,1,1,AutoTransOp v2,validation,YAPC,0
3,0.569742202758789,0.572049200534821,0.669033288955689,0.67091715335846,1,1,AutoTransOp v2,validation,YAPC,0
4,0.639374434947968,0.616468787193298,0.70915561914444,0.702659964561462,1,1,AutoTransOp v2,validation,YAPC,0
0,0.619612097740173,0.634733140468597,0.704934060573578,0.70798933506012,1,1,AutoTransOp v2,validation,YAPC,1
1,0.623118758201599,0.626743316650391,0.713928818702698,0.70958024263382,1,1,AutoTransOp v2,validation,YAPC,1
2,0.608752429485321,0.610089302062988,0.69776314496994,0.7043337225914,1,1,AutoTransOp v2,validation,YAPC,1
3,0.57462602853775,0.559372782707214,0.675353586673737,0.668142199516296,1,1,AutoTransOp v2,validation,YAPC,1
4,0.618573188781738,0.629425585269928,0.699060678482056,0.708943605422974,1,1,AutoTransOp v2,validation,YAPC,1
0,0.627400457859039,0.63503360748291,0.70710414648056,0.71032851934433,1,1,AutoTransOp v2,validation,YAPC,2
1,0.6161327958107,0.638140618801117,0.708061814308167,0.713419497013092,1,1,AutoTransOp v2,validation,YAPC,2
2,0.609950423240662,0.60993218421936,0.70142525434494,0.698179364204407,1,1,AutoTransOp v2,validation,YAPC,2
3,0.573016881942749,0.589040219783783,0.665304780006409,0.68231338262558,1,1,AutoTransOp v2,validation,YAPC,2
4,0.633416473865509,0.629720509052277,0.703085660934448,0.704610466957092,1,1,AutoTransOp v2,validation,YAPC,2
0,0.612566530704498,0.611346185207367,0.708680272102356,0.706442654132843,1,1,AutoTransOp v2,validation,YAPC,3
1,0.62425708770752,0.624780416488648,0.711069524288178,0.712305128574371,1,1,AutoTransOp v2,validation,YAPC,3
2,0.609986841678619,0.626058995723724,0.692305266857147,0.710070252418518,1,1,AutoTransOp v2,validation,YAPC,3
3,0.570303857326508,0.592663466930389,0.659228384494782,0.684082269668579,1,1,AutoTransOp v2,validation,YAPC,3
4,0.628715515136719,0.627730965614319,0.69963002204895,0.70639306306839,1,1,AutoTransOp v2,validation,YAPC,3
0,0.626376450061798,0.631699800491333,0.702362835407257,0.712456524372101,1,1,AutoTransOp v2,validation,YAPC,4
1,0.628899097442627,0.645181715488434,0.712092161178589,0.712844669818878,1,1,AutoTransOp v2,validation,YAPC,4
2,0.594601511955261,0.621965825557709,0.691453278064728,0.707952380180359,1,1,AutoTransOp v2,validation,YAPC,4
3,0.579291164875031,0.59978860616684,0.669317007064819,0.680599331855774,1,1,AutoTransOp v2,validation,YAPC,4
4,0.63207083940506,0.633183896541596,0.703042685985565,0.707627534866333,1,1,AutoTransOp v2,validation,YAPC,4
0,0.797277867794037,0.800927519798279,0.828242778778076,0.83057028055191,1,1,AutoTransOp v2,validation,U2OS,0
1,0.801640570163727,0.803745746612549,0.83135724067688,0.835446715354919,1,1,AutoTransOp v2,validation,U2OS,0
2,0.789902985095978,0.793933510780335,0.818053066730499,0.820639491081238,1,1,AutoTransOp v2,validation,U2OS,0
3,0.77993232011795,0.79750007390976,0.815149188041687,0.825272560119629,1,1,AutoTransOp v2,validation,U2OS,0
4,0.792305111885071,0.79395341873169,0.821583330631256,0.825333416461945,1,1,AutoTransOp v2,validation,U2OS,0
0,0.802427172660828,0.800270736217499,0.832011520862579,0.831003308296204,1,1,AutoTransOp v2,validation,U2OS,1
1,0.799946486949921,0.798474192619324,0.83233904838562,0.833638370037079,1,1,AutoTransOp v2,validation,U2OS,1
2,0.797595322132111,0.793483078479767,0.822824060916901,0.82145094871521,1,1,AutoTransOp v2,validation,U2OS,1
3,0.787372767925263,0.789325535297394,0.81814569234848,0.82037091255188,1,1,AutoTransOp v2,validation,U2OS,1
4,0.793380856513977,0.790709137916565,0.824820458889008,0.823915004730225,1,1,AutoTransOp v2,validation,U2OS,1
0,0.799847960472107,0.798306524753571,0.832182586193085,0.827737212181091,1,1,AutoTransOp v2,validation,U2OS,2
1,0.801723480224609,0.801894724369049,0.83431339263916,0.83264833688736,1,1,AutoTransOp v2,validation,U2OS,2
2,0.790730714797974,0.7884561419487,0.821410834789276,0.820381760597229,1,1,AutoTransOp v2,validation,U2OS,2
3,0.787826776504517,0.785545587539673,0.819340288639069,0.816396772861481,1,1,AutoTransOp v2,validation,U2OS,2
4,0.793141603469849,0.792925655841827,0.820981562137604,0.822256624698639,1,1,AutoTransOp v2,validation,U2OS,2
0,0.793226361274719,0.798325538635254,0.827676773071289,0.828731894493103,1,1,AutoTransOp v2,validation,U2OS,3
1,0.798767924308777,0.801149785518646,0.83423513174057,0.832381248474121,1,1,AutoTransOp v2,validation,U2OS,3
2,0.793293952941895,0.795087099075317,0.824418902397156,0.822039306163788,1,1,AutoTransOp v2,validation,U2OS,3
3,0.789523184299469,0.792848289012909,0.816693425178528,0.824109256267548,1,1,AutoTransOp v2,validation,U2OS,3
4,0.79113632440567,0.794181883335114,0.822329759597778,0.820768058300018,1,1,AutoTransOp v2,validation,U2OS,3
0,0.796856284141541,0.798162937164307,0.828125834465027,0.828738927841187,1,1,AutoTransOp v2,validation,U2OS,4
1,0.800590455532074,0.807913720607758,0.832675397396088,0.836816668510437,1,1,AutoTransOp v2,validation,U2OS,4
2,0.790999531745911,0.793623268604279,0.821490526199341,0.823857665061951,1,1,AutoTransOp v2,validation,U2OS,4
3,0.787030696868897,0.794054508209229,0.817679405212402,0.821838974952698,1,1,AutoTransOp v2,validation,U2OS,4
4,0.79118287563324,0.797613263130188,0.820501327514648,0.827678680419922,1,1,AutoTransOp v2,validation,U2OS,4
0,0.681597292423248,0.707133948802948,0.74343740940094,0.760744035243988,1,1,AutoTransOp v2,validation,MCF10A,0
1,0.670307219028473,0.673442959785461,0.738314211368561,0.751858770847321,1,1,AutoTransOp v2,validation,MCF10A,0
2,0.623674631118774,0.626007080078125,0.702509999275208,0.706930339336395,1,1,AutoTransOp v2,validation,MCF10A,0
3,0.612836539745331,0.607268571853638,0.703041911125183,0.704415082931519,1,1,AutoTransOp v2,validation,MCF10A,0
4,0.661541342735291,0.669198930263519,0.741187036037445,0.743939518928528,1,1,AutoTransOp v2,validation,MCF10A,0
0,0.678916215896606,0.679263174533844,0.750858902931213,0.753566920757294,1,1,AutoTransOp v2,validation,MCF10A,1
1,0.682316064834595,0.678236603736877,0.746207416057587,0.746868491172791,1,1,AutoTransOp v2,validation,MCF10A,1
2,0.623563766479492,0.619475185871124,0.701318383216858,0.701721787452698,1,1,AutoTransOp v2,validation,MCF10A,1
3,0.612147033214569,0.597723424434662,0.695739328861237,0.706728041172028,1,1,AutoTransOp v2,validation,MCF10A,1
4,0.652562141418457,0.65538763999939,0.741672277450562,0.741209506988525,1,1,AutoTransOp v2,validation,MCF10A,1
0,0.691825151443481,0.691726744174957,0.756665647029877,0.751665890216827,1,1,AutoTransOp v2,validation,MCF10A,2
1,0.677684903144836,0.664004564285278,0.748257696628571,0.74364709854126,1,1,AutoTransOp v2,validation,MCF10A,2
2,0.633493602275848,0.627644658088684,0.70591676235199,0.700025916099548,1,1,AutoTransOp v2,validation,MCF10A,2
3,0.624201416969299,0.614978671073914,0.703791737556458,0.702605247497559,1,1,AutoTransOp v2,validation,MCF10A,2
4,0.66299831867218,0.659743964672089,0.745367527008057,0.737851858139038,1,1,AutoTransOp v2,validation,MCF10A,2
