,metric,DCS,DCS modified v1,DCS modified v2,DCS modified v3
DCS,pearson,1.0,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002
DCS modified v1,pearson,0.0,1.0,0.00018267179110955002,0.00018267179110955002
DCS modified v2,pearson,0.0,0.0,1.0,0.025748080821108063
DCS modified v3,pearson,0.0,0.0,0.0,1.0
DCS,spearman,1.0,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002
DCS modified v1,spearman,0.0,1.0,0.00018267179110955002,0.00018267179110955002
DCS modified v2,spearman,0.0,0.0,1.0,0.10410988966022681
DCS modified v3,spearman,0.0,0.0,0.0,1.0
DCS,sign accuracy,1.0,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002
DCS modified v1,sign accuracy,0.0,1.0,0.00018267179110955002,0.00018267179110955002
DCS modified v2,sign accuracy,0.0,0.0,1.0,0.18587673236587576
DCS modified v3,sign accuracy,0.0,0.0,0.0,1.0
