,metric,DCS,DCS modified v1,DCS modified v2,DCS modified v3
direct translation,pearson,0.0211339281291611,0.0211339281291611,0.00018267179110955002,0.00032983852077799353
DCS,pearson,1.0,0.9097218891455553,0.0211339281291611,0.04515456962427901
DCS modified v1,pearson,0.0,1.0,0.03763531378731424,0.04515456962427901
DCS modified v2,pearson,0.0,0.0,1.0,0.8501067391385259
DCS modified v3,pearson,0.0,0.0,0.0,1.0
direct translation,spearman,0.011329696684474665,0.011329696684474665,0.00018267179110955002,0.00032983852077799353
DCS,spearman,1.0,0.9698499769931556,0.053902557169387175,0.031209012771740218
DCS modified v1,spearman,0.0,1.0,0.03763531378731424,0.04515456962427901
DCS modified v2,spearman,0.0,0.0,1.0,1.0
DCS modified v3,spearman,0.0,0.0,0.0,1.0
direct translation,sign accuracy,0.017257456083119765,0.017257456083119765,0.00018267179110955002,0.00032983852077799353
DCS,sign accuracy,1.0,0.9097218891455553,0.053902557169387175,0.0211339281291611
DCS modified v1,sign accuracy,0.0,1.0,0.03763531378731424,0.031209012771740218
DCS modified v2,sign accuracy,0.0,0.0,1.0,0.8501067391385259
DCS modified v3,sign accuracy,0.0,0.0,0.0,1.0
