,metric,direct translation,DCS,DCS modified v1,DCS modified v2,DCS modified v3
direct translation,pearson,1.0,0.031209012771740218,0.031209012771740218,0.0013149446697132139,0.0028272720911168077
DCS,pearson,0.0,1.0,0.8501067391385259,0.07566157214388704,0.14046504815835495
DCS modified v1,pearson,0.0,0.0,1.0,0.10410988966022681,0.14046504815835495
DCS modified v2,pearson,0.0,0.0,0.0,1.0,0.7337299956962472
DCS modified v3,pearson,0.0,0.0,0.0,0.0,1.0
direct translation,spearman,1.0,0.025748080821108063,0.025748080821108063,0.0010079762403767444,0.0022022199424970783
DCS,spearman,0.0,1.0,1.0,0.08897301170181328,0.14046504815835495
DCS modified v1,spearman,0.0,0.0,1.0,0.10410988966022681,0.12122450301291662
DCS modified v2,spearman,0.0,0.0,0.0,1.0,0.7913367801006604
DCS modified v3,spearman,0.0,0.0,0.0,0.0,1.0
direct translation,sign accuracy,1.0,0.025748080821108063,0.025748080821108063,0.0017062493689195964,0.0022022199424970783
DCS,sign accuracy,0.0,1.0,0.9698499769931556,0.08897301170181328,0.10410988966022681
DCS modified v1,sign accuracy,0.0,0.0,1.0,0.08897301170181328,0.10410988966022681
DCS modified v2,sign accuracy,0.0,0.0,0.0,1.0,0.8501067391385259
DCS modified v3,sign accuracy,0.0,0.0,0.0,0.0,1.0
