,model_pearsonHT29,model_pearsonA375,model_spearHT29,model_spearA375,model_accHT29,model_accA375,recon_pear_ht29,recon_pear_a375,recon_spear_ht29,recon_spear_a375,recon_acc_ht29,recon_acc_a375,cross_corr_ht29,cross_corr_a375,Direct_pearson,Direct_spearman,DirectAcc_ht29,DirectAcc_a375
0,0.6185255646705627,0.6019366383552551,0.5339652100506795,0.5143006445748692,0.6878643664485425,0.6797441998810232,0.9052942991256714,0.8947370648384094,0.8826241631658992,0.8710222404076957,0.8585437960809762,0.8524679423623504,0.8448215126991272,0.8489649295806885,0.49128738045692444,0.21341686761214718,0.642906008328376,0.642906008328376
1,0.5652722120285034,0.5558655858039856,0.4631705298879651,0.45619243546749094,0.6644606385088242,0.6616398968867738,0.8996890783309937,0.8940609693527222,0.8773592831405992,0.8661415188621487,0.8554549059903018,0.848678861788618,0.8332104086875916,0.842814028263092,0.44977277517318726,0.4849175810392823,0.6310108070592901,0.6310108070592901
2,0.6166322827339172,0.5903368592262268,0.49524030140986836,0.48199197175039227,0.668776026174896,0.6656082688875669,0.890713632106781,0.9017940163612366,0.8710693133881664,0.87631308545394,0.8522497431182737,0.8545979575649415,0.8213694095611572,0.836068332195282,0.46752119064331055,0.22510850466140786,0.6261872893119176,0.6261872893119176
3,0.5310534238815308,0.5135409832000732,0.42134414483249233,0.41102563851803514,0.6469933571286932,0.6432778108268888,0.8942538499832153,0.8877282738685608,0.8714137723293838,0.8644729357339794,0.8529527878427342,0.8482409610681472,0.8191739320755005,0.8424627780914307,0.4201890826225281,0.13257291286819958,0.6172863374975213,0.6172863374975213
4,0.6610820889472961,0.6396394371986389,0.5326033941009994,0.5095730671319465,0.6900381717231807,0.682260063454293,0.9092428088188171,0.898279070854187,0.8928126073713165,0.8719582518303549,0.8685396499197808,0.854948278141318,0.8435474038124084,0.8551546931266785,0.5349923968315125,0.5881600893252752,0.6468000198294666,0.6468000198294666
5,0.5227300524711609,0.5013861656188965,0.45401273999495934,0.43607163314319025,0.6587968471148126,0.6523051754907793,0.9129852056503296,0.9031785726547241,0.8936607382169945,0.8850721589274578,0.869312097777297,0.8622719611342454,0.8333714604377747,0.85400390625,0.41423553228378296,0.5001965745769048,0.6262740432282372,0.6262740432282372
6,0.3784121572971344,0.37551364302635193,0.34188995213871537,0.3298080317272549,0.6139872099940511,0.6103088439420981,0.9016630053520203,0.8959885239601135,0.8856498502005083,0.8760499944528265,0.8632767292196204,0.8553333002842223,0.8388576507568359,0.8413915634155273,0.30587393045425415,0.1567328996690121,0.5904694626214555,0.5904694626214555
7,0.5630704164505005,0.5527482032775879,0.46191330715457257,0.441781660574347,0.6643342256593299,0.6567097957564941,0.9133071899414062,0.8933897018432617,0.8988590505869027,0.8785010228347225,0.8737728264200599,0.858341595611078,0.8334055542945862,0.8531901240348816,0.4531847834587097,0.5154524239740693,0.6298656553638706,0.6298656553638706
8,0.39687231183052063,0.38003554940223694,0.3284899864147078,0.3158087640049275,0.6082366646837201,0.6027339877057306,0.9049537181854248,0.8972822427749634,0.8898829812255653,0.8803210097199776,0.8661438898202728,0.8591612135633552,0.8245616555213928,0.8364836573600769,0.3015519380569458,0.14388186497695732,0.5816304778901447,0.5816304778901447
9,0.4759244918823242,0.46573901176452637,0.3797944615368099,0.3725641981871761,0.6298359111639897,0.627877751338489,0.8967976570129395,0.8922773599624634,0.8775167116516986,0.8757908031295503,0.8570710075171705,0.856103344570031,0.8408012986183167,0.8403249382972717,0.3816031515598297,0.26117950059179446,0.6039088836010311,0.6039088836010311
