,primary_v2_gp70_v1v2_zollapazner,toggle_v2_cyclic_peptide_42aa,secondary_gt_igg_244_gdneg,secondary_gt_igg_HxB2new8bcore_diff,secondary_gt_igg_YU2gp120oldcore_diff,IgG_C1086C_V1_V2Tags,IgG_gp70V1V2A,IgG_gp70V1V2C,IgG_gp70V1V2CaseA2,IgG_gp70_BCaseA2V1V2169K,IgG3_CC_C1086C_V1_V2Tags,IgG3_CC_gp70V1V2C,IgG3_CC_gp70V1V2CaseA2,IgG3_CC_gp70_BCaseA2V1V2169K
aRhIgG_gp120_ZM109F,7.902499e-05,0.0026959677,0.0017749226,-0.0016065864,-0.00046704724,0.00063803815,-0.00027710115,-0.0005596174,-0.00045247065,-0.00024888237,-0.00059256295,-0.001522098,-0.0015089494,-0.0016085033
aRhIgG_Barouch_Boost,0.005785374,0.0024509954,-0.00025297955,-0.0005569295,0.0019362475,-0.00025984045,0.0016888845,0.0014479591,0.0022113603,0.001852863,0.0014924343,0.0034690439,0.0032217815,0.0038191788
aRhIgG_gp120_CN54,0.0009205603,0.0018378948,0.00055614667,-0.0025357914,-0.0007995796,-1.0808374e-05,0.0009741089,-0.00018671696,-0.0002447085,-0.00023618535,0.0021426538,0.0012634192,0.0013313161,0.0011515017
aRhIgG_HIV_p7,0.0032250842,0.0001643952,0.0006080782,0.003929016,0.0016846698,0.00104611,0.0017909252,0.0015932956,0.0023240664,0.0023607349,0.0016779193,0.0017206239,0.00089955603,0.0017340387
aRhIgG_Barouch_Prime,-0.0003593061,0.0001327156,-0.00024895612,0.0004440698,-0.0010994424,-9.391079e-05,-0.0010217906,-0.00032046766,-0.00035458684,-0.00040070905,-0.0009127661,-0.00021046294,0.00016795196,-0.0001847416
aRhIgG_Gag,-9.226378e-05,0.0032277233,-0.000111006986,-0.005192021,-0.0018998482,0.00061251735,0.00026018417,-0.00076978124,-0.0008183747,-0.0004987434,0.0019947828,0.00031619653,0.0006762902,0.00053477316
aRhIgG_gp120_BAL,0.005493529,0.0041497583,0.00024840081,-0.0006371363,0.003292921,-0.00018249915,0.0029330729,0.00097577926,0.0016048796,0.0014480881,-0.00036630395,-0.0008029773,-0.00067000865,-0.0005685526
aRhIgG_gp120_YU2,0.00095279654,0.00016886237,0.00016157207,-0.000648941,0.000442883,0.00044456843,0.00084650755,0.00083340885,0.0007231986,0.00034402483,0.0015731507,0.00062506594,0.0012411951,0.00063321885
aRhIgG_RSC3_gp120,0.0061613023,0.0039942972,0.0020863523,0.001091833,0.0034332701,0.0018129422,0.0032987362,0.0027871574,0.0034130057,0.0032886686,0.0008568469,0.002265996,0.0018033525,0.002469838
aRhIgG_1086_gp120,0.00095833704,0.0001581061,-0.0013893744,-0.0013181337,-0.0003338108,-0.0018400154,-0.000109570195,-0.0013486599,-0.0010015841,-0.0007770594,-0.0011544846,-0.001160268,-0.0011598895,-0.0010144205
