,primary_v2_gp70_v1v2_zollapazner,toggle_v2_cyclic_peptide_42aa,secondary_gt_igg_244_gdneg,secondary_gt_igg_HxB2new8bcore_diff,secondary_gt_igg_YU2gp120oldcore_diff,IgG_C1086C_V1_V2Tags,IgG_gp70V1V2A,IgG_gp70V1V2C,IgG_gp70V1V2CaseA2,IgG_gp70_BCaseA2V1V2169K,IgG3_CC_C1086C_V1_V2Tags,IgG3_CC_gp70V1V2C,IgG3_CC_gp70V1V2CaseA2,IgG3_CC_gp70_BCaseA2V1V2169K
aRhIgG_gp120_ZM109F,0.005149439,0.0056089493,0.0025768206,0.0025596684,0.0031961522,0.0024676172,0.003526728,0.003139066,0.003366799,0.0032543645,0.0011525434,0.0013875242,0.00056775316,0.0007306796
aRhIgG_Barouch_Boost,0.003329797,-0.0024285961,0.0007428714,0.0032326607,0.0021540169,0.0010088653,0.0008924104,0.0029010302,0.0031640513,0.0024953024,-0.00090549554,0.00096707727,0.00043609476,0.0008812671
aRhIgG_gp120_CN54,0.0079049105,0.0047585447,0.001968496,-0.00023700944,5.9863298e-05,0.0020670511,0.0032285617,0.0039839246,0.0039283065,0.0035057354,0.0045588897,0.005492209,0.005719314,0.0052571385
aRhIgG_HIV_p7,-0.0013455114,-3.7645976e-05,-0.00057608815,-0.0019345655,-0.0018858028,-0.0002675994,-0.0009938101,-0.0013283439,-0.0012528115,-0.0010866616,1.8013814e-05,-0.0010206861,-0.0011435119,-0.0012513049
aRhIgG_Barouch_Prime,0.0057526506,0.008224953,0.006574171,0.0072915046,0.0070746504,0.0068020364,0.0062188394,0.0060880994,0.0064730025,0.0070429216,-0.0024443667,-0.0035760107,-0.0049282857,-0.0016009889
aRhIgG_Gag,0.010438948,0.00042527955,0.001539637,0.0013642438,-0.00034558147,0.0023270869,0.0037440395,0.006498874,0.0066133444,0.0053459145,0.005604756,0.00943709,0.009223422,0.007883367
aRhIgG_gp120_BAL,-0.005827655,-0.006049868,-0.0022354154,-0.0021286008,-0.003379291,-0.0020047624,-0.003861277,-0.0027636753,-0.0032975734,-0.0034469361,-0.0007998857,-0.00026728073,0.00050033146,-0.00032005378
aRhIgG_gp120_YU2,0.007181622,0.0009634165,-0.0006989072,-0.0007927416,-0.0017750972,0.00084676925,0.0011617695,0.0036063488,0.0033481047,0.0025554968,0.0031637598,0.004923109,0.004956974,0.0037498956
aRhIgG_RSC3_gp120,0.00467765,0.00074841426,-0.00024230001,0.0003810956,0.00023796107,0.00045723602,0.0009729801,0.002585234,0.0029003143,0.002197694,0.00040958344,0.004166834,0.00407033,0.0035609892
aRhIgG_1086_gp120,-0.00020254542,0.005561209,0.0032543517,0.0025348805,0.0017982234,0.0029428997,0.0022248747,0.0007980127,0.0010791369,0.0020162195,-0.0038834312,-0.0063018613,-0.006420129,-0.004195641
aRhIgG_gp140_BR29,-0.00037787028,0.0015292175,0.0020898,0.0002924582,0.00034133613,0.0016033524,0.00034905464,0.0002624292,0.00094967854,0.001403524,-0.0025879922,-0.0021675308,-0.0028786766,-0.0005618115
aRhIgG_gp41_HxBc2,-0.004016157,-0.00045758163,-0.00065384095,6.558651e-05,0.00069788215,-0.0006571561,-0.001291361,-0.0025727672,-0.0023724986,-0.0017536061,-0.0019339926,-0.0026737985,-0.0028119946,-0.0023670471
aRhIgG_p24_HxBc2,0.0008804938,0.0016349293,0.0005581738,-7.490008e-05,-0.0005660282,0.0007763087,0.0008790494,0.000592182,0.00077729585,0.00077058305,-0.00014997728,-0.00043350086,-0.000448823,-0.0002810948
aRhIgG_Boost,-0.0033906887,-0.00066696625,0.00093504146,0.00042721574,-2.6118687e-05,0.0011115903,-0.0006257124,-0.0008444455,-0.00082711043,-0.00019334725,-0.0028191272,-0.0037637688,-0.0038325305,-0.0021377427
aRhIgG_p17_Clade_C,0.0025648007,0.0027825728,0.0008245323,-0.001704581,0.0003935881,0.0011315215,0.002217723,0.0010957228,0.001235327,0.0014523196,0.0030068185,0.0031653894,0.0029929597,0.0035586196
aRhIgG_gp120_CM235,-0.011030258,-0.010178512,-0.0049656797,-0.0044363826,-0.004475796,-0.0052017765,-0.007627998,-0.0067992224,-0.0070367693,-0.007305622,-0.0032122068,-0.0034916254,-0.0034647419,-0.004509476
aRhIgG_gp120_Du151,0.003652142,0.0015005127,-0.0006870652,-0.0009898763,-0.001066109,-7.54812e-05,0.00046138497,0.000962216,0.0010831361,0.00073734124,0.0020551835,0.0025843477,0.002953621,0.0022583401
aRhIgG_gp120_96ZM651,0.0071000643,0.00982063,0.0048485002,0.005999778,0.0054686135,0.0054966146,0.0065610837,0.005235755,0.0057667475,0.006383112,-0.0013786701,-0.001938183,-0.0031705115,-0.00083974784
aRhIgG_gp70_V1V2_Clade_AE,0.0021550932,-0.00041354803,0.00030667876,-0.0006931041,-0.0010311925,0.00073833653,0.0007787281,0.0019105254,0.0015295185,0.0011028475,0.0022422662,0.0032300442,0.003387101,0.0024747085
aRhIgG_NL4_3_integrase,0.003871166,0.0026335274,0.0012013885,-0.001982337,-0.0018596307,0.00086405803,0.001756208,0.0015610586,0.0015255183,0.001362701,0.0013074303,0.0003810785,0.00023969742,0.0004014029
aRhIgG_gp120_JRCSF,-0.012282481,-0.008325475,-0.0030446604,-0.0037398918,-0.0036615448,-0.0030127384,-0.0058913897,-0.005910543,-0.006709862,-0.0063504716,-0.0026695149,-0.0046930774,-0.004145844,-0.0045640594
aRhIgG_gp120_TRO,-0.0008075312,-0.0036585475,-0.00096411776,-0.001736983,-0.0015688526,-0.0005899515,-0.0015814602,-0.0001839769,-7.556003e-06,-0.00049113884,0.0003626164,0.001385661,0.0010639742,0.0013378606
FcgR2AH_gp120_ZM109F,0.0011696301,1.29836835e-05,-0.00062768464,0.00018378798,0.00067730015,-0.00045234093,0.0007054394,6.3853067e-06,0.00032448143,7.902497e-05,0.0022192616,0.0022879918,0.0022073481,0.000862841
FcgR2AH_Barouch_Boost,0.004205212,0.0039976644,0.0026479373,0.0027365293,0.0018953346,0.0027994292,0.002793786,0.0031012027,0.0034331428,0.0034522898,-0.000960441,-0.0012058036,-0.0014316291,-6.834746e-05
FcgR2AH_gp120_CN54,0.0068247216,0.006072065,0.0032630083,0.0021433579,0.0023061607,0.0034715526,0.004280096,0.0043238243,0.0044300747,0.0042859656,0.0035224108,0.0030044462,0.0025305955,0.0031098714
FcgR2AH_HIV_p7,0.0011538769,0.002586044,0.0009192388,0.00066772016,-0.00031740867,0.0011896838,0.00034014086,0.0011340718,0.00083806267,0.00060466473,0.0008444814,0.0005364973,0.00031543992,-5.4418364e-05
FcgR2AH_Barouch_Prime,-0.007925411,-0.0021034316,-0.0008688146,-0.004242007,-0.0034321558,-0.0010908176,-0.0032692226,-0.0042662416,-0.004577392,-0.0040339227,-0.001165315,-0.004156326,-0.0038847786,-0.0030942108
FcgR2AH_Gag,0.0021491598,-0.000876701,-0.00054790766,-0.0013431036,-0.001397099,-0.00023423294,1.8057352e-05,0.0009212738,0.0009792312,0.000532231,0.0027816314,0.0046688714,0.0050282897,0.0042798384
FcgR2AH_gp120_BAL,-0.005198765,-0.0050550033,-0.003903498,-0.0047598495,-0.0048015793,-0.003983289,-0.0046011754,-0.0049490957,-0.005005763,-0.0051833666,0.0017611462,0.00085141987,0.0014829701,0.00012229334
