,primary_v2_gp70_v1v2_zollapazner,toggle_v2_cyclic_peptide_42aa,secondary_gt_igg_244_gdneg,secondary_gt_igg_HxB2new8bcore_diff,secondary_gt_igg_YU2gp120oldcore_diff,IgG_C1086C_V1_V2Tags,IgG_gp70V1V2A,IgG_gp70V1V2C,IgG_gp70V1V2CaseA2,IgG_gp70_BCaseA2V1V2169K,IgG3_CC_C1086C_V1_V2Tags,IgG3_CC_gp70V1V2C,IgG3_CC_gp70V1V2CaseA2,IgG3_CC_gp70_BCaseA2V1V2169K
aRhIgG_gp120_ZM109F,-0.0007496215,0.0002831066,0.0015323319,0.0013074708,0.002264024,0.0013308026,0.0010325883,0.0006790304,0.00068412174,0.00092156214,0.0006205231,-0.00067255297,-0.0005365945,-8.677813e-05
aRhIgG_Barouch_Boost,0.0035877263,0.00027785683,0.0004689556,0.0022108278,0.0009591831,-0.00033109877,0.0003494115,0.0009860222,0.0012126252,0.00077488663,0.0001437279,0.0015171969,0.00069637375,0.00048497788
aRhIgG_gp120_CN54,-0.0014475717,-0.00077057205,0.00064263155,0.00028732498,0.0010415396,-0.00012482832,-0.00012214507,-0.0006437326,-0.0006448433,-0.00037767884,0.00076887116,-8.549506e-05,0.00016709576,0.00013277275
aRhIgG_HIV_p7,0.008727948,0.0031550732,0.003581967,0.0034904103,0.0029245554,0.0033312642,0.0054222066,0.006066045,0.006134628,0.005496334,0.003281315,0.0048628505,0.004094785,0.004468445
aRhIgG_Barouch_Prime,0.0034641202,0.004328596,0.003029428,0.0031991212,0.0014916498,0.0024122912,0.0030894491,0.0018571657,0.0016707984,0.001869727,0.0014438819,-0.0019803462,-0.003166857,-0.002425052
aRhIgG_Gag,0.0036366172,0.0015189009,0.0011518506,0.0005544377,0.00073608453,0.0014389799,0.003024816,0.002172974,0.0024275281,0.0023982776,0.003186898,0.003007089,0.0034926839,0.00348767
aRhIgG_gp120_BAL,0.00053755933,-0.00092457916,0.0005124809,0.0014728497,0.0015928171,-0.00016782679,0.00047497937,0.0004091898,0.0007823772,0.00069251365,0.000498048,0.001925641,0.0017673282,0.0019900168
aRhIgG_gp120_YU2,0.00010668215,0.0011800824,0.0015598153,-9.35438e-05,0.00019279245,0.0011441191,0.001085341,0.0005890073,0.0005659944,0.00085673283,0.0011673903,-0.00038342262,-0.00042738073,0.00013563463
aRhIgG_RSC3_gp120,0.0010644885,-0.0006438692,-0.0003928211,-0.000542358,-0.00043762298,0.00035991168,0.0004006029,0.0011869144,0.0012075074,0.0009095038,0.0006182973,0.002165551,0.0024394775,0.002265734
aRhIgG_1086_gp120,0.00073990884,0.0004334845,0.0016969064,0.0013911375,0.001101475,0.002187206,0.0019580314,0.0018864892,0.0016459129,0.0017090295,0.001195808,0.0006811467,0.0008094899,0.00079154334
aRhIgG_gp140_BR29,0.0030730262,0.0011662219,0.0014084489,0.0009490711,0.00039123074,0.0013535083,0.0018422229,0.0019132481,0.0020324115,0.001942935,0.0013403043,0.002163367,0.0017686205,0.0018972062
aRhIgG_gp41_HxBc2,0.00085065985,-0.00016155525,0.00066666334,0.0007009731,-0.00080078654,0.0013320054,0.0003323375,0.0012007107,0.0012709069,0.001266251,-0.00014839551,-0.00023353011,-0.00071643945,-5.77082e-05
aRhIgG_p24_HxBc2,0.0024409972,0.002051087,0.00058168086,-0.0011700408,-0.0004235732,0.0002967534,0.0009939899,0.00092317857,0.0010299365,0.0009158131,0.0014139508,0.001514034,0.0015369722,0.001636093
aRhIgG_Boost,-0.0020027081,-0.001850604,-7.0676455e-05,0.0009285141,0.00017846334,-0.00047191503,-0.0011259776,-0.0010184178,-0.0010877586,-0.00094073586,-0.001375108,-0.0014978768,-0.0020034118,-0.001762446
aRhIgG_p17_Clade_C,0.00038178783,-0.0006615359,-0.0010046015,-0.0006857647,-0.0014899712,-0.00056173134,-0.00072036474,-0.00033171952,-0.00037457762,-0.00043300202,-0.00035258167,-0.00050227885,-0.00033076335,-0.00097231654
aRhIgG_gp120_CM235,0.005163282,-0.00073152955,0.00016289603,0.0022947758,0.00029310677,-0.00045663203,0.00051796343,0.0017825945,0.0020635822,0.0013210207,0.0012480026,0.0043670386,0.003749714,0.002909617
