,primary_v2_gp70_v1v2_zollapazner,toggle_v2_cyclic_peptide_42aa,secondary_gt_igg_244_gdneg,secondary_gt_igg_HxB2new8bcore_diff,secondary_gt_igg_YU2gp120oldcore_diff,IgG_C1086C_V1_V2Tags,IgG_gp70V1V2A,IgG_gp70V1V2C,IgG_gp70V1V2CaseA2,IgG_gp70_BCaseA2V1V2169K,IgG3_CC_C1086C_V1_V2Tags,IgG3_CC_gp70V1V2C,IgG3_CC_gp70V1V2CaseA2,IgG3_CC_gp70_BCaseA2V1V2169K
aRhIgG_gp120_ZM109F,0.0010753616,0.0005138033,-0.000795043,0.0003681827,-0.00016328754,-0.00038597736,-0.00017840051,0.00012184706,0.00019396837,2.4981015e-05,-0.0006882794,-0.0010715397,-0.0012580919,-0.0011539499
aRhIgG_Barouch_Boost,-0.0010285133,0.0017765403,-6.9873604e-05,-0.0010772418,-0.0007493687,-0.0006486024,-0.00076166785,-0.0020364402,-0.0019921851,-0.0017715546,0.00018542884,-0.0014593153,-0.0016858843,-0.0018746749
aRhIgG_gp120_CN54,0.0030436434,0.0015953893,0.0002252901,0.00015745866,-0.00015865377,0.000688493,0.0008300325,0.0015597099,0.0016113309,0.0013319608,0.0007474839,0.0008981416,0.00063375663,0.0007877873
aRhIgG_HIV_p7,0.0021151018,0.0011741387,0.000757407,0.0019288152,0.0010280183,0.00056785997,0.00077262067,0.0009923166,0.0009868712,0.00087298144,0.002014578,0.0017551538,0.0021964025,0.0020351405
aRhIgG_Barouch_Prime,0.0011475601,-0.0026536041,-0.0016373763,0.0020783183,1.672153e-05,-0.0020011223,-0.0014125649,-0.00059135543,-0.00049804064,-0.0009109075,-0.00068292685,0.0019253611,0.0017049197,0.0011975254
aRhIgG_Gag,0.0030047095,0.0004631896,-0.00029517518,0.0013021742,0.0012846735,-0.00015883213,0.00048985233,0.0012898308,0.0011881897,0.00077746226,0.00024229211,0.0010484849,0.0010322744,0.001099334
aRhIgG_gp120_BAL,0.0013244393,0.0008446079,-6.23666e-05,0.00010386688,-0.0022845329,-0.0007871794,-0.0005878733,-0.00027085716,-0.00019479117,-0.0002512779,-0.0009729553,-0.00049648364,-0.0007168176,-0.0007445952
aRhIgG_gp120_YU2,-0.0007628638,-0.0020222438,-0.0013656423,-0.0010106242,-0.0015172508,-0.0011545059,-0.0008719554,-0.0006763525,-0.00066764775,-0.0008118731,0.00073230296,0.00063215796,0.0011414778,0.0009889496
aRhIgG_RSC3_gp120,-0.0006387181,0.00071639987,-0.0018735653,-0.0028241721,-0.003440123,-0.0032212383,-0.0027811783,-0.003831904,-0.0038324508,-0.003804903,-0.0011945376,-0.0021668272,-0.0025861955,-0.003040659
aRhIgG_1086_gp120,2.0339901e-05,-0.0024838035,-0.0008413535,0.00147004,-0.0013234083,-0.00087053725,-0.0013821488,-0.00013363527,-0.00015373736,-0.00030192692,-0.0009943757,0.0005762644,0.0003889625,0.00044855723
aRhIgG_gp140_BR29,0.0041481815,-0.0032126538,-0.0013730545,0.0028622295,-0.0025119116,-0.0016436168,-0.0011760755,0.001447094,0.0014817456,0.00068690255,0.0010584594,0.0051925713,0.0047471425,0.0040968806
aRhIgG_gp41_HxBc2,0.0032962416,-0.0019656573,-0.0019341591,0.0047645816,0.0025523866,-0.0018511369,9.951253e-05,0.00052808376,0.0007856709,0.00013735535,-0.0013492426,0.0011717769,0.0008915851,0.00027054033
aRhIgG_p24_HxBc2,0.0023984564,0.0021143286,-0.002309039,-0.0038632054,-0.0022174355,-0.0019412689,-0.0010274445,-0.000920563,-0.0006677719,-0.0011896495,-0.00083230913,-0.0020000252,-0.0023478367,-0.0023158274
aRhIgG_Boost,0.0014322223,0.0018944035,-0.00043994622,-0.0010770484,-0.0009677513,-0.0006405864,-0.0004101719,-0.00032792226,-0.0003347606,-0.0005689997,-0.0008741135,-0.0012698384,-0.0016874359,-0.001767241
aRhIgG_p17_Clade_C,0.0008135576,-0.00026670622,-0.0012455852,0.000116846124,-0.00014446818,-0.0012881894,-0.00073135423,-0.0006168197,-0.00049572287,-0.00072432414,-7.7988414e-05,-0.0005467968,-0.0004584227,-0.0005112365
aRhIgG_gp120_CM235,-0.0002178249,0.0013511536,0.000461552,-0.00031140257,-0.000955474,-0.0003136706,-0.0003902405,-0.0009375747,-0.0009442715,-0.0008332501,0.00067395275,-0.00068868225,-0.00084417884,-0.00077919825
