,primary_v2_gp70_v1v2_zollapazner,toggle_v2_cyclic_peptide_42aa,secondary_gt_igg_244_gdneg,secondary_gt_igg_HxB2new8bcore_diff,secondary_gt_igg_YU2gp120oldcore_diff,IgG_C1086C_V1_V2Tags,IgG_gp70V1V2A,IgG_gp70V1V2C,IgG_gp70V1V2CaseA2,IgG_gp70_BCaseA2V1V2169K,IgG3_CC_C1086C_V1_V2Tags,IgG3_CC_gp70V1V2C,IgG3_CC_gp70V1V2CaseA2,IgG3_CC_gp70_BCaseA2V1V2169K
FcgR2AR_gp120_96ZM651,0.0025099048,-0.002551169,-0.0023007179,0.0031162454,-8.889262e-05,-0.00081269647,-0.0008635419,0.00016498656,0.0013191373,0.0012359648,-0.0006659347,0.00027136368,0.00049666036,0.0015530767
FcgR2AR_gp70_V1V2_Clade_AE,0.0012756492,0.002105938,0.0009409754,-0.000375862,-0.0006272647,0.0012362042,0.00071381434,0.00083284266,0.00082356966,0.0010494256,-0.0001576019,-0.0005933397,-0.0011051788,-0.0007305781
FcgR2AR_NL4_3_integrase,0.0010813908,0.0011805228,0.0010176428,0.00024313209,0.0005579373,0.0009727728,0.0008064169,0.0010824107,0.0009762987,0.00087480596,-0.00031335274,-0.00044882976,-0.00092837616,-0.00048669774
FcgR2AR_gp120_JRCSF,-0.0007922926,0.0023811588,0.0012838262,-0.0011877044,-0.0010722561,0.001551557,0.0006576538,2.8036386e-05,-1.900612e-05,0.00031999545,0.00057010807,-0.0014003182,-0.0014374703,-0.0010066391
FcgR2AR_gp120_TRO,0.0034620734,-0.001829572,-0.0010662043,0.001393692,-0.0007715802,1.29213395e-05,-0.00011236047,0.0019308515,0.0023835916,0.0019143986,0.0016603264,0.0031648427,0.0035707378,0.0031752302
FcgR2B_gp120_ZM109F,0.0040428513,0.0028751397,0.0017239862,-0.00070582016,-0.0005149417,0.0014980171,0.0019782186,0.0027453497,0.0023658306,0.0019461715,0.005505397,0.004510849,0.0043428005,0.0029474602
FcgR2B_Barouch_Boost,-0.0023034988,0.0033870484,0.003863936,-2.3951276e-05,0.00089852035,0.002959527,0.0016927514,0.00013395412,0.0001788891,0.00047272295,-0.0002183393,-0.003730078,-0.005181531,-0.0038966842
FcgR2B_gp120_CN54,-0.0033528598,-0.0011938239,-0.0002835453,-0.0028266688,-0.0021375497,-8.6307205e-05,-0.0015480993,-0.001358357,-0.0017563227,-0.0017663422,-0.0002045182,-0.0020814338,-0.0022784253,-0.0026585187
FcgR2B_HIV_p7,0.0019441049,0.00022685155,5.0188635e-05,-0.00020288814,-0.0009971043,0.00058885204,0.00063110614,0.0011095722,0.0012239132,0.001213597,0.0009921145,0.0015333503,0.00097150425,0.0007264404
FcgR2B_Barouch_Prime,0.0029564942,-0.0017552301,-0.001286352,0.0030336415,0.0014739544,-0.0006924032,-8.7664426e-05,0.0019377219,0.0018561025,0.0012289445,-0.0014201845,0.0016071679,0.002513304,0.0027610792
FcgR2B_Gag,0.0030910592,0.0052600475,0.0040806374,-0.001385276,8.471722e-05,0.0021239608,0.002617932,0.0020138635,0.0016598349,0.0016181872,0.004598108,0.0019812377,0.0018521849,0.0015647768
FcgR2B_gp120_BAL,-0.00055608904,0.0019025409,-0.0005880008,-0.0034897665,-0.00206334,-9.810604e-05,0.0003450127,-0.0010419704,-0.0011853697,-0.0008222537,0.001997047,0.0005188954,0.00037781027,0.0004642294
FcgR2B_gp120_YU2,0.0048341104,0.0003123781,0.00063661515,0.0013012424,-0.00022868118,0.0015205145,0.0018334128,0.0036937145,0.0037438788,0.0032132783,0.0031228694,0.004311783,0.004371106,0.0040912232
FcgR2B_RSC3_gp120,0.0055215056,0.004578762,0.002956748,0.0029415092,0.002198967,0.003758047,0.0042233323,0.0034581535,0.0042551006,0.004586448,-0.0001238547,-0.0011579278,-0.0022910493,-0.00013476248
FcgR2B_1086_gp120,-0.001143772,-0.0021375152,-0.0026519988,-0.0038940362,-0.004698667,-0.001098353,-0.0014354574,-0.00079833326,-0.0013066824,-0.0012821774,0.002027922,0.0014010932,0.0015908924,4.8201902e-05
FcgR2B_gp140_BR29,-0.0065721236,0.001139734,0.0028153437,0.002219251,0.003720387,0.0021398754,0.00044098392,-0.0016631762,-0.0019890561,-0.0013686629,-0.0055343453,-0.00785247,-0.008794071,-0.0073492345
FcgR2B_gp41_HxBc2,-0.0003808342,-0.0018447032,-0.0018447618,0.0016546579,0.0007438332,-0.00138776,-0.0010480973,-0.00032981136,-0.0004860171,-0.0006504738,-0.002909367,-0.0009650548,-0.0004084465,-0.00010349604
FcgR2B_p24_HxBc2,0.0003182134,0.001751137,0.0009230873,-0.00052013394,0.0004433921,0.00062481203,0.00064565096,0.0006207794,0.00019980171,0.00012785206,0.0008213664,0.00036500543,0.00044348894,0.00021942664
FcgR2B_Boost,-0.00044055562,0.0022239347,0.0008221803,-0.0017466542,-0.00078348303,0.0003256337,0.00030162145,-0.00016277308,-0.00062410237,-0.00072454417,0.0002896342,-0.0012889678,-0.001639515,-0.0014102302
FcgR2B_p17_Clade_C,0.0007292606,0.000741544,0.0002475138,7.3563474e-06,-0.00016624245,0.0002869009,0.00045090506,0.0005670476,0.00048435314,0.00038541277,0.0003322501,0.0004353362,0.00035360857,0.0003132671
FcgR2B_gp120_CM235,-0.002906847,0.0017454971,0.002316089,0.0009366325,0.002011819,0.0021657876,0.0015074888,-0.000228243,-4.8437298e-05,0.00033653373,-0.0033220248,-0.005416061,-0.0063606347,-0.0045768893
FcgR2B_gp120_Du151,-7.946275e-05,-0.0003710939,0.0012504971,-0.00022653342,-0.00028273318,0.0010608262,0.00016598262,0.0014448008,0.0010350349,0.00063351286,0.00038628207,-0.00015025388,-0.00068661536,-0.0012118658
FcgR2B_gp120_96ZM651,0.006003455,2.312078e-05,0.0009171302,0.0063130883,0.003937339,0.0009182045,0.0019286986,0.00364129,0.0038921463,0.0034769082,0.0014263525,0.0040345136,0.0050868657,0.004968845
FcgR2B_gp70_V1V2_Clade_AE,0.0013658985,0.00017827698,-0.00028122173,0.00048831373,-9.166708e-05,-0.0005252187,-0.00029772855,0.00011667485,0.00030789204,0.0001409025,-0.0012188538,-0.0009814777,-0.0013538807,-0.0010404554
FcgR2B_NL4_3_integrase,0.0004615623,0.0004652496,-0.0010540826,-0.0021838576,-0.0015461067,-0.0007011018,-0.0010738217,-0.00071292155,-0.0008589759,-0.0009365864,-0.0002095425,-0.00023590734,-0.00059124874,-0.00074164564
FcgR2B_gp120_JRCSF,0.00050645566,0.000301704,6.406837e-05,0.00020671201,-1.8248267e-05,0.00023686828,0.0002525333,0.0002034666,0.00031191082,0.0002489489,-7.131342e-05,-0.0005342059,-0.00048189724,-0.00010213772
FcgR2B_gp120_TRO,0.0037777792,0.0007378719,0.0009458698,0.002940936,0.00068790227,0.001868456,0.0021889175,0.0024736628,0.0030575667,0.0030312797,0.0017071656,0.0015942884,0.0016019326,0.0019523274
R2A_3_gp120_ZM109F,0.0028739946,0.0005305179,0.0006664136,0.00031406214,-0.0005419609,0.0011420636,0.00082806626,0.0019655877,0.0021050314,0.0018333977,0.0034900645,0.0031910052,0.0033722261,0.0025657823
R2A_3_Barouch_Boost,0.0021747192,-0.00084602175,-0.0010471727,-0.0020790868,-0.002843224,1.1851109e-06,-0.0001567248,0.0011503596,0.0010596716,0.00065734406,0.0046346495,0.0041303635,0.004314519,0.0033668438
R2A_3_gp120_CN54,0.0027213008,0.0030522058,0.003307971,0.0032628567,0.0028075408,0.0021923822,0.0019331134,0.0021220976,0.0025069604,0.0023992816,0.0009357543,0.00062669045,0.00050807995,0.0015116241
R2A_3_HIV_p7,-0.0016161355,0.00077338674,0.00070557796,-0.0004339963,0.0012952782,0.00042422386,-0.00028355897,-0.0007265438,-0.0009669247,-0.00072415033,4.1404273e-05,-0.00011608946,-0.00030595812,-0.0003671203
R2A_3_Barouch_Prime,0.0024358705,0.0015092571,0.0013125824,0.0011208507,0.0011788338,0.0016669844,0.001995514,0.001822699,0.0020756095,0.0020461832,0.0018081082,0.0012535403,0.0014425103,0.0020145262
R2A_3_Gag,-0.0018927908,-0.0029722378,-0.0021993837,-0.00017387746,-0.0015811172,0.00037292615,-0.0006719415,9.188045e-06,-0.00015169581,0.00021133477,-0.0030086294,-0.0027373242,-0.0023335028,-0.0022875925
R2A_3_gp120_BAL,-0.00022255907,-0.003237904,-0.0031088248,-0.0010517606,-0.0043974533,0.0006036496,-0.0010683859,2.3576635e-05,0.000743608,0.0014026434,0.00014807837,0.0016013032,0.0018363883,0.0024020188
R2A_3_gp120_YU2,0.0026386986,0.0019627581,0.001619317,0.0020052143,0.00012579488,0.0012551721,0.000980032,0.0009872456,0.0016795741,0.0018778911,0.0018120094,0.001478748,0.0010648585,0.001213169
R2A_3_RSC3_gp120,0.0006770978,-0.002099071,-0.0017881708,-0.00030898122,-0.0015758037,-0.00052321504,-0.0010019538,-1.7228824e-05,0.00025261153,0.00015091604,4.0403185e-05,0.0009651384,0.0006811705,0.00082590774
R2A_3_1086_gp120,0.002468785,-0.0006888323,-0.00031831997,0.0013906624,-0.00050325,0.00025055243,-0.00024566986,0.0008551101,0.0014498001,0.0014502533,0.0016323529,0.0025431246,0.0029180753,0.0026959537
R2A_3_gp140_BR29,-0.0021018642,-0.0006327686,-0.00040185664,-0.0025901352,-0.0022160609,0.0007237446,0.00020796219,-7.63903e-05,-0.0005752917,-0.00052852323,2.8725994e-05,-0.0021696491,-0.002367407,-0.0024249593
R2A_3_gp41_HxBc2,0.00072163943,0.0039178557,0.0030222787,-0.0013840769,0.0003060125,0.002437328,0.0018858889,0.00084919535,0.00092333555,0.0009185838,0.003184803,-0.00037511825,-0.0009199732,-0.0002294372
R2A_3_p24_HxBc2,0.0026129493,0.002152842,0.0015735654,-5.3627806e-05,0.0004926383,0.0007422524,0.0013862819,0.0017505826,0.0012089895,0.00081554614,0.0018761178,0.0011365925,0.000640971,0.0004070577
R2A_3_Boost,0.0007090943,-4.974054e-05,-0.0018970269,-0.0029885217,-0.0041061426,0.0001635831,-0.00019093537,-0.00040019854,-0.00022855954,0.00016332789,0.0046244473,0.0032024533,0.0032932404,0.002871297
R2A_3_p17_Clade_C,0.0028284148,-2.9761304e-05,0.00018530403,0.0029078505,0.0021277748,0.00057865365,0.00086361484,0.0017614977,0.0017983963,0.0016633885,-0.0009864727,0.00065097614,0.0009783292,0.0012960421
