,primary_v2_gp70_v1v2_zollapazner,toggle_v2_cyclic_peptide_42aa,secondary_gt_igg_244_gdneg,secondary_gt_igg_HxB2new8bcore_diff,secondary_gt_igg_YU2gp120oldcore_diff,IgG_C1086C_V1_V2Tags,IgG_gp70V1V2A,IgG_gp70V1V2C,IgG_gp70V1V2CaseA2,IgG_gp70_BCaseA2V1V2169K,IgG3_CC_C1086C_V1_V2Tags,IgG3_CC_gp70V1V2C,IgG3_CC_gp70V1V2CaseA2,IgG3_CC_gp70_BCaseA2V1V2169K
aRhIgG_gp120_ZM109F,0.0034524854,0.0015366188,0.0021168399,0.0023384364,0.0037516123,0.0018283174,0.0019519086,0.0028775942,0.0030439002,0.0027696786,0.0016399665,0.005172104,0.0045731477,0.0046987846
aRhIgG_Barouch_Boost,0.0016811554,-0.0006623963,-0.0005602975,0.002095545,-0.0018801347,0.0030607244,0.002527154,0.003211395,0.0031349598,0.0032948274,0.0020080337,-0.0008937593,-0.0001515218,-7.110158e-05
aRhIgG_gp120_CN54,-0.0013778127,-0.0011415068,0.00086982385,0.0027534307,0.0048948918,-0.0027665822,-0.0012834773,-0.0029097416,-0.0024887864,-0.002186972,-0.0035861125,-0.0010977513,-0.0020632087,-0.0022233606
aRhIgG_HIV_p7,0.0057299947,0.0040687937,0.0028020034,0.0022824418,0.004043477,0.001686912,0.0014202187,0.002471136,0.0025343143,0.0023026047,0.003276299,0.0033196046,0.0024029217,0.0017101556
aRhIgG_Barouch_Prime,0.0055550872,0.0016895117,0.0005058668,0.0021944174,-0.0020340746,0.0026972992,-0.0007572424,0.0035656444,0.0034915498,0.0028136359,0.0043798136,0.004381004,0.0033890982,0.0034588196
aRhIgG_Gag,0.011346855,0.0029751912,0.0016267546,0.003501854,0.0031835455,0.002086821,0.0032479183,0.004610429,0.0057048555,0.0050037154,0.006073817,0.0077831023,0.0078008063,0.0057810773
aRhIgG_gp120_BAL,0.006326584,0.0066185803,0.0063079675,0.006528843,0.009917344,-0.00034099797,0.0014722337,0.0002064286,0.000760465,0.00044069567,0.003235595,0.0035365624,0.0017045116,0.0011286241
aRhIgG_gp120_YU2,0.001966783,0.005385439,0.0030623719,-0.00041611644,0.000598767,-0.0006395867,-0.0011284241,-0.0004916048,-0.0010120312,-0.0012855184,-0.00015033837,-0.0007970974,-0.0026574181,-0.002028828
aRhIgG_RSC3_gp120,0.0072484044,0.0048737926,0.0062600872,0.0057282248,0.0044893334,0.0066126487,0.005419907,0.0081309145,0.007803913,0.007053426,0.0060908073,0.0042967317,0.0040378417,0.0038179886
aRhIgG_1086_gp120,-0.0032887186,-0.00085367815,0.0017451528,0.0024718458,0.003155996,-0.001331696,-0.0021617727,-0.002580038,-0.0025235964,-0.002146642,-0.0043747216,-0.0032867524,-0.0052397572,-0.0043526683
aRhIgG_gp140_BR29,-0.0027631992,-0.0033205445,-0.0007687871,0.0006502155,-0.0006231342,0.000827898,-0.0002025796,-3.5651392e-05,0.00022796917,0.0008135043,-0.0048627914,-0.006753495,-0.0070121284,-0.00683729
aRhIgG_gp41_HxBc2,0.0068101976,0.0066138767,0.0031746007,0.002039421,0.0025548663,0.0032315701,0.0030879714,0.0038519525,0.0038846002,0.0034613446,0.0050394875,0.0048540635,0.004150975,0.0042618513
aRhIgG_p24_HxBc2,0.009812801,0.0043856218,0.004379106,0.0058167856,0.00534957,0.004217827,0.005739172,0.007405581,0.0073802164,0.0066912603,0.005122334,0.005389475,0.006047964,0.005609413
aRhIgG_Boost,-0.001287189,-0.0011681472,0.00010239529,0.0022451428,0.0035478736,-0.0016457891,6.217276e-05,-0.0018125388,-0.0012734182,-0.0008589409,-0.0039449604,-0.0027131366,-0.003086406,-0.0026234956
aRhIgG_p17_Clade_C,-0.0018482055,0.0019313236,0.0022643984,-3.92676e-05,0.0010858319,0.0013220715,0.0012010515,-0.00035695074,-0.00078491756,-0.00029365273,0.001370041,-0.0005557936,-0.00074246037,-0.00031914885
aRhIgG_gp120_CM235,-0.002394339,-0.0013697629,0.0002521036,-0.0007394061,-0.00038285094,0.0016382239,0.0025910907,0.0007838386,0.0010480175,0.0016105999,-0.00197896,-0.004889356,-0.0041479636,-0.0040060706
aRhIgG_gp120_Du151,0.0010547028,0.0029537615,0.002602945,0.00036599097,0.002363964,0.00089254964,0.0010288381,0.00014716941,0.00018380178,0.0001858874,0.00406276,0.003248216,0.0032552888,0.002783337
aRhIgG_gp120_96ZM651,-0.0011223101,-0.0057667987,-0.006215961,0.0013387452,-0.00912823,0.003008341,-0.00039858677,0.0028536702,0.0032394533,0.0037423405,-0.005282844,-0.009134828,-0.0077709816,-0.007874834
aRhIgG_gp70_V1V2_Clade_AE,0.002097438,0.002075632,0.0004604473,0.0003816599,0.0005389361,-0.0005247282,-0.0004161298,-0.00061917515,-0.00024516118,-0.00027869822,0.0005750917,0.0004551799,-0.00016409876,-0.00010686809
aRhIgG_NL4_3_integrase,-4.866898e-05,-0.00096429215,-0.0044446667,-0.0020669275,-0.004103378,-0.003096414,-0.0038405044,-0.0028365122,-0.0029576588,-0.0028830783,-0.0059917397,-0.0062901787,-0.0064652017,-0.007380022
aRhIgG_gp120_JRCSF,-0.008229518,-0.008427409,-0.0018884703,0.000617023,0.0012353121,-0.0031295724,-0.0034165913,-0.00490382,-0.0042489204,-0.0034412625,-0.006606663,-0.0056726187,-0.0056534433,-0.005281847
aRhIgG_gp120_TRO,0.0018645731,-0.0023467888,-0.003545812,0.0017473721,0.00081029115,0.00016508381,0.002907453,0.0027086828,0.002628791,0.002651833,-0.0009496591,0.0013162572,0.0021553834,0.0017452537
FcgR2AH_gp120_ZM109F,0.007903669,0.008890495,0.006556743,0.0034375202,0.003724692,0.006964819,0.0086123925,0.007871674,0.007542643,0.00743823,0.0071292506,0.0016293761,0.0019005677,0.0021984752
FcgR2AH_Barouch_Boost,0.0014779327,0.0035486629,0.0018969977,0.0031820275,0.0031699191,0.0011708483,0.0026227324,0.000956435,0.0010820683,0.0014182965,0.0001641845,-0.0017735056,-0.0019001829,-0.0017433692
FcgR2AH_gp120_CN54,0.004238776,-0.0034978343,-0.0010869591,0.0023334245,-0.0011323681,0.0009563312,-0.0020488363,0.0030932922,0.0032136224,0.0023522482,0.0019029465,0.0060226796,0.005520337,0.005095211
