,primary_v2_gp70_v1v2_zollapazner,toggle_v2_cyclic_peptide_42aa,secondary_gt_igg_244_gdneg,secondary_gt_igg_HxB2new8bcore_diff,secondary_gt_igg_YU2gp120oldcore_diff,IgG_C1086C_V1_V2Tags,IgG_gp70V1V2A,IgG_gp70V1V2C,IgG_gp70V1V2CaseA2,IgG_gp70_BCaseA2V1V2169K,IgG3_CC_C1086C_V1_V2Tags,IgG3_CC_gp70V1V2C,IgG3_CC_gp70V1V2CaseA2,IgG3_CC_gp70_BCaseA2V1V2169K
aRhIgG_gp120_ZM109F,0.002342762,-0.00096597534,-0.0047490527,-0.00247102,-0.004713762,-0.00418944,-0.0027957181,-0.0018795256,-0.0025096633,-0.002677192,-0.0024616441,1.4509509e-05,0.00028157313,-3.669169e-05
aRhIgG_Barouch_Boost,0.0031510845,0.00049828656,-0.0022097428,-0.0015425176,-0.005065064,-0.000557775,-9.819503e-05,7.5403324e-05,9.496746e-06,0.00024411082,0.0018379561,0.0022682282,0.0031764605,0.0017865665
aRhIgG_gp120_CN54,-0.006549116,-0.0009817099,-0.0019125647,-0.0053551937,-0.00019761315,-0.0018552531,-0.0017975463,-0.004582349,-0.004508843,-0.0037865085,-0.00012282733,-0.00014009268,0.0006446303,-0.00024161757
aRhIgG_HIV_p7,-0.0010788509,-0.002973387,-0.0016288935,0.00046647195,-0.0006660239,-0.0011998676,-0.0014645066,-0.0009373012,-0.00072978926,-0.0008201425,-0.001063618,-0.00060111,-0.0010599984,-0.0015238159
aRhIgG_Barouch_Prime,0.0025158336,0.001242586,0.0004970953,0.0032877543,0.00043673,-3.4153083e-05,-0.0003390165,0.0008625969,0.00044732905,0.00030971397,-0.0011325357,-0.0014891234,-0.0011801949,-0.0011517957
aRhIgG_Gag,0.003046768,-0.0018042143,-0.0015040479,0.0048115305,0.0017542426,-0.00037766618,0.00086821994,0.0011807844,0.0018393227,0.001954509,-0.0046739597,-0.0038695533,-0.003985829,-0.0033815086
aRhIgG_gp120_BAL,-0.0023129783,-0.0008654729,-0.0005306054,0.001217638,-0.00013664123,-0.0016652272,-0.0024537107,-0.0033813023,-0.0034590105,-0.0030260899,0.000778881,-0.00025223658,-0.0012049096,-0.001970197
aRhIgG_gp120_YU2,-0.0015457001,0.004541884,0.0024409655,0.0035904006,0.0031162377,0.00044342523,-0.00042913467,-0.0019667428,-0.002270602,-0.0016488985,-0.0035440922,-0.0073114685,-0.007833019,-0.006404335
aRhIgG_RSC3_gp120,0.006249877,0.0036923527,0.001709318,0.0011500411,-0.00064285146,0.0028889934,0.0034139454,0.0034288715,0.00397421,0.004050353,0.004107566,0.0042047943,0.0045031565,0.0048486637
aRhIgG_1086_gp120,-0.0030850216,-0.0013343617,-0.0007665512,-0.0016769549,-3.877739e-05,-0.0010707517,-0.0012938288,-0.00251956,-0.0021665175,-0.0017737107,0.00036703388,-0.0010265395,-0.0010159374,-0.0009300636
