,primary_v2_gp70_v1v2_zollapazner,toggle_v2_cyclic_peptide_42aa,secondary_gt_igg_244_gdneg,secondary_gt_igg_HxB2new8bcore_diff,secondary_gt_igg_YU2gp120oldcore_diff,IgG_C1086C_V1_V2Tags,IgG_gp70V1V2A,IgG_gp70V1V2C,IgG_gp70V1V2CaseA2,IgG_gp70_BCaseA2V1V2169K,IgG3_CC_C1086C_V1_V2Tags,IgG3_CC_gp70V1V2C,IgG3_CC_gp70V1V2CaseA2,IgG3_CC_gp70_BCaseA2V1V2169K
aRhIgG_gp120_ZM109F,0.005218618,0.011378547,0.0057103927,0.005052862,0.00443724,0.0039271186,0.006734448,0.002693581,0.003225694,0.004342684,-0.002013614,-0.00477724,-0.0042674225,-0.0030850358
aRhIgG_Barouch_Boost,-0.0020109292,0.00019064714,-0.00086259,-0.0010956792,0.0009441448,-0.00050078705,-0.00072263344,-0.0017139091,-0.001884641,-0.0016631173,0.0006648098,-0.0011713791,-0.0010687372,-0.0009634132
aRhIgG_gp120_CN54,0.0021090307,0.0023632757,0.0020924658,0.00065198936,0.0012782408,0.0011858644,0.0016162901,0.0006570269,0.0010773086,0.0013377503,0.002414414,0.0017607604,0.0019002402,0.002581437
aRhIgG_HIV_p7,0.00042624917,0.000852489,-0.0006954278,0.00013094541,-0.0006477333,0.0004427581,0.0005013562,0.00043903393,0.00043981205,0.00053964526,-0.00077241595,-0.00080601923,-0.0005994162,-0.000693462
aRhIgG_Barouch_Prime,0.0032812436,0.0019163489,0.0011713395,-0.0016805663,-0.003227861,0.0020780095,0.0005622485,0.002920663,0.0023249132,0.0017257144,-0.00078013714,-0.00062485074,-0.0019442602,-0.0022073318
aRhIgG_Gag,0.0021878658,0.0004700434,0.0010297494,-0.0014193277,-0.0011329467,0.0021282365,0.00070236536,0.002096252,0.0019691833,0.0014804,0.003784328,0.0031987382,0.002321594,0.0023082043
aRhIgG_gp120_BAL,0.0006068375,0.011433333,0.0038959917,-0.0016862364,0.00314047,0.0032470347,0.0046709925,-0.0007175186,-0.0011768756,0.0004862463,0.0019107139,-0.0052422173,-0.0047030607,-0.0041756574
aRhIgG_gp120_YU2,0.0022160911,0.0018498196,0.003955516,0.0006556343,0.0037624983,0.003138263,0.003368979,0.0031429895,0.0026458935,0.00229133,0.003829408,0.0020787306,0.0021748818,0.0016481141
aRhIgG_RSC3_gp120,0.002630415,0.0028835335,0.002044207,0.004956287,0.0026385293,0.0014976999,0.0022017083,0.0022639665,0.0022512553,0.0021016377,-0.0031896785,-0.003344939,-0.0037412741,-0.003263489
aRhIgG_1086_gp120,-0.00082321704,-0.004518396,-0.0020276804,-0.001652322,-0.000879738,-0.00044969167,-0.0012414146,0.00046838034,2.6604983e-05,-0.0005596197,0.00031291222,0.0009670468,0.00095575757,1.5362513e-05
aRhIgG_gp140_BR29,0.0060688355,0.0025670403,0.0024104912,0.005290455,0.0024529165,0.0017017155,0.0023099203,0.0042410847,0.0042482116,0.003641514,-0.0016656717,0.0008904136,-0.00034266274,9.51026e-06
aRhIgG_gp41_HxBc2,-0.003792971,-0.0018837365,-0.004444327,-0.004725145,-0.006148003,-0.004310117,-0.0044578067,-0.0047322977,-0.004747886,-0.004316979,-0.0044684797,-0.0047235875,-0.004222913,-0.004009527
aRhIgG_p24_HxBc2,0.0006709419,-0.0012055213,-0.0014378176,0.000103725615,-0.0008248087,-0.00038332443,-0.00051104755,0.00022002436,8.4106956e-05,-0.00012322213,-0.0017165481,-0.0010810669,-0.0009978372,-0.0015485232
