bead_batch,nearest_dose,pert_dose,pert_dose_unit,pert_idose,pert_itime,pert_time,pert_time_unit,cell_mfc_name,pert_mfc_id,nsample,cc_q75,ss_ngene,tas,pct_self_rank_q25,wt,median_recall_rank_spearman,median_recall_rank_wtcs_50,median_recall_score_spearman,median_recall_score_wtcs_50,batch_effect_tstat,batch_effect_tstat_pct,is_hiq,qc_pass,pert_id,sig_id,pert_type,cell_iname,det_wells,det_plates,distil_ids,build_name,project_code,cmap_name,is_exemplar_sig,is_ncs_sig,is_null_sig,quality_replicates,duplIdentifier,dupl_counts,conditionId
b3,10,10,uM,10 uM,6 h,6,h,HA1E,BRD-K95676198,3,0.43,330,0.380909,0,"""""""""""""""""""""""""""""""""",14.2177,23.5866,0.115666,0.329018,20.29,80.3905,0,1,BRD-K95676198,CPC002_HA1E_6H:BRD-K95676198-001-02-6:10,trt_cp,HA1E,J22,CPC002_HA1E_6H_X1_B3_DUO52HI53LO|CPC002_HA1E_6H_X2_B3_DUO52HI53LO|CPC002_HA1E_6H_X3_B3_DUO52HI53LO,CPC002_HA1E_6H_X1_B3_DUO52HI53LO:J22|CPC002_HA1E_6H_X2_B3_DUO52HI53LO:J22|CPC002_HA1E_6H_X3_B3_DUO52HI53LO:J22,,CPC,BRD-K95676198,1,1,0,1,BRD-K95676198_10 uM_6 h_HA1E,1,BRD-K95676198_10 uM_6 h
f1b3,10,10,uM,10 uM,6 h,6,h,HA1E,BRD-K66426634,3,0.51,235,0.350066,0.452489,"""""""""""""""""""""""""""""""""",4.52235,5.45213,0.307249,0.440891,14.03,61.7858,1,1,BRD-K66426634,CPC012_HA1E_6H:BRD-K66426634-001-01-5:10,trt_cp,HA1E,B24,CPC012_HA1E_6H_X1_F1B3_DUO52HI53LO|CPC012_HA1E_6H_X2_F1B3_DUO52HI53LO|CPC012_HA1E_6H_X3_F1B3_DUO52HI53LO,CPC012_HA1E_6H_X1_F1B3_DUO52HI53LO:B24|CPC012_HA1E_6H_X2_F1B3_DUO52HI53LO:B24|CPC012_HA1E_6H_X3_F1B3_DUO52HI53LO:B24,,CPC,BRD-K66426634,1,1,0,1,BRD-K66426634_10 uM_6 h_HA1E,1,BRD-K66426634_10 uM_6 h
b3,10,10,uM,10 uM,24 h,24,h,HA1E,BRD-K15616905,3,0.64,388,0.503891,0,"""""""""""""""""""""""""""""""""",0,0,0.609256,0.837938,13.41,59.1444,1,1,BRD-K15616905,CPC003_HA1E_24H:BRD-K15616905-001-01-5:10,trt_cp,HA1E,N16,CPC003_HA1E_24H_X1_B3_DUO52HI53LO|CPC003_HA1E_24H_X2_B3_DUO52HI53LO|CPC003_HA1E_24H_X3_B3_DUO52HI53LO,CPC003_HA1E_24H_X1_B3_DUO52HI53LO:N16|CPC003_HA1E_24H_X2_B3_DUO52HI53LO:N16|CPC003_HA1E_24H_X3_B3_DUO52HI53LO:N16,,CPC,CCCP,1,1,0,1,CCCP_10 uM_24 h_HA1E,1,CCCP_10 uM_24 h
f1b3,10,10,uM,10 uM,6 h,6,h,HA1E,BRD-K53592093,3,0.36,363,0.36554,0.735971,"""""""""""""""""""""""""""""""""",86.0625,89.1148,-0.342345,-0.419011,10.25,43.4396,0,1,BRD-K53592093,CPC013_HA1E_6H:BRD-K53592093-001-01-3:10,trt_cp,HA1E,F01,CPC013_HA1E_6H_X1_F1B3_DUO52HI53LO|CPC013_HA1E_6H_X2_F1B3_DUO52HI53LO|CPC013_HA1E_6H_X3_F1B3_DUO52HI53LO,CPC013_HA1E_6H_X1_F1B3_DUO52HI53LO:F01|CPC013_HA1E_6H_X2_F1B3_DUO52HI53LO:F01|CPC013_HA1E_6H_X3_F1B3_DUO52HI53LO:F01,,CPC,BRD-K53592093,1,1,0,1,BRD-K53592093_10 uM_6 h_HA1E,1,BRD-K53592093_10 uM_6 h
b3,10,10,uM,10 uM,6 h,6,h,HA1E,BRD-K37080523,3,0.54,301,0.407672,0.0910747,"""""""""""""""""""""""""""""""""",4.53333,1.2,0.310851,0.617806,20.29,80.3905,1,1,BRD-K37080523,CPC002_HA1E_6H:BRD-K37080523-001-02-8:10,trt_cp,HA1E,M24,CPC002_HA1E_6H_X1_B3_DUO52HI53LO|CPC002_HA1E_6H_X2_B3_DUO52HI53LO|CPC002_HA1E_6H_X3_B3_DUO52HI53LO,CPC002_HA1E_6H_X1_B3_DUO52HI53LO:M24|CPC002_HA1E_6H_X2_B3_DUO52HI53LO:M24|CPC002_HA1E_6H_X3_B3_DUO52HI53LO:M24,,CPC,isoreserpine,1,1,0,1,isoreserpine_10 uM_6 h_HA1E,1,isoreserpine_10 uM_6 h
b3,10,10,uM,10 uM,24 h,24,h,HA1E,BRD-K20714604,3,0.49,392,0.443171,0.372787,"""""""""""""""""""""""""""""""""",22.2824,4.58518,0.152781,0.506437,11.51,49.4401,1,1,BRD-K20714604,CPC002_HA1E_24H:BRD-K20714604-003-01-1:10,trt_cp,HA1E,L03,CPC002_HA1E_24H_X1_B3_DUO52HI53LO|CPC002_HA1E_24H_X2_B3_DUO52HI53LO|CPC002_HA1E_24H_X3_B3_DUO52HI53LO,CPC002_HA1E_24H_X1_B3_DUO52HI53LO:L03|CPC002_HA1E_24H_X2_B3_DUO52HI53LO:L03|CPC002_HA1E_24H_X3_B3_DUO52HI53LO:L03,,CPC,RS-56812,1,1,0,1,RS-56812_10 uM_24 h_HA1E,1,RS-56812_10 uM_24 h
f1b3,10,10,uM,10 uM,6 h,6,h,HA1E,BRD-K47709646,3,0.4,316,0.359504,0.452489,"""""""""""""""""""""""""""""""""",84.4415,83.5912,-0.173177,-0.127696,14.03,61.7858,0,1,BRD-K47709646,CPC012_HA1E_6H:BRD-K47709646-001-01-4:10,trt_cp,HA1E,D24,CPC012_HA1E_6H_X1_F1B3_DUO52HI53LO|CPC012_HA1E_6H_X2_F1B3_DUO52HI53LO|CPC012_HA1E_6H_X3_F1B3_DUO52HI53LO,CPC012_HA1E_6H_X1_F1B3_DUO52HI53LO:D24|CPC012_HA1E_6H_X2_F1B3_DUO52HI53LO:D24|CPC012_HA1E_6H_X3_F1B3_DUO52HI53LO:D24,,CPC,BRD-K47709646,1,1,0,1,BRD-K47709646_10 uM_6 h_HA1E,1,BRD-K47709646_10 uM_6 h
b19,10,10,uM,10 uM,24 h,24,h,HA1E,BRD-K00337317,3,0.66,380,0.506401,0,"0.36,0.28,0.36",0,0,0.465078,0.730129,10.2,43.2099,1,1,BRD-K00337317,LJP005_HA1E_24H:C07,trt_cp,HA1E,C07,LJP005_HA1E_24H_X1_B19|LJP005_HA1E_24H_X2_B19|LJP005_HA1E_24H_X3_B19,LJP005_HA1E_24H_X1_B19:C07|LJP005_HA1E_24H_X2_B19:C07|LJP005_HA1E_24H_X3_B19:C07,,LJP,NU-7441,1,1,0,1,NU-7441_10 uM_24 h_HA1E,1,NU-7441_10 uM_24 h
b19,10,10,uM,10 uM,24 h,24,h,HA1E,BRD-K29395450,3,0.65,328,0.4669,0,"0.34,0.31,0.35",0,0,0.553211,0.713495,10.2,43.2099,1,1,BRD-K29395450,LJP005_HA1E_24H:K13,trt_cp,HA1E,K13,LJP005_HA1E_24H_X1_B19|LJP005_HA1E_24H_X2_B19|LJP005_HA1E_24H_X3_B19,LJP005_HA1E_24H_X1_B19:K13|LJP005_HA1E_24H_X2_B19:K13|LJP005_HA1E_24H_X3_B19:K13,,LJP,PIK-93,1,1,0,1,PIK-93_10 uM_24 h_HA1E,1,PIK-93_10 uM_24 h
b23,10,10,uM,10 uM,24 h,24,h,HA1E,BRD-K62858456,3,0.3741,287,0.331334,0.0672646,"0.27,0.37,0.36",0.672043,13.001,0.262423,0.475897,14.59,63.6233,1,1,BRD-K62858456,REP.A017_HA1E_24H:F13,trt_cp,HA1E,F13,REP.A017_HA1E_24H_X1_B23|REP.A017_HA1E_24H_X2_B23|REP.A017_HA1E_24H_X3_B23,REP.A017_HA1E_24H_X1_B23:F13|REP.A017_HA1E_24H_X2_B23:F13|REP.A017_HA1E_24H_X3_B23:F13,,REP,lomerizine,1,1,0,1,lomerizine_10 uM_24 h_HA1E,1,lomerizine_10 uM_24 h
b23,0.04,0.0411523,uM,0.04 uM,24 h,24,h,HA1E,BRD-A52252998,3,0.4618,259,0.349709,0.0229568,"0.33,0.34,0.33",0,0,0.445074,0.753019,16.86,71.2891,1,1,BRD-A52252998,REP.A016_HA1E_24H:F06,trt_cp,HA1E,F06,REP.A016_HA1E_24H_X1_B23|REP.A016_HA1E_24H_X2_B23|REP.A016_HA1E_24H_X3_B23,REP.A016_HA1E_24H_X1_B23:F06|REP.A016_HA1E_24H_X2_B23:F06|REP.A016_HA1E_24H_X3_B23:F06,,REP,clindamycin,1,1,0,1,clindamycin_0.04 uM_24 h_HA1E,1,clindamycin_0.04 uM_24 h
b23,3.33,3.33333,uM,3.33 uM,24 h,24,h,HA1E,BRD-K60585088,3,0.628,450,0.537547,0.11374,"0.33,0.33,0.34",0.544959,0.27248,0.614838,0.815121,10.59,45.1048,1,1,BRD-K60585088,REP.A014_HA1E_24H:H20,trt_cp,HA1E,H20,REP.A014_HA1E_24H_X1_B23|REP.A014_HA1E_24H_X2_B23|REP.A014_HA1E_24H_X3_B23,REP.A014_HA1E_24H_X1_B23:H20|REP.A014_HA1E_24H_X2_B23:H20|REP.A014_HA1E_24H_X3_B23:H20,,REP,paricalcitol,1,1,0,1,paricalcitol_3.33 uM_24 h_HA1E,1,paricalcitol_3.33 uM_24 h
b22,10,10,uM,10 uM,24 h,24,h,HA1E,BRD-A22769835,3,0.725,618,0.676852,0.11542,"0.34,0.33,0.33",0.140449,0.140449,0.716878,0.706415,10.25,43.4683,1,1,BRD-A22769835,REP.A004_HA1E_24H:J01,trt_cp,HA1E,J01,REP.A004_HA1E_24H_X1_B22|REP.A004_HA1E_24H_X2_B22|REP.A004_HA1E_24H_X3_B22,REP.A004_HA1E_24H_X1_B22:J01|REP.A004_HA1E_24H_X2_B22:J01|REP.A004_HA1E_24H_X3_B22:J01,,REP,homochlorcyclizine,1,1,0,1,homochlorcyclizine_10 uM_24 h_HA1E,1,homochlorcyclizine_10 uM_24 h
b22,10,10,uM,10 uM,24 h,24,h,HA1E,BRD-K43797669,3,0.5581,291,0.407505,0,"0.36,0.36,0.28",0.137363,0,0.393363,0.6609,10.05,42.4347,1,1,BRD-K43797669,REP.A007_HA1E_24H:D01,trt_cp,HA1E,D01,REP.A007_HA1E_24H_X1_B22|REP.A007_HA1E_24H_X2_B24|REP.A007_HA1E_24H_X3_B22,REP.A007_HA1E_24H_X1_B22:D01|REP.A007_HA1E_24H_X2_B24:D01|REP.A007_HA1E_24H_X3_B22:D01,,REP,genistein,1,1,0,1,genistein_10 uM_24 h_HA1E,1,genistein_10 uM_24 h
b19,20,20,uM,20 uM,24 h,24,h,HA1E,BRD-K37813153,3,0.3542,467,0.411257,4.45144,"0.43,0.38,0.19",13.501,15.5428,0.166932,0.555195,23.31,85.1278,0,1,BRD-K37813153,DOSVAL002_HA1E_24H:BRD-K37813153:20,trt_cp,HA1E,C01,DOSVAL002_HA1E_24H_X1_B19|DOSVAL002_HA1E_24H_X2_B19|DOSVAL002_HA1E_24H_X3_B19,DOSVAL002_HA1E_24H_X1_B19:C01|DOSVAL002_HA1E_24H_X2_B19:C01|DOSVAL002_HA1E_24H_X3_B19:C01,,DOSVAL,BRD-K37813153,1,1,0,1,BRD-K37813153_20 uM_24 h_HA1E,1,BRD-K37813153_20 uM_24 h
b19,20,20,uM,20 uM,24 h,24,h,HA1E,BRD-K68319707,3,0.3252,438,0.38163,0.876799,"0.35,0.35,0.30",3.87812,5.92465,0.268322,0.485653,23.31,85.1278,1,1,BRD-K68319707,DOSVAL002_HA1E_24H:BRD-K68319707:20,trt_cp,HA1E,P01,DOSVAL002_HA1E_24H_X1_B19|DOSVAL002_HA1E_24H_X2_B19|DOSVAL002_HA1E_24H_X3_B19,DOSVAL002_HA1E_24H_X1_B19:P01|DOSVAL002_HA1E_24H_X2_B19:P01|DOSVAL002_HA1E_24H_X3_B19:P01,,DOSVAL,BRD-K68319707,1,1,0,1,BRD-K68319707_20 uM_24 h_HA1E,1,BRD-K68319707_20 uM_24 h
