"",Immunization_Ag,Group,Vaccine,Viral_copy_Week0,Viral_copy_Week1,Viral_copy_Week2,Viral_copy_Week3,Viral_copy_Week4,Viral_copy_Week5,Viral_copy_Week6,Challenge,ProtectBinary,Protection
"39","Mosaic Gag, Pol, Env",4,1,0,0,4.49750952615146,5.7562091237505,4.7793267319041,5.35501928434668,4.35835774890165,2,0,Non-protection
"40","Mosaic Gag, Pol, Env",4,1,0,4.2346046040129,6.9733718811656,5.11403117948458,4.10514938590597,4.52372345678219,4.20161908176096,1,0,Non-protection
"41","Mosaic Gag, Pol, Env",4,1,0,0,0,0,0,0,2.53442258017056,6,1,Protection
"42","Mosaic Gag, Pol, Env",4,1,0,0,0,4.26433589534657,5.7384041452161,5.20754742364404,4.57853638095821,3,0,Non-protection
"43","Mosaic Gag, Pol, Env",4,1,0,0,0,2.4,5.42853990012613,4.06147024519575,4.53703695321663,3,0,Non-protection
"44","Mosaic Gag, Pol, Env",4,1,0,0,0,0,0,0,3.30634288270765,6,1,Protection
"45","Mosaic Gag, Pol, Env",4,1,0,0,0,3.72732200654638,6.78438502525493,5.81392098232863,4.84950178449184,3,0,Non-protection
"46","Mosaic Gag, Pol, Env",4,1,0,2.89885512790637,6.69967635549082,4.09685447540743,3.77375455480756,5.1862483261657,4.0823406894565,1,0,Non-protection
"47","Mosaic Gag, Pol, Env",4,1,0,0,2.4,5.28089980684394,3.63926164050808,3.58503104588807,2.92115202064834,2,0,Non-protection
"48","Mosaic Gag, Pol, Env",4,1,0,0,0,0,0,0,0,7,1,Protection
"49","Mosaic Gag, Pol, Env + Clade C Env",5,1,0,0,0,0,0,0,0,7,1,Protection
"50","Mosaic Gag, Pol, Env + Clade C Env",5,1,0,0,0,0,0,2.4,0,7,1,Protection
"51","Mosaic Gag, Pol, Env + Clade C Env",5,1,0,0,0,0,0,0,0,7,1,Protection
"52","Mosaic Gag, Pol, Env + Clade C Env",5,1,0,0,3.47154860333284,6.04216168626841,4.80240951169277,4.49052738027687,4.05517754122114,2,0,Non-protection
"53","Mosaic Gag, Pol, Env + Clade C Env",5,1,0,0,0,0,0,0,0,7,1,Protection
"54","Mosaic Gag, Pol, Env + Clade C Env",5,1,0,0,3.57583359906428,6.14097238139851,3.74844855810009,3.0014780397368,2.4,2,0,Non-protection
"55","Mosaic Gag, Pol, Env + Clade C Env",5,1,0,0,0,0,6.08744478100049,4.99557257415458,3.21493760628828,4,1,Protection
"56","Mosaic Gag, Pol, Env + Clade C Env",5,1,0,0,0,0,0,5.08575627778805,5.65488793644576,5,1,Protection
"57","Mosaic Gag, Pol, Env + Clade C Env",5,1,0,0,0,0,0,0,0,7,1,Protection
"58","Mosaic Gag, Pol, Env + Clade C Env",5,1,0,0,3.48359710583958,6.34065610142611,5.77960695577111,5.74179630060398,4.86223798285775,2,0,Non-protection
"59","Mosaic Gag, Pol, Env + Clade C Env",5,1,0,3.66794336818546,6.63457320388107,4.07075230667428,3.46085299424083,3.46676251017154,4.22731869687127,1,0,Non-protection
"60","Mosaic Gag, Pol, Env + Clade C Env",5,1,0,0,0,2.71788208275448,6.21254278994042,4.00681936988207,3.91516137653698,3,0,Non-protection
"61",Sham,6,0,0,4.6854646776796,7.04072859466096,5.88076979525977,5.52814579102836,5.62978364613597,5.89812391132968,1,0,Non-protection
"62",Sham,6,0,0,5.48817024919626,6.34342636406144,5.95238769975015,6.29294250988728,5.53687973238723,4.99555201368685,1,0,Non-protection
"63",Sham,6,0,0,3.90458490221902,3.5012887311311,6.06840168865734,5.14862628029994,5.12588912185108,5.24418799080961,1,0,Non-protection
"64",Sham,6,0,0,0,0,0,0,4.19312438629656,6.7297434623612,5,1,Protection
"65",Sham,6,0,0,3.18938151795889,7.39248692338516,6.07391745757896,5.24739911107072,5.01967253232893,4.74839687921129,1,0,Non-protection
"66",Sham,6,0,0,5.28654405348323,7.01623503508269,5.88681823488848,5.53406274572643,5.7314178343583,5.4328707361113,1,0,Non-protection
"67",Sham,6,0,0,0,0,0,2.42317489027233,6.55860563354207,5.58376272294509,4,1,Protection
"68",Sham,6,0,0,0,2.4,6.78269877465012,5.92459316558041,4.53072678749055,4.00397953261903,2,0,Non-protection
"69",Sham,6,0,0,4.58224492774523,6.79959137616761,6.4135865837345,6.08840029999487,5.59493118478512,6.04459161442916,1,0,Non-protection
"70",Sham,6,0,0,2.97245001041602,7.33907795048268,5.34195929811687,5.33190096197738,2.4,4.79441898015402,1,0,Non-protection
"71",Sham,6,0,0,0,5.30913840787116,6.56440186481821,5.66014553335482,5.98407587045158,5.47338749702572,2,0,Non-protection
"72",Sham,6,0,0,2.4,5.89533596652367,3.78642984212212,3.22437084504381,3.70434740270453,3.30042093571293,1,0,Non-protection
