,metric,direct translation,similarity-trained AE,similarity-trained VAE,pre-similarity-trained VAE,AE with classifier,CPA-based AE,direct translation AE
direct translation,pearson,1.0,0.00032983852077799353,0.0017062493689195964,0.0005828399431792743,0.00032983852077799353,0.00043963875262656454,0.00043963875262656454
similarity-trained AE,pearson,0.0,1.0,0.7337299956962472,0.8501067391385259,0.5205228832757727,0.7913367801006604,0.3447042220069576
similarity-trained VAE,pearson,0.0,0.0,1.0,0.9698499769931556,0.4273553138978077,0.7337299956962472,0.8501067391385259
pre-similarity-trained VAE,pearson,0.0,0.0,0.0,1.0,0.47267559351158717,0.9097218891455553,0.7913367801006604
AE with classifier,pearson,0.0,0.0,0.0,0.0,1.0,0.5205228832757727,0.21229383619233155
CPA-based AE,pearson,0.0,0.0,0.0,0.0,0.0,1.0,0.5205228832757727
direct translation AE,pearson,0.0,0.0,0.0,0.0,0.0,0.0,1.0
direct translation,spearman,1.0,0.0005828399431792743,0.0022022199424970783,0.0005828399431792743,0.00032983852077799353,0.0007685389131627665,0.0005828399431792743
similarity-trained AE,spearman,0.0,1.0,0.9097218891455553,0.7913367801006604,0.6231762238821174,0.9698499769931556,0.5205228832757727
similarity-trained VAE,spearman,0.0,0.0,1.0,0.9698499769931556,0.5205228832757727,0.9097218891455553,0.6231762238821174
pre-similarity-trained VAE,spearman,0.0,0.0,0.0,1.0,0.4273553138978077,0.9698499769931556,0.8501067391385259
AE with classifier,spearman,0.0,0.0,0.0,0.0,1.0,0.6231762238821174,0.27303633975118835
CPA-based AE,spearman,0.0,0.0,0.0,0.0,0.0,1.0,0.47267559351158717
direct translation AE,spearman,0.0,0.0,0.0,0.0,0.0,0.0,1.0
direct translation,sign accuracy,1.0,0.0010079762403767444,0.0028272720911168077,0.0005828399431792743,0.00032983852077799353,0.0010079762403767444,0.0005828399431792743
similarity-trained AE,sign accuracy,0.0,1.0,0.8501067391385259,0.9698499769931556,0.5707503880581739,1.0,0.6231762238821174
similarity-trained VAE,sign accuracy,0.0,0.0,1.0,0.9698499769931556,0.3447042220069576,0.7913367801006604,0.7337299956962472
pre-similarity-trained VAE,sign accuracy,0.0,0.0,0.0,1.0,0.4273553138978077,0.9097218891455553,0.7337299956962472
AE with classifier,sign accuracy,0.0,0.0,0.0,0.0,1.0,0.5205228832757727,0.24132159301718004
CPA-based AE,sign accuracy,0.0,0.0,0.0,0.0,0.0,1.0,0.47267559351158717
direct translation AE,sign accuracy,0.0,0.0,0.0,0.0,0.0,0.0,1.0
