,recon_pear_ht29,recon_pear_a375,recon_spear_ht29,recon_spear_a375,recon_acc_ht29,recon_acc_a375
0,0.8462126851081848,0.9031888842582703,0.4459987255431072,0.784397712575295,0.6157315340909091,0.7862711588541667
1,0.84014892578125,0.9035740494728088,0.44415543335661634,0.7893482617677581,0.6155007102272727,0.7900227864583333
2,0.8306015729904175,0.9064583778381348,0.40879253226092344,0.799612042786251,0.6005504261363637,0.7942464192708333
3,0.8376067280769348,0.8999808430671692,0.43865271293508723,0.7842071086429797,0.6113902698863637,0.7874104817708333
4,0.8688316345214844,0.9151132702827454,0.42897049461959585,0.7916994442777452,0.6100319602272727,0.7890706380208333
5,0.8649423718452454,0.9134233593940735,0.45323308835123627,0.7946820521106932,0.6201349431818182,0.791015625
6,0.8555487394332886,0.9036898612976074,0.45797437254552237,0.7887418411589676,0.6224165482954546,0.7878824869791666
7,0.869382917881012,0.9102125763893127,0.45458192154856264,0.7891756619832723,0.6191583806818182,0.7873860677083333
8,0.8658186793327332,0.9133198857307434,0.47205268413410795,0.7891638640995219,0.6274325284090909,0.7870930989583333
9,0.8469756245613098,0.90377277135849,0.44453200911553664,0.7731146884797523,0.61552734375,0.7779134114583334
