"","pvalue","tvalue","logp"
"z0",0.000969822674769889,-3.30657608405054,6.93839731269412
"z1",0.98335118518412,-0.02073605770585,0.0167889640566419
"z2",3.70582906669096e-05,-4.15452045058813,10.2030184615677
"z3",0.257223222443719,1.1269675301096,1.35781100125549
"z4",0.179781653738813,1.33485216950472,1.71601219919851
"z5",0.0169651903272279,2.38306905217618,4.07659166199202
"z6",0.0856357409968476,1.71201292287866,2.45765254796802
"z7",0.189005544752836,1.30701178029713,1.66597892703623
"z8",0.156460840233729,-1.41036086689762,1.85494952246141
"z9",0.0149918981303579,2.42851588712209,4.20024534844259
"z10",0.126376178149514,1.52169976421309,2.06849227903796
"z11",0.3625551463698,0.905352501946936,1.01457868834099
"z12",0.661447701431289,0.43521798897447,0.413324359125082
"z13",0.00629558293685133,-2.73074623839924,5.06790701261973
"z14",0.746870991041784,-0.320757803989522,0.291862811519467
"z15",9.77762163210721e-10,6.25733159647148,20.7457546623696
"z16",3.34674092397116e-05,-4.17872557618981,10.3049384511833
"z17",0.329205306024796,0.970285945932751,1.11107369237231
"z18",0.455810892965384,0.741381466487353,0.785677263892311
"z19",0.0186383227328162,-2.34805341973468,3.98253545591838
"z20",0.479522452938328,-0.702886031213156,0.73496456002328
"z21",0.00137989874454934,-3.2043834024813,6.58574515601996
"z22",1.49711854222209e-05,4.36596495768436,11.1093831761467
"z23",0.00709187817886592,-2.69083259562877,4.94880506817857
"z24",0.976442040406112,-0.0293435252354805,0.0238398848497717
"z25",2.46178439176437e-08,-5.67900466401082,17.5197942944505
"z26",0.612547520572137,0.503346648685254,0.490128754965214
"z27",0.380653094202191,0.871688991199402,0.965866832530019
"z28",0.814159525884314,0.233590481669173,0.205598954435869
"z29",1.50852236882809e-06,4.86802935023765,13.4043799499335
"z30",0.00242512777724158,3.03531532308057,6.02187106433483
"z31",0.00117961580370368,-3.25014595092037,6.74256648360215
