"","pvalue","tvalue","logp"
"z0",0.000295971038921367,-3.63331074981785,8.12524894990887
"z1",0.58239891336492,0.546544619212094,0.540599647889658
"z2",0.000651326376139149,-3.41897202807173,7.33649969555167
"z3",7.92785205361453e-05,3.97018475004527,9.44254332936609
"z4",0.86676292323004,-0.166716836331338,0.142989784542532
"z5",0.0442842529986732,2.00507385363959,3.11712612790682
"z6",0.11121158111341,1.58588372177377,2.19632075588521
"z7",0.253293782593339,-1.13634369258131,1.37320526790016
"z8",0.269674205412008,1.09790041735175,1.31054069519014
"z9",0.660211623002921,0.436913728335627,0.41519485444246
"z10",0.00688574664168818,-2.70076054954791,4.97830170799158
"z11",3.36596843410728e-10,6.43994683761774,21.8121352120806
"z12",0.0843199193007021,1.71928795953448,2.47313715124953
"z13",0.0865302879925987,1.70711874069819,2.44726077612913
"z14",0.000491188190224082,-3.49687030444539,7.61868322412379
"z15",0.55965546960647,0.579827944692635,0.580433917431919
"z16",0.165398645750361,-1.38047737432281,1.79939668415061
"z17",8.08012687849395e-05,3.96548472247834,9.42351788977661
"z18",0.000505433815056246,3.48904184635262,7.59009345773702
"z19",0.0209649434474994,-2.30369542258401,3.86490359583506
"z20",1.65717732457603e-05,4.34268164060564,11.0078097168164
"z21",0.000603780126952545,3.4400367901637,7.41230045452808
"z22",0.0751094451632197,1.77297975713659,2.58880896030099
"z23",0.00200472299090815,3.09322178628123,6.21224938691652
"z24",0.0243504899292389,2.24629469701998,3.71520330935866
"z25",6.68006032521153e-10,-6.32301299468611,21.1267239117124
"z26",0.158835483359037,-1.40229733177865,1.83988630828431
"z27",0.00164437133672414,3.15258610962564,6.41039713393403
"z28",0.0946603918962156,-1.66441938649073,2.3574596144723
"z29",0.423634400379276,0.795484006712413,0.8588844589694
"z30",0.31471870459412,0.99982132230556,1.1560760404082
"z31",0.400836951529066,0.835290318948883,0.914200539027331
