bead_batch,nearest_dose,pert_dose,pert_dose_unit,pert_idose,pert_itime,pert_time,pert_time_unit,cell_mfc_name,pert_mfc_id,nsample,cc_q75,ss_ngene,tas,pct_self_rank_q25,wt,median_recall_rank_spearman,median_recall_rank_wtcs_50,median_recall_score_spearman,median_recall_score_wtcs_50,batch_effect_tstat,batch_effect_tstat_pct,is_hiq,qc_pass,pert_id,sig_id,pert_type,cell_iname,det_wells,det_plates,distil_ids,build_name,project_code,cmap_name,is_exemplar_sig,is_ncs_sig,is_null_sig,quality_replicates,per_cell_sigs,duplIdentifier,dupl_counts,conditionId
b36,,,Unknown,"",96 h,96,h,BICR6.311,CMAP-000,3,0.1993,131,0.163402,18.0088,"0.09,0.41,0.50",40.6687,39.3496,0.0567727,0.240661,7.19,27.6199,0,1,CMAP-000,XPR017_BICR6.311_96H:H23,ctl_untrt,BICR6,H23,XPR017_BICR6.311_96H_X1_B36|XPR017_BICR6.311_96H_X2_B36|XPR017_BICR6.311_96H_X3_B36,XPR017_BICR6.311_96H_X1_B36:H23|XPR017_BICR6.311_96H_X2_B36:H23|XPR017_BICR6.311_96H_X3_B36:H23,,XPR,UnTrt,0,0,0,1,219,UnTrt__96 h_BICR6,219,UnTrt__96 h
b38,,,Unknown,"",96 h,96,h,BICR6.311,CMAP-000,3,0.26,119,0.0110307,7.05645,"0.22,0.41,0.36",23.0011,30.9238,0.148287,0.333099,12.6,54.9239,0,1,CMAP-000,XPR029_BICR6.311_96H:N11,ctl_untrt,BICR6,N11,XPR029_BICR6.311_96H_X1_B38|XPR029_BICR6.311_96H_X2_B38|XPR029_BICR6.311_96H_X3_B38,XPR029_BICR6.311_96H_X1_B38:N11|XPR029_BICR6.311_96H_X2_B38:N11|XPR029_BICR6.311_96H_X3_B38:N11,,XPR,UnTrt,0,0,0,1,219,UnTrt__96 h_BICR6,219,UnTrt__96 h
b41,,,Unknown,"",96 h,96,h,BICR6.311,CMAP-000,3,0.3834,139,0.233446,1,"0.31,0.35,0.34",4.5,11.5,0.338199,0.489696,0,0,1,1,CMAP-000,XPR036_BICR6.311_96H:K12,ctl_untrt,BICR6,K12,XPR036_BICR6.311_96H_X4_B41|XPR036_BICR6.311_96H_X5.A3_B41|XPR036_BICR6.311_96H_X6_B41,XPR036_BICR6.311_96H_X4_B41:K12|XPR036_BICR6.311_96H_X5.A3_B41:K12|XPR036_BICR6.311_96H_X6_B41:K12,,XPR,UnTrt,0,0,0,1,219,UnTrt__96 h_BICR6,219,UnTrt__96 h
b36,,,Unknown,"",96 h,96,h,BICR6.311,CMAP-000,3,0.2306,82,0.139039,4.38167,"0.25,0.42,0.33",8.53197,42.5953,0.165559,0.175533,6.48,24.8636,0,1,CMAP-000,XPR010_BICR6.311_96H:D05,ctl_untrt,BICR6,D05,XPR010_BICR6.311_96H_X1_B36|XPR010_BICR6.311_96H_X2_B36|XPR010_BICR6.311_96H_X3_B36,XPR010_BICR6.311_96H_X1_B36:D05|XPR010_BICR6.311_96H_X2_B36:D05|XPR010_BICR6.311_96H_X3_B36:D05,,XPR,UnTrt,0,0,0,1,219,UnTrt__96 h_BICR6,219,UnTrt__96 h
b36,,,Unknown,"",96 h,96,h,BICR6.311,CMAP-000,3,0.3572,175,0.252816,0.465426,"0.30,0.33,0.37",2.26738,6.74958,0.323955,0.475567,8.65,35.1421,1,1,CMAP-000,XPR011_BICR6.311_96H:E01,ctl_untrt,BICR6,E01,XPR011_BICR6.311_96H_X1_B36|XPR011_BICR6.311_96H_X2_B36|XPR011_BICR6.311_96H_X3_B36,XPR011_BICR6.311_96H_X1_B36:E01|XPR011_BICR6.311_96H_X2_B36:E01|XPR011_BICR6.311_96H_X3_B36:E01,,XPR,UnTrt,0,0,0,1,219,UnTrt__96 h_BICR6,219,UnTrt__96 h
b37,,,Unknown,"",96 h,96,h,BICR6.311,CMAP-000,3,0.3643,276,0.320631,20.4688,"0.02,0.49,0.49",88.285,87.7288,-0.222205,-0.32827,11.3,48.2056,0,1,CMAP-000,XPR026_BICR6.311_96H:P03,ctl_untrt,BICR6,P03,XPR026_BICR6.311_96H_X1_B37|XPR026_BICR6.311_96H_X2_B37|XPR026_BICR6.311_96H_X3_B37,XPR026_BICR6.311_96H_X1_B37:P03|XPR026_BICR6.311_96H_X2_B37:P03|XPR026_BICR6.311_96H_X3_B37:P03,,XPR,UnTrt,0,0,0,1,219,UnTrt__96 h_BICR6,219,UnTrt__96 h
b37,,,Unknown,"",96 h,96,h,BICR6.311,CMAP-000,3,0.1189,105,0.112976,18,"0.31,0.33,0.36",72.5,87,0.109894,0.343268,0,0,0,1,CMAP-000,XPR022_BICR6.311_96H:O17,ctl_untrt,BICR6,O17,XPR022_BICR6.311_96H_X1_B37|XPR022_BICR6.311_96H_X2_B37|XPR022_BICR6.311_96H_X3_B37,XPR022_BICR6.311_96H_X1_B37:O17|XPR022_BICR6.311_96H_X2_B37:O17|XPR022_BICR6.311_96H_X3_B37:O17,,XPR,UnTrt,0,0,0,1,219,UnTrt__96 h_BICR6,219,UnTrt__96 h
b38,,,Unknown,"",96 h,96,h,BICR6.311,CMAP-000,3,0.2695,104,0.169298,1.97727,"0.27,0.33,0.41",10.2988,7.88706,0.212888,0.436112,11.42,48.9233,0,1,CMAP-000,XPR032_BICR6.311_96H:H16,ctl_untrt,BICR6,H16,XPR032_BICR6.311_96H_X1_B38|XPR032_BICR6.311_96H_X2_B38|XPR032_BICR6.311_96H_X3_B38,XPR032_BICR6.311_96H_X1_B38:H16|XPR032_BICR6.311_96H_X2_B38:H16|XPR032_BICR6.311_96H_X3_B38:H16,,XPR,UnTrt,0,0,0,1,219,UnTrt__96 h_BICR6,219,UnTrt__96 h
b36,,,Unknown,"",96 h,96,h,BICR6.311,CMAP-000,3,0.1461,72,0.103724,13.0722,"0.45,0.27,0.28",21.3338,21.597,0.138958,0.340802,8.36,33.3908,0,1,CMAP-000,XPR008_BICR6.311_96H:B20,ctl_untrt,BICR6,B20,XPR008_BICR6.311_96H_X1_B36|XPR008_BICR6.311_96H_X2_B36|XPR008_BICR6.311_96H_X3_B36,XPR008_BICR6.311_96H_X1_B36:B20|XPR008_BICR6.311_96H_X2_B36:B20|XPR008_BICR6.311_96H_X3_B36:B20,,XPR,UnTrt,0,0,0,1,219,UnTrt__96 h_BICR6,219,UnTrt__96 h
b36,,,Unknown,"",96 h,96,h,BICR6.311,CMAP-000,3,0.3225,145,0.218663,4.08163,"0.37,0.32,0.31",11.4176,8.12363,0.316067,0.478772,5.05,19.5808,0,1,CMAP-000,XPR014_BICR6.311_96H:H22,ctl_untrt,BICR6,H22,XPR014_BICR6.311_96H_X1_B36|XPR014_BICR6.311_96H_X2_B36|XPR014_BICR6.311_96H_X3_B36,XPR014_BICR6.311_96H_X1_B36:H22|XPR014_BICR6.311_96H_X2_B36:H22|XPR014_BICR6.311_96H_X3_B36:H22,,XPR,UnTrt,0,0,0,1,219,UnTrt__96 h_BICR6,219,UnTrt__96 h
