bead_batch,nearest_dose,pert_dose,pert_dose_unit,pert_idose,pert_itime,pert_time,pert_time_unit,cell_mfc_name,pert_mfc_id,nsample,cc_q75,ss_ngene,tas,pct_self_rank_q25,wt,median_recall_rank_spearman,median_recall_rank_wtcs_50,median_recall_score_spearman,median_recall_score_wtcs_50,batch_effect_tstat,batch_effect_tstat_pct,is_hiq,qc_pass,pert_id,sig_id,pert_type,cell_iname,det_wells,det_plates,distil_ids,build_name,project_code,cmap_name,is_exemplar_sig,is_ncs_sig,is_null_sig,quality_replicates,per_cell_sigs,duplIdentifier,dupl_counts,conditionId
b35,,,Unknown,"",96 h,96,h,YAPC.311,CMAP-000,3,0.2598,236,0.250364,14,"0.49,0.03,0.49",227.5,130.5,-0.0488367,0.255709,0,0,0,1,CMAP-000,XPR008_YAPC.311_96H:I23,ctl_untrt,YAPC,I23,XPR008_YAPC.311_96H_X1_B35|XPR008_YAPC.311_96H_X2_B35|XPR008_YAPC.311_96H_X3_B35,XPR008_YAPC.311_96H_X1_B35:I23|XPR008_YAPC.311_96H_X2_B35:I23|XPR008_YAPC.311_96H_X3_B35:I23,,XPR,UnTrt,0,0,0,1,230,UnTrt__96 h_YAPC,230,UnTrt__96 h
b36,,,Unknown,"",96 h,96,h,YAPC.311,CMAP-000,3,0.3457,294,0.322363,7.61456,"0.42,0.50,0.08",26.8224,14.9845,0.0805068,0.301808,5.42,20.9589,0,1,CMAP-000,XPR018_YAPC.311_96H:D03,ctl_untrt,YAPC,D03,XPR018_YAPC.311_96H_X1_B36|XPR018_YAPC.311_96H_X2_B36|XPR018_YAPC.311_96H_X3_B36,XPR018_YAPC.311_96H_X1_B36:D03|XPR018_YAPC.311_96H_X2_B36:D03|XPR018_YAPC.311_96H_X3_B36:D03,,XPR,UnTrt,0,0,0,1,230,UnTrt__96 h_YAPC,230,UnTrt__96 h
b41,,,Unknown,"",96 h,96,h,YAPC.311,CMAP-000,3,0.1545,110,0.131809,16.934,"0.34,0.32,0.34",23.1749,24.3848,0.140163,0.368682,15.32,66.0637,0,1,CMAP-000,XPR028_YAPC.311_96H:M04,ctl_untrt,YAPC,M04,XPR028_YAPC.311_96H_X4.L2_B41|XPR028_YAPC.311_96H_X5.L2_B41|XPR028_YAPC.311_96H_X6.L2_B41,XPR028_YAPC.311_96H_X4.L2_B41:M04|XPR028_YAPC.311_96H_X5.L2_B41:M04|XPR028_YAPC.311_96H_X6.L2_B41:M04,,XPR,UnTrt,0,0,0,1,230,UnTrt__96 h_YAPC,230,UnTrt__96 h
b36,,,Unknown,"",96 h,96,h,YAPC.311,CMAP-000,3,0.1298,120,0.126208,12,"0.14,0.36,0.50",119.5,98,0.0570269,0.185601,0,0,0,1,CMAP-000,XPR018_YAPC.311_96H:K01,ctl_untrt,YAPC,K01,XPR018_YAPC.311_96H_X1_B36|XPR018_YAPC.311_96H_X2_B36|XPR018_YAPC.311_96H_X3_B36,XPR018_YAPC.311_96H_X1_B36:K01|XPR018_YAPC.311_96H_X2_B36:K01|XPR018_YAPC.311_96H_X3_B36:K01,,XPR,UnTrt,0,0,0,1,230,UnTrt__96 h_YAPC,230,UnTrt__96 h
b37,,,Unknown,"",96 h,96,h,YAPC.311,CMAP-000,3,0.2818,147,0.205816,3.44905,"0.36,0.29,0.35",7.54453,5.91744,0.214064,0.493423,9.33,38.6448,0,1,CMAP-000,XPR027_YAPC.311_96H:K22,ctl_untrt,YAPC,K22,XPR027_YAPC.311_96H_X1_B37|XPR027_YAPC.311_96H_X2_B37|XPR027_YAPC.311_96H_X3_B37,XPR027_YAPC.311_96H_X1_B37:K22|XPR027_YAPC.311_96H_X2_B37:K22|XPR027_YAPC.311_96H_X3_B37:K22,,XPR,UnTrt,0,0,0,1,230,UnTrt__96 h_YAPC,230,UnTrt__96 h
b41,,,Unknown,"",96 h,96,h,YAPC.311,CMAP-000,3,0.2681,112,0.175207,2.52884,"0.30,0.32,0.38",6.69815,17.9682,0.243257,0.412544,18.72,76.6006,0,1,CMAP-000,XPR032_YAPC.311_96H:K10,ctl_untrt,YAPC,K10,XPR032_YAPC.311_96H_X4.L2_B41|XPR032_YAPC.311_96H_X5.L2_B41|XPR032_YAPC.311_96H_X6.L2_B41,XPR032_YAPC.311_96H_X4.L2_B41:K10|XPR032_YAPC.311_96H_X5.L2_B41:K10|XPR032_YAPC.311_96H_X6.L2_B41:K10,,XPR,UnTrt,0,0,0,1,230,UnTrt__96 h_YAPC,230,UnTrt__96 h
b36,,,Unknown,"",96 h,96,h,YAPC.311,CMAP-000,3,0.0733,93,0.0834847,21,"0.21,0.29,0.50",119.5,262,0.0559205,-0.111392,0,0,0,1,CMAP-000,XPR018_YAPC.311_96H:O22,ctl_untrt,YAPC,O22,XPR018_YAPC.311_96H_X1_B36|XPR018_YAPC.311_96H_X2_B36|XPR018_YAPC.311_96H_X3_B36,XPR018_YAPC.311_96H_X1_B36:O22|XPR018_YAPC.311_96H_X2_B36:O22|XPR018_YAPC.311_96H_X3_B36:O22,,XPR,UnTrt,0,0,0,1,230,UnTrt__96 h_YAPC,230,UnTrt__96 h
b35,,,Unknown,"",96 h,96,h,YAPC.311,CMAP-000,3,0.309,174,0.234486,3,"0.34,0.38,0.28",50.5,38,0.233659,0.406811,0,0,0,1,CMAP-000,XPR016_YAPC.311_96H:A12,ctl_untrt,YAPC,A12,XPR016_YAPC.311_96H_X1_B35|XPR016_YAPC.311_96H_X2_B36|XPR016_YAPC.311_96H_X3_B35,XPR016_YAPC.311_96H_X1_B35:A12|XPR016_YAPC.311_96H_X2_B36:A12|XPR016_YAPC.311_96H_X3_B35:A12,,XPR,UnTrt,0,0,0,1,230,UnTrt__96 h_YAPC,230,UnTrt__96 h
b41,,,Unknown,"",96 h,96,h,YAPC.311,CMAP-000,3,0.1359,72,0.100007,13.7255,"0.44,0.06,0.50",44.2198,55.7666,0.0235659,0.121057,15.32,66.0637,0,1,CMAP-000,XPR028_YAPC.311_96H:E23,ctl_untrt,YAPC,E23,XPR028_YAPC.311_96H_X4.L2_B41|XPR028_YAPC.311_96H_X5.L2_B41|XPR028_YAPC.311_96H_X6.L2_B41,XPR028_YAPC.311_96H_X4.L2_B41:E23|XPR028_YAPC.311_96H_X5.L2_B41:E23|XPR028_YAPC.311_96H_X6.L2_B41:E23,,XPR,UnTrt,0,0,0,1,230,UnTrt__96 h_YAPC,230,UnTrt__96 h
b35,,,Unknown,"",96 h,96,h,YAPC.311,CMAP-000,3,0.2143,127,0.166814,1.30185,"0.35,0.25,0.40",12.9637,18.8008,0.139323,0.322011,9.03,37.2093,0,1,CMAP-000,XPR009_YAPC.311_96H:D01,ctl_untrt,YAPC,D01,XPR009_YAPC.311_96H_X1_B35|XPR009_YAPC.311_96H_X2.L2_B37|XPR009_YAPC.311_96H_X3_B36,XPR009_YAPC.311_96H_X1_B35:D01|XPR009_YAPC.311_96H_X2.L2_B37:D01|XPR009_YAPC.311_96H_X3_B36:D01,,XPR,UnTrt,0,0,0,1,230,UnTrt__96 h_YAPC,230,UnTrt__96 h
