,model_pearsonHT29,model_pearsonA375,model_spearHT29,model_spearA375,model_accHT29,model_accA375,recon_pear_ht29,recon_pear_a375,recon_spear_ht29,recon_spear_a375,recon_acc_ht29,recon_acc_a375,Direct_pearson,Direct_spearman,DirectAcc_ht29,DirectAcc_a375
0,0.7466124296188354,0.6686177253723145,0.6729355866154476,0.6177172070450008,0.7347392638036809,0.720040899795501,0.8303515315055847,0.8102986216545105,0.7794033045185242,0.7484916390390842,0.7969511061535601,0.7811179277436947,0.5206855535507202,0.46303116864283284,0.6627300613496933,0.6627300613496933
1,0.6980326771736145,0.705829918384552,0.5870771089659877,0.5821296772331339,0.7068762781186093,0.711196319018405,0.8152421712875366,0.801297664642334,0.7578873174608424,0.7367543753024866,0.7872188139059305,0.7781441717791412,0.4794166088104248,0.4203036443370152,0.6498466257668711,0.6498466257668711
2,0.7960666418075562,0.758139431476593,0.689920966844293,0.6815754780407396,0.7452198364008179,0.7451431492842536,0.8032678365707397,0.8230065703392029,0.7556679901596768,0.7609280526017135,0.7836493772076595,0.7879601226993865,0.5004222393035889,0.4326075525991417,0.644836400817996,0.644836400817996
3,0.7135985493659973,0.6886650919914246,0.5905974612527682,0.59583198125577,0.7142126789366052,0.7165899795501023,0.8160067796707153,0.8083147406578064,0.7535210146154835,0.7426985786692952,0.7872745863543412,0.7813565098841172,0.44552382826805115,0.39339333969298995,0.6358895705521472,0.6358895705521472
4,0.7467196583747864,0.7102283835411072,0.6264070616208551,0.625554005342785,0.7213701431492843,0.7194785276073619,0.8398193120956421,0.8186356425285339,0.7902889626358393,0.747497969103811,0.8116936233500652,0.7824216087252898,0.5428716540336609,0.4425032396228197,0.6531441717791411,0.6531441717791411
5,0.6989430785179138,0.6417252421379089,0.5954521474892752,0.5770772033792253,0.7143916155419223,0.7026329243353784,0.834846019744873,0.8176090121269226,0.7872152835165204,0.7595420562784667,0.8092210448038667,0.7915047716428084,0.45602622628211975,0.43316333543794877,0.6545245398773006,0.6545245398773006
6,0.6727394461631775,0.6073493361473083,0.5603687174262623,0.5407503682570555,0.6955521472392638,0.6854038854805726,0.8329401016235352,0.8083337545394897,0.7833111663333352,0.7541565967468257,0.8055400632087748,0.7876959781867758,0.3912511467933655,0.353916296529292,0.6184049079754601,0.6184049079754601
7,0.7402225136756897,0.6656172275543213,0.6748132415253179,0.6306661666453193,0.7436094069529652,0.7256390593047035,0.8411363363265991,0.7988305687904358,0.8012033864182434,0.7564097995064872,0.8179029559397657,0.7908827539195636,0.4556507468223572,0.4331820328146046,0.6524284253578732,0.6524284253578732
8,0.6345598101615906,0.5788112878799438,0.5031912423284522,0.4943086613855442,0.6697852760736196,0.6692740286298569,0.8139144778251648,0.8077946305274963,0.7729249504636133,0.7583131772475383,0.8001115448968211,0.7890167007498297,0.3736865222454071,0.33768846254481316,0.6101482617586912,0.6101482617586912
9,0.653298020362854,0.6248751878738403,0.5752740252699432,0.563561017039043,0.700562372188139,0.6989519427402863,0.8105764985084534,0.79179447889328,0.7571129665706531,0.7400634514921417,0.7876835843093513,0.778791751874574,0.4139716327190399,0.3723991421591427,0.6288087934560327,0.6288087934560327
