,model_pearsonHT29,model_pearsonA375,mean_pearsonHT29,mean_pearsonA375,uniform_pearsonHT29,uniform_pearsonA375,scrambled_pearsonHT29,scrampled_pearsonA375
0,0.5972913503646851,0.5888856053352356,0.6504291296005249,0.576076328754425,-0.047179967164993286,-0.025823518633842468,0.006416073068976402,-0.0068389056250452995
1,0.6827719807624817,0.6748328804969788,0.660234808921814,0.6104245185852051,0.04066180810332298,0.004119236022233963,0.001990365330129862,-0.021028360351920128
2,0.6289305090904236,0.6152414679527283,0.5367751121520996,0.5118298530578613,0.00873743649572134,0.012226400896906853,-0.022553719580173492,0.008179215714335442
3,0.7065950632095337,0.6875596046447754,0.6578365564346313,0.6829124689102173,0.03885568678379059,0.01148313283920288,0.02641419693827629,-0.05043608695268631
4,0.6257112622261047,0.6042574644088745,0.5242425203323364,0.4946090877056122,0.05033097043633461,0.0008872378966771066,0.017313765361905098,0.015621776692569256
5,0.6333719491958618,0.5919588208198547,0.5153094530105591,0.5039185285568237,-0.016354937106370926,-0.03879221901297569,0.08041153848171234,0.011440884321928024
6,0.5163198113441467,0.529800295829773,0.49566254019737244,0.5909125208854675,-0.004334533587098122,0.005695803556591272,0.04066900908946991,-0.032048050314188004
7,0.6350765228271484,0.5760542750358582,0.5215027928352356,0.48263630270957947,0.007809600327163935,-0.01696765422821045,-0.05361980199813843,-0.00987881701439619
8,0.6669018268585205,0.6027747392654419,0.5516202449798584,0.5396906137466431,0.010985692963004112,0.001173844444565475,0.05775834247469902,-0.016830792650580406
9,0.571136474609375,0.5195642709732056,0.4253004491329193,0.49457716941833496,0.025562018156051636,0.02194010466337204,0.016178622841835022,0.0068867942318320274
