,metric,DCS,DCS modified v1,DCS modified v2,Two Autoencoders,direct translation
DCS,pearson,1.0,0.8501067391385259,0.07566157214388704,0.3846730627355087,0.031209012771740218
DCS modified v1,pearson,0.0,1.0,0.10410988966022681,0.5205228832757727,0.031209012771740218
DCS modified v2,pearson,0.0,0.0,1.0,0.24132159301718004,0.0013149446697132139
Two Autoencoders,pearson,0.0,0.0,0.0,1.0,0.0036105143123296027
direct translation,pearson,0.0,0.0,0.0,0.0,1.0
DCS,spearman,1.0,1.0,0.08897301170181328,0.6231762238821174,0.025748080821108063
DCS modified v1,spearman,0.0,1.0,0.10410988966022681,0.6775849579524755,0.025748080821108063
DCS modified v2,spearman,0.0,0.0,1.0,0.21229383619233155,0.0010079762403767444
Two Autoencoders,spearman,0.0,0.0,0.0,1.0,0.0036105143123296027
direct translation,spearman,0.0,0.0,0.0,0.0,1.0
DCS,accuracy,1.0,0.9698499769931556,0.08897301170181328,0.6231762238821174,0.025748080821108063
DCS modified v1,accuracy,0.0,1.0,0.08897301170181328,0.5707503880581739,0.025748080821108063
DCS modified v2,accuracy,0.0,0.0,1.0,0.3447042220069576,0.0017062493689195964
Two Autoencoders,accuracy,0.0,0.0,0.0,1.0,0.004586392080253494
direct translation,accuracy,0.0,0.0,0.0,0.0,1.0
