,metric,DCS,DCS modified v1,DCS modified v2,Two Autoencoders
DCS,pearson,1.0,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002
DCS modified v1,pearson,0.0,1.0,0.00018267179110955002,0.053902557169387175
DCS modified v2,pearson,0.0,0.0,1.0,0.00018267179110955002
Two Autoencoders,pearson,0.0,0.0,0.0,1.0
DCS,spearman,1.0,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002
DCS modified v1,spearman,0.0,1.0,0.00018267179110955002,0.053902557169387175
DCS modified v2,spearman,0.0,0.0,1.0,0.00032983852077799353
Two Autoencoders,spearman,0.0,0.0,0.0,1.0
DCS,accuracy,1.0,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002
DCS modified v1,accuracy,0.0,1.0,0.00018267179110955002,0.12122450301291662
DCS modified v2,accuracy,0.0,0.0,1.0,0.0005828399431792743
Two Autoencoders,accuracy,0.0,0.0,0.0,1.0
