"","pvalue","tvalue","logp"
"z0",0.110717759102433,1.58808731155779,2.2007710266381
"z1",0.000788861177588326,-3.36526062696488,7.14492019988877
"z2",0.0937758605137594,1.6689179914079,2.36684780668989
"z3",9.00098787033601e-10,-6.27164304780353,20.8285165952571
"z4",4.26200138349983e-05,4.12112554047753,10.063186606681
"z5",2.66876571484882e-10,6.47919599060427,22.0442348434951
"z6",0.638336679547991,-0.467141308140023,0.448889423937505
"z7",6.42298509859033e-14,7.79376828958588,30.3763083236514
"z8",0.0359915885243049,-2.09101667942247,3.32447001992957
"z9",0.94009150173672,-0.0746810206022162,0.0617780661824323
"z10",0.156078204550171,1.4116688806724,1.85739808612805
"z11",0.236809603231517,-1.17682959995909,1.44049882260743
"z12",0.970865175115129,0.036292811716414,0.0295676719122968
"z13",0.0948404509030742,-1.66350778120898,2.35555926344075
"z14",0.663379632052958,-0.432570175073713,0.410407855302649
"z15",0.958004352555009,0.0523259474202851,0.0429029576447618
"z16",0.00209315389827371,-3.08016835720769,6.16908330822926
"z17",0.278021875371087,-1.07892764892519,1.28005548000206
"z18",0.0148566324035061,2.43182147654607,4.20930888694263
"z19",0.755333184416051,-0.309672528056022,0.280596323216704
"z20",0.40655572838597,0.825180409300333,0.900034266190266
"z21",0.513072302624842,0.650153351153785,0.667338502953422
"z22",0.343850774637072,0.941274825583531,1.06754751038454
"z23",0.311607472621241,-1.00628067754129,1.16601098381853
"z24",0.0288218378104262,2.18030852715535,3.54662192186561
"z25",0.125348457409922,-1.52585238316438,2.07665776071664
"z26",0.143288302052835,1.45687321016111,1.94289658004932
"z27",0.196556382808457,1.28496142622784,1.62680595341892
"z28",0.932223422068479,0.0845116552402586,0.0701827697761323
"z29",0.0279543025402077,2.19238097213423,3.57718415419028
"z30",0.122991059458101,1.53547943878547,2.09564361358409
"z31",0.187106434075241,1.31265994714777,1.67607765786343
