bead_batch,nearest_dose,pert_dose,pert_dose_unit,pert_idose,pert_itime,pert_time,pert_time_unit,cell_mfc_name,pert_mfc_id,nsample,cc_q75,ss_ngene,tas,pct_self_rank_q25,wt,median_recall_rank_spearman,median_recall_rank_wtcs_50,median_recall_score_spearman,median_recall_score_wtcs_50,batch_effect_tstat,batch_effect_tstat_pct,is_hiq,qc_pass,pert_id,sig_id,pert_type,cell_iname,det_wells,det_plates,distil_ids,build_name,project_code,cmap_name,is_exemplar_sig,is_ncs_sig,is_null_sig,quality_replicates,per_cell_sigs,duplIdentifier,dupl_counts,conditionId
b4,10,10,uM,10 uM,6 h,6,h,HEPG2,BRD-K63350243,3,0.21,453,0.311881,7.43062,"""""""""""""""""""""""""""""""""",9.42423,11.5724,0.185102,0.48313,18.24,74.9928,0,1,BRD-K63350243,CPC013_HEPG2_6H:BRD-K63350243-001-01-3:10,trt_cp,HEPG2,P14,CPC013_HEPG2_6H_X1_B4_DUO52HI53LO|CPC013_HEPG2_6H_X2_B4_DUO52HI53LO|CPC013_HEPG2_6H_X3_F1B3_DUO52HI53LO,CPC013_HEPG2_6H_X1_B4_DUO52HI53LO:P14|CPC013_HEPG2_6H_X2_B4_DUO52HI53LO:P14|CPC013_HEPG2_6H_X3_F1B3_DUO52HI53LO:P14,,CPC,BRD-K63350243,1,1,0,1,866,BRD-K63350243_10 uM_6 h_HEPG2,1,BRD-K63350243_10 uM_6 h
b4,10,10,uM,10 uM,6 h,6,h,HEPG2,BRD-K48950795,3,0.4,298,0.349115,0.0895255,"""""""""""""""""""""""""""""""""",10.7561,0.398585,0.0869221,0.603533,18.24,74.9928,1,1,BRD-K48950795,CPC013_HEPG2_6H:BRD-K48950795-001-01-2:10,trt_cp,HEPG2,P18,CPC013_HEPG2_6H_X1_B4_DUO52HI53LO|CPC013_HEPG2_6H_X2_B4_DUO52HI53LO|CPC013_HEPG2_6H_X3_F1B3_DUO52HI53LO,CPC013_HEPG2_6H_X1_B4_DUO52HI53LO:P18|CPC013_HEPG2_6H_X2_B4_DUO52HI53LO:P18|CPC013_HEPG2_6H_X3_F1B3_DUO52HI53LO:P18,,CPC,BRD-K48950795,1,1,0,1,866,BRD-K48950795_10 uM_6 h_HEPG2,1,BRD-K48950795_10 uM_6 h
f1b4,10,10,uM,10 uM,6 h,6,h,HEPG2,BRD-K91370081,3,0.7,443,0.563095,0,"""""""""""""""""""""""""""""""""",0,0,0.52143,0.769741,10.45,44.6454,1,1,BRD-K91370081,CPC016_HEPG2_6H:BRD-K91370081-001-10-3:10,trt_cp,HEPG2,G06,CPC016_HEPG2_6H_X1_F1B4_DUO52HI53LO|CPC016_HEPG2_6H_X3_F1B4_DUO52HI53LO|CPC016_HEPG2_6H_X4_F1B4_DUO52HI53LO,CPC016_HEPG2_6H_X1_F1B4_DUO52HI53LO:G06|CPC016_HEPG2_6H_X3_F1B4_DUO52HI53LO:G06|CPC016_HEPG2_6H_X4_F1B4_DUO52HI53LO:G06,,CPC,anisomycin,1,1,0,1,866,anisomycin_10 uM_6 h_HEPG2,1,anisomycin_10 uM_6 h
f1b3,10,10,uM,10 uM,6 h,6,h,HEPG2,BRD-A59145032,3,0.57,265,0.392999,0.0942507,"""""""""""""""""""""""""""""""""",0.426543,0.14245,0.366649,0.731543,14.85,64.3124,1,1,BRD-A59145032,CPC014_HEPG2_6H:BRD-A59145032-003-01-6:10,trt_cp,HEPG2,B15,CPC014_HEPG2_6H_X1_F1B3_DUO52HI53LO|CPC014_HEPG2_6H_X2_F1B3_DUO52HI53LO|CPC014_HEPG2_6H_X3_F1B3_DUO52HI53LO,CPC014_HEPG2_6H_X1_F1B3_DUO52HI53LO:B15|CPC014_HEPG2_6H_X2_F1B3_DUO52HI53LO:B15|CPC014_HEPG2_6H_X3_F1B3_DUO52HI53LO:B15,,CPC,BRD-A59145032,1,1,0,1,866,BRD-A59145032_10 uM_6 h_HEPG2,1,BRD-A59145032_10 uM_6 h
b4,10,10,uM,10 uM,6 h,6,h,HEPG2,BRD-K30097969,3,0.64,535,0.591694,0,"""""""""""""""""""""""""""""""""",0.681199,0,0.491962,0.682307,18.33,75.3086,1,1,BRD-K30097969,CPC010_HEPG2_6H:BRD-K30097969-001-04-6:10,trt_cp,HEPG2,O24,CPC010_HEPG2_6H_X1_B4_DUO52HI53LO|CPC010_HEPG2_6H_X2_B4_DUO52HI53LO|CPC010_HEPG2_6H_X3_B4_DUO52HI53LO,CPC010_HEPG2_6H_X1_B4_DUO52HI53LO:O24|CPC010_HEPG2_6H_X2_B4_DUO52HI53LO:O24|CPC010_HEPG2_6H_X3_B4_DUO52HI53LO:O24,,CPC,pitavastatin,1,1,0,1,866,pitavastatin_10 uM_6 h_HEPG2,1,pitavastatin_10 uM_6 h
b4,10,10,uM,10 uM,6 h,6,h,HEPG2,BRD-K31412180,3,0.46,336,0.397538,0.837209,"""""""""""""""""""""""""""""""""",8.33182,8.23848,0.295584,0.538945,18.33,75.3086,0,1,BRD-K31412180,CPC010_HEPG2_6H:BRD-K31412180-001-05-6:10,trt_cp,HEPG2,A09,CPC010_HEPG2_6H_X1_B4_DUO52HI53LO|CPC010_HEPG2_6H_X2_B4_DUO52HI53LO|CPC010_HEPG2_6H_X3_B4_DUO52HI53LO,CPC010_HEPG2_6H_X1_B4_DUO52HI53LO:A09|CPC010_HEPG2_6H_X2_B4_DUO52HI53LO:A09|CPC010_HEPG2_6H_X3_B4_DUO52HI53LO:A09,,CPC,BRD-K31412180,1,1,0,1,866,BRD-K31412180_10 uM_6 h_HEPG2,1,BRD-K31412180_10 uM_6 h
f1b3,10,10,uM,10 uM,6 h,6,h,HEPG2,BRD-K83620635,3,0.34,281,0.312553,1.36116,"""""""""""""""""""""""""""""""""",5.93668,20.9184,0.330613,0.418813,18.7,76.4858,0,1,BRD-K83620635,CPC008_HEPG2_6H:BRD-K83620635-001-02-9:10,trt_cp,HEPG2,C23,CPC008_HEPG2_6H_X1_F1B3_DUO52HI53LO|CPC008_HEPG2_6H_X2_B4_DUO52HI53LO|CPC008_HEPG2_6H_X3_B4_DUO52HI53LO,CPC008_HEPG2_6H_X1_F1B3_DUO52HI53LO:C23|CPC008_HEPG2_6H_X2_B4_DUO52HI53LO:C23|CPC008_HEPG2_6H_X3_B4_DUO52HI53LO:C23,,CPC,BRD-K83620635,1,1,0,1,866,BRD-K83620635_10 uM_6 h_HEPG2,1,BRD-K83620635_10 uM_6 h
f1b6,90,88.8,uM,90 uM,6 h,6,h,HEPG2,BRD-K19216856,3,0.45,266,0.349847,0,"""""""""""""""""""""""""""""""""",0.806452,8.3045,0.302633,0.44104,16.71,70.7723,1,1,BRD-K19216856,CPC006_HEPG2_6H:BRD-K19216856-001-02-7:88.8,trt_cp,HEPG2,H24,CPC006_HEPG2_6H_X1.L2_F1B6_DUO52HI53LO|CPC006_HEPG2_6H_X4_B4_DUO52HI53LO|CPC006_HEPG2_6H_X5_B4_DUO52HI53LO,CPC006_HEPG2_6H_X1.L2_F1B6_DUO52HI53LO:H24|CPC006_HEPG2_6H_X4_B4_DUO52HI53LO:H24|CPC006_HEPG2_6H_X5_B4_DUO52HI53LO:H24,,CPC,BRD-K19216856,1,1,0,1,866,BRD-K19216856_90 uM_6 h_HEPG2,1,BRD-K19216856_90 uM_6 h
b4,10,10,uM,10 uM,6 h,6,h,HEPG2,BRD-K18163752,3,0.51,255,0.364658,0,"""""""""""""""""""""""""""""""""",0,0.265252,0.506457,0.678799,18.24,74.9928,1,1,BRD-K18163752,CPC013_HEPG2_6H:BRD-K18163752-001-01-9:10,trt_cp,HEPG2,N02,CPC013_HEPG2_6H_X1_B4_DUO52HI53LO|CPC013_HEPG2_6H_X2_B4_DUO52HI53LO|CPC013_HEPG2_6H_X3_F1B3_DUO52HI53LO,CPC013_HEPG2_6H_X1_B4_DUO52HI53LO:N02|CPC013_HEPG2_6H_X2_B4_DUO52HI53LO:N02|CPC013_HEPG2_6H_X3_F1B3_DUO52HI53LO:N02,,CPC,BRD-K18163752,1,1,0,1,866,BRD-K18163752_10 uM_6 h_HEPG2,1,BRD-K18163752_10 uM_6 h
b4,10,10,uM,10 uM,6 h,6,h,HEPG2,BRD-K55070890,3,0.54,419,0.480988,0.27248,"""""""""""""""""""""""""""""""""",1.3624,0.814125,0.49112,0.570598,17.68,73.6721,1,1,BRD-K55070890,CPC009_HEPG2_6H:BRD-K55070890-001-02-1:10,trt_cp,HEPG2,O24,CPC009_HEPG2_6H_X1_B4_DUO52HI53LO|CPC009_HEPG2_6H_X2_F1B3_DUO52HI53LO|CPC009_HEPG2_6H_X3_F1B3_DUO52HI53LO,CPC009_HEPG2_6H_X1_B4_DUO52HI53LO:O24|CPC009_HEPG2_6H_X2_F1B3_DUO52HI53LO:O24|CPC009_HEPG2_6H_X3_F1B3_DUO52HI53LO:O24,,CPC,thiothixene,1,1,0,1,866,thiothixene_10 uM_6 h_HEPG2,1,thiothixene_10 uM_6 h
