,r2_human,pear_human,r2_primates,pear_primates
0,0.872200071811676,0.9609792828559875,0.4753361940383911,0.8464905619621277
1,0.8251675963401794,0.9529253840446472,0.48597395420074463,0.8523174524307251
2,0.6672290563583374,0.9125946760177612,0.25618207454681396,0.8308575749397278
3,0.8045470714569092,0.9540629386901855,0.1143474206328392,0.7734960913658142
4,0.8360681533813477,0.9515701532363892,0.37590301036834717,0.8511430025100708
5,0.8308635950088501,0.9428327083587646,0.4673709571361542,0.845669686794281
6,0.8185936212539673,0.9460832476615906,0.1640053540468216,0.7872745394706726
7,0.844318687915802,0.9578365087509155,0.35587120056152344,0.8451440930366516
8,0.8366796970367432,0.9459590911865234,0.4274179935455322,0.8843269944190979
9,0.8024420142173767,0.940334141254425,-0.45352986454963684,0.6821485161781311
