,F1,Accuracy,F1Species,AccuracySpecies,recon_pear_primates,recon_pear_human,recon_r2_primates,recon_r2_human,latent_human_pear,latent_mouse_pear,KNNTranslationF1,ClassifierTranslationF1
0,0.5263157894736842,0.5135135135135135,0.75,0.6756756756756757,0.85063236951828,0.950534999370575,0.2721642851829529,0.8393367528915405,0.7454779148101807,0.9057504534721375,0.15,0.07142857142857142
1,0.8666666666666667,0.7777777777777778,0.8524590163934426,0.75,0.8673684597015381,0.9151953458786011,0.33425965905189514,0.6088207364082336,0.8380714654922485,0.9083116054534912,0.24390243902439024,0.34146341463414637
2,0.8076923076923077,0.7142857142857143,0.8727272727272727,0.8,0.7091162800788879,0.9187308549880981,-0.5291333794593811,0.7186586856842041,0.7981146574020386,0.9597983360290527,0.2926829268292683,0.17647058823529413
3,0.9433962264150944,0.9142857142857143,0.7058823529411765,0.5714285714285714,0.6464895009994507,0.9508976936340332,-0.735626757144928,0.8462411761283875,0.8530799746513367,0.9603224992752075,0.25,0.3333333333333333
4,0.5,0.42857142857142855,0.7857142857142857,0.6571428571428571,0.8084907531738281,0.9266554713249207,0.1507844179868698,0.7221240997314453,0.7692410349845886,0.9189020991325378,0.2631578947368421,0.3333333333333333
5,0.9811320754716981,0.9714285714285714,0.9180327868852459,0.8571428571428571,0.8825960755348206,0.9308437705039978,0.56398606300354,0.7341021299362183,0.796282172203064,0.8938872814178467,0.10810810810810811,0.25
6,0.9206349206349206,0.8571428571428571,0.6046511627906976,0.5142857142857142,0.8934512734413147,0.855378270149231,0.5377112627029419,0.48096752166748047,0.8996784687042236,0.8929743766784668,0.2564102564102564,0.17391304347826086
7,0.9230769230769231,0.8571428571428571,0.8709677419354839,0.7714285714285715,0.6265630125999451,0.9369609951972961,-0.44806331396102905,0.7954879999160767,0.8059630393981934,0.9498300552368164,0.20512820512820512,0.34146341463414637
8,0.9855072463768116,0.9714285714285714,0.723404255319149,0.6285714285714286,0.6772322058677673,0.9168804287910461,-0.43674254417419434,0.7032296657562256,0.7891315221786499,0.967984676361084,0.2926829268292683,0.16
9,0.5365853658536586,0.45714285714285713,0.9310344827586207,0.8857142857142857,0.8528891205787659,0.9436700940132141,0.1324116289615631,0.7615683078765869,0.7428526282310486,0.9341452121734619,0.25,0.16216216216216217
