,r2_human,pear_human,r2_primates,pear_primates
0,0.7762535810470581,0.9359145164489746,0.10427814722061157,0.9468506574630737
1,0.8426629900932312,0.9527341723442078,0.2532564103603363,0.9320158958435059
2,0.7529647350311279,0.9353817701339722,0.5872730016708374,0.9637869596481323
3,0.8454544544219971,0.9471887350082397,0.41184401512145996,0.9505526423454285
4,0.7082852125167847,0.9268681406974792,0.09240011870861053,0.9236154556274414
5,0.724887490272522,0.9196720123291016,0.4919506013393402,0.9153649210929871
6,0.7659804224967957,0.938640296459198,0.49918603897094727,0.9409567713737488
7,0.7589787244796753,0.9341558218002319,0.5683578848838806,0.9612337946891785
8,0.7986099123954773,0.9443351626396179,0.5443921089172363,0.9587463140487671
9,0.7712620496749878,0.938462495803833,0.6201517581939697,0.9570690989494324
