"","pvalue","tvalue","logp"
"z0",7.49582712251949e-317,-38.4935670474558,727.905127997073
"z1",0,-51.5280766535898,Inf
"z2",0,-52.0013766760798,Inf
"z3",0,-52.8743316123808,Inf
"z4",0,-168.299113589355,Inf
"z5",2.40409767892953e-19,-8.99828791935225,42.8719421192051
"z6",0,39.8926098265772,Inf
"z7",0.513142724971634,0.653912634080101,0.667201256187377
"z8",0,-40.9225674626007,Inf
"z9",0,-66.6288775156654,Inf
"z10",1.99746223731518e-142,25.5385342910249,326.275205711649
"z11",8.71637592618143e-56,-15.7649460915254,126.779561660929
"z12",2.21597784485443e-08,5.59527049101116,17.6249869729267
"z13",0,40.6512710333462,Inf
"z14",0,167.994169766075,Inf
"z15",3.67854450556678e-64,16.9493232747646,146.062928792466
"z16",1.01728828306702e-05,-4.41386857529052,11.4957849238962
"z17",0,-235.696598713468,Inf
"z18",0,-61.6327339295237,Inf
"z19",0,-225.192756051953,Inf
"z20",0,-109.080500163032,Inf
"z21",0.096882387848189,-1.66009018482949,2.33425753255767
"z22",0,-116.507434079292,Inf
"z23",0,-71.401721259239,Inf
"z24",0.00603666181722397,-2.74577325869686,5.10990409908645
"z25",3.13068391615182e-142,25.5205972731554,325.825831720908
"z26",0,-200.393208375027,Inf
"z27",2.60497140390047e-131,24.496933106694,300.681225484464
"z28",1.1964956544257e-85,19.6719347993329,195.540335908039
"z29",0,78.1152435425102,Inf
"z30",0,-100.69397740363,Inf
"z31",5.29512080315797e-198,-30.2350246451591,454.245062619456
"z32",0,116.462829728747,Inf
"z33",6.9752546509951e-88,19.9342694481689,200.685119347332
"z34",0,-52.2209966165234,Inf
"z35",0,84.3820274714113,Inf
"z36",0,-84.1405435167274,Inf
"z37",3.07197211032569e-16,-8.17428601876482,35.7190417513305
"z38",0,-46.0642881072424,Inf
"z39",0,-61.5830916995722,Inf
"z40",1.11160786505553e-155,-26.729815233256,356.794881919779
"z41",1.99248923532836e-57,-16.0037516387754,130.557965571589
"z42",0,46.8666102796481,Inf
"z43",1.30580708231755e-81,19.1890143558684,186.242571229024
"z44",0,66.9332083886226,Inf
"z45",0,96.2281223052022,Inf
"z46",0,-47.0006019797618,Inf
"z47",6.91013483481604e-17,8.35265551144771,37.2109574303116
"z48",1.05998042943469e-201,-30.5232350355412,462.761353246647
"z49",0,-302.874934949262,Inf
"z50",0,57.273311624665,Inf
"z51",0,143.687705902548,Inf
"z52",0,-130.630012582871,Inf
"z53",5.48286778743525e-276,35.8532638389626,633.811857383405
"z54",0,45.6689485648643,Inf
"z55",0,-41.9475710615758,Inf
"z56",0,-108.281115409822,Inf
"z57",8.457767142561e-177,-28.529950086946,405.422476252303
"z58",1.66755839928051e-254,34.3909526290079,584.345253100236
"z59",0,-161.136393054481,Inf
"z60",1.61672777448568e-59,16.3030710361208,135.372116272431
"z61",2.51576042468554e-29,-11.2532899544811,65.8523925832361
"z62",6.59585688015521e-15,7.79526373152136,32.652334688424
"z63",0,91.8380193048884,Inf
"z64",0,49.7442671542143,Inf
"z65",0,126.104110607204,Inf
"z66",1.51871672684458e-53,15.4329680089115,121.619144209068
"z67",3.39622539060856e-35,-12.3932919767162,79.3678136191077
"z68",0,-39.297781903513,Inf
"z69",9.01090634446503e-24,10.0593453626075,53.0636065721256
"z70",7.22615583054025e-65,17.0456018359822,147.690323846864
"z71",0,-129.867105255373,Inf
"z72",0,-176.878775323236,Inf
"z73",0,-66.8428479488287,Inf
"z74",0.0130699777887632,2.4818205020492,4.33743745075348
"z75",0,101.840137998225,Inf
"z76",0,127.575570401114,Inf
"z77",0,200.251270756285,Inf
"z78",0,-46.7325982188452,Inf
"z79",0,75.6110881091742,Inf
"z80",0,-131.545517410415,Inf
"z81",0,-84.2445277731953,Inf
"z82",1.53793755979984e-72,-18.0585152869753,165.355684423622
