Fold,lrt_counts,latent_var,lrt_importance
fold 9,495,z11,Important
fold 0,494,z110,Important
fold 1,485,z110,Important
fold 2,492,z110,Important
fold 3,489,z110,Important
fold 4,477,z110,Important
fold 5,485,z110,Important
fold 6,488,z110,Important
fold 7,480,z110,Important
fold 8,484,z110,Important
fold 9,495,z110,Important
fold 0,494,z111,Important
fold 2,492,z111,Important
fold 3,489,z111,Important
fold 4,477,z111,Important
fold 5,485,z111,Important
fold 6,488,z111,Important
fold 7,480,z111,Important
fold 8,484,z111,Important
fold 9,495,z111,Important
fold 0,494,z112,Important
fold 1,485,z112,Important
fold 2,492,z112,Important
fold 3,489,z112,Important
fold 4,477,z112,Important
fold 5,485,z112,Important
fold 6,488,z112,Important
fold 7,480,z112,Important
fold 8,484,z112,Important
fold 9,495,z112,Important
fold 0,494,z113,Important
fold 1,485,z113,Important
fold 2,492,z113,Important
fold 4,477,z113,Important
fold 5,485,z113,Important
fold 6,488,z113,Important
fold 7,480,z113,Important
fold 8,484,z113,Important
fold 9,495,z113,Important
fold 0,494,z114,Important
fold 1,485,z114,Important
fold 2,492,z114,Important
fold 3,489,z114,Important
fold 5,485,z114,Important
fold 6,488,z114,Important
fold 7,480,z114,Important
fold 8,484,z114,Important
fold 9,495,z114,Important
fold 0,494,z115,Important
fold 1,485,z115,Important
fold 2,492,z115,Important
fold 3,489,z115,Important
fold 4,477,z115,Important
fold 5,485,z115,Important
fold 7,480,z115,Important
fold 8,484,z115,Important
fold 9,495,z115,Important
fold 0,494,z116,Important
fold 1,485,z116,Important
fold 2,492,z116,Important
fold 3,489,z116,Important
fold 4,477,z116,Important
fold 5,485,z116,Important
fold 6,488,z116,Important
fold 7,480,z116,Important
fold 8,484,z116,Important
fold 9,495,z116,Important
fold 0,494,z117,Important
fold 1,485,z117,Important
fold 2,492,z117,Important
fold 4,477,z117,Important
fold 5,485,z117,Important
fold 6,488,z117,Important
fold 7,480,z117,Important
fold 8,484,z117,Important
fold 9,495,z117,Important
fold 0,494,z118,Important
fold 1,485,z118,Important
fold 2,492,z118,Important
fold 3,489,z118,Important
fold 4,477,z118,Important
fold 5,485,z118,Important
fold 6,488,z118,Important
fold 7,480,z118,Important
fold 8,484,z118,Important
fold 9,495,z118,Important
fold 0,494,z119,Important
fold 1,485,z119,Important
fold 2,492,z119,Important
fold 3,489,z119,Important
fold 4,477,z119,Important
fold 5,485,z119,Important
fold 6,488,z119,Important
fold 7,480,z119,Important
fold 8,484,z119,Important
fold 9,495,z119,Important
fold 0,494,z12,Important
fold 1,485,z12,Important
fold 2,492,z12,Important
fold 3,489,z12,Important
fold 4,477,z12,Important
fold 5,485,z12,Important
fold 6,488,z12,Important
fold 7,480,z12,Important
fold 8,484,z12,Important
fold 9,495,z12,Important
fold 0,494,z120,Important
fold 1,485,z120,Important
fold 2,492,z120,Important
fold 3,489,z120,Important
fold 5,485,z120,Important
fold 6,488,z120,Important
fold 7,480,z120,Important
fold 8,484,z120,Important
fold 9,495,z120,Important
fold 0,494,z121,Important
fold 1,485,z121,Important
fold 2,492,z121,Important
fold 3,489,z121,Important
fold 4,477,z121,Important
fold 5,485,z121,Important
fold 6,488,z121,Important
fold 7,480,z121,Important
fold 8,484,z121,Important
fold 9,495,z121,Important
fold 0,494,z122,Important
fold 1,485,z122,Important
fold 2,492,z122,Important
fold 4,477,z122,Important
fold 5,485,z122,Important
fold 6,488,z122,Important
fold 7,480,z122,Important
fold 8,484,z122,Important
fold 9,495,z122,Important
fold 0,494,z123,Important
fold 1,485,z123,Important
fold 2,492,z123,Important
fold 3,489,z123,Important
fold 6,488,z123,Important
fold 7,480,z123,Important
fold 8,484,z123,Important
fold 9,495,z123,Important
fold 0,494,z124,Important
fold 1,485,z124,Important
fold 2,492,z124,Important
fold 3,489,z124,Important
fold 4,477,z124,Important
fold 5,485,z124,Important
fold 6,488,z124,Important
fold 7,480,z124,Important
fold 8,484,z124,Important
fold 9,495,z124,Important
fold 0,494,z125,Important
fold 1,485,z125,Important
fold 2,492,z125,Important
fold 3,489,z125,Important
fold 4,477,z125,Important
fold 6,488,z125,Important
fold 7,480,z125,Important
fold 8,484,z125,Important
fold 9,495,z125,Important
fold 0,494,z126,Important
fold 1,485,z126,Important
fold 2,492,z126,Important
fold 3,489,z126,Important
fold 4,477,z126,Important
fold 5,485,z126,Important
fold 6,488,z126,Important
fold 7,480,z126,Important
fold 8,484,z126,Important
fold 9,495,z126,Important
fold 0,494,z127,Important
fold 2,492,z127,Important
fold 3,489,z127,Important
fold 4,477,z127,Important
fold 5,485,z127,Important
fold 6,488,z127,Important
fold 7,480,z127,Important
fold 8,484,z127,Important
fold 9,495,z127,Important
fold 0,494,z128,Important
fold 1,485,z128,Important
fold 2,492,z128,Important
fold 3,489,z128,Important
fold 4,477,z128,Important
fold 5,485,z128,Important
fold 6,488,z128,Important
fold 7,480,z128,Important
fold 8,484,z128,Important
fold 9,495,z128,Important
fold 0,494,z129,Important
fold 1,485,z129,Important
fold 2,492,z129,Important
fold 3,489,z129,Important
fold 4,477,z129,Important
fold 5,485,z129,Important
fold 6,488,z129,Important
fold 7,480,z129,Important
fold 8,484,z129,Important
fold 9,495,z129,Important
fold 0,494,z13,Important
fold 1,485,z13,Important
fold 2,492,z13,Important
fold 3,489,z13,Important
fold 4,477,z13,Important
fold 5,485,z13,Important
fold 6,488,z13,Important
fold 7,480,z13,Important
fold 8,484,z13,Important
fold 9,495,z13,Important
fold 0,494,z130,Important
fold 1,485,z130,Important
fold 2,492,z130,Important
fold 3,489,z130,Important
fold 4,477,z130,Important
fold 5,485,z130,Important
fold 6,488,z130,Important
fold 7,480,z130,Important
fold 8,484,z130,Important
fold 9,495,z130,Important
fold 0,494,z131,Important
fold 1,485,z131,Important
fold 2,492,z131,Important
fold 3,489,z131,Important
fold 4,477,z131,Important
fold 5,485,z131,Important
fold 6,488,z131,Important
fold 7,480,z131,Important
fold 8,484,z131,Important
fold 9,495,z131,Important
fold 0,494,z132,Important
fold 1,485,z132,Important
fold 2,492,z132,Important
fold 3,489,z132,Important
fold 4,477,z132,Important
fold 5,485,z132,Important
fold 6,488,z132,Important
fold 7,480,z132,Important
fold 8,484,z132,Important
fold 9,495,z132,Important
fold 0,494,z133,Important
fold 1,485,z133,Important
fold 2,492,z133,Important
fold 3,489,z133,Important
fold 4,477,z133,Important
fold 5,485,z133,Important
fold 6,488,z133,Important
fold 7,480,z133,Important
fold 8,484,z133,Important
fold 9,495,z133,Important
fold 0,494,z134,Important
fold 1,485,z134,Important
fold 3,489,z134,Important
fold 4,477,z134,Important
fold 5,485,z134,Important
fold 6,488,z134,Important
fold 7,480,z134,Important
fold 8,484,z134,Important
fold 9,495,z134,Important
fold 0,494,z135,Important
fold 1,485,z135,Important
fold 2,492,z135,Important
fold 3,489,z135,Important
fold 4,477,z135,Important
fold 5,485,z135,Important
fold 6,488,z135,Important
fold 7,480,z135,Important
fold 8,484,z135,Important
fold 9,495,z135,Important
fold 0,494,z136,Important
fold 1,485,z136,Important
fold 2,492,z136,Important
fold 3,489,z136,Important
fold 4,477,z136,Important
fold 5,485,z136,Important
fold 6,488,z136,Important
fold 7,480,z136,Important
