Fold,lrt_counts,latent_var,lrt_importance
fold 1,485,z2,Important
fold 2,492,z2,Important
fold 3,489,z2,Important
fold 4,477,z2,Important
fold 5,485,z2,Important
fold 6,488,z2,Important
fold 7,480,z2,Important
fold 8,484,z2,Important
fold 9,495,z2,Important
fold 0,494,z20,Important
fold 1,485,z20,Important
fold 2,492,z20,Important
fold 3,489,z20,Important
fold 4,477,z20,Important
fold 5,485,z20,Important
fold 6,488,z20,Important
fold 7,480,z20,Important
fold 8,484,z20,Important
fold 9,495,z20,Important
fold 0,494,z200,Important
fold 1,485,z200,Important
fold 2,492,z200,Important
fold 3,489,z200,Important
fold 4,477,z200,Important
fold 5,485,z200,Important
fold 6,488,z200,Important
fold 7,480,z200,Important
fold 8,484,z200,Important
fold 9,495,z200,Important
fold 0,494,z201,Important
fold 1,485,z201,Important
fold 2,492,z201,Important
fold 3,489,z201,Important
fold 4,477,z201,Important
fold 5,485,z201,Important
fold 6,488,z201,Important
fold 7,480,z201,Important
fold 9,495,z201,Important
fold 0,494,z202,Important
fold 1,485,z202,Important
fold 2,492,z202,Important
fold 3,489,z202,Important
fold 4,477,z202,Important
fold 5,485,z202,Important
fold 6,488,z202,Important
fold 7,480,z202,Important
fold 8,484,z202,Important
fold 9,495,z202,Important
fold 0,494,z203,Important
fold 1,485,z203,Important
fold 2,492,z203,Important
fold 3,489,z203,Important
fold 4,477,z203,Important
fold 5,485,z203,Important
fold 6,488,z203,Important
fold 7,480,z203,Important
fold 8,484,z203,Important
fold 9,495,z203,Important
fold 0,494,z204,Important
fold 1,485,z204,Important
fold 2,492,z204,Important
fold 3,489,z204,Important
fold 4,477,z204,Important
fold 5,485,z204,Important
fold 6,488,z204,Important
fold 7,480,z204,Important
fold 8,484,z204,Important
fold 9,495,z204,Important
fold 0,494,z205,Important
fold 1,485,z205,Important
fold 2,492,z205,Important
fold 3,489,z205,Important
fold 4,477,z205,Important
fold 5,485,z205,Important
fold 6,488,z205,Important
fold 7,480,z205,Important
fold 8,484,z205,Important
fold 9,495,z205,Important
fold 0,494,z206,Important
fold 3,489,z206,Important
fold 4,477,z206,Important
fold 5,485,z206,Important
fold 6,488,z206,Important
fold 7,480,z206,Important
fold 8,484,z206,Important
fold 9,495,z206,Important
fold 0,494,z207,Important
fold 1,485,z207,Important
fold 2,492,z207,Important
fold 3,489,z207,Important
fold 4,477,z207,Important
fold 5,485,z207,Important
fold 6,488,z207,Important
fold 7,480,z207,Important
fold 8,484,z207,Important
fold 9,495,z207,Important
fold 0,494,z208,Important
fold 1,485,z208,Important
fold 2,492,z208,Important
fold 3,489,z208,Important
fold 4,477,z208,Important
fold 5,485,z208,Important
fold 6,488,z208,Important
fold 7,480,z208,Important
fold 8,484,z208,Important
fold 9,495,z208,Important
fold 1,485,z209,Important
fold 2,492,z209,Important
fold 3,489,z209,Important
fold 4,477,z209,Important
fold 5,485,z209,Important
fold 6,488,z209,Important
fold 7,480,z209,Important
fold 8,484,z209,Important
fold 9,495,z209,Important
fold 0,494,z21,Important
fold 3,489,z21,Important
fold 4,477,z21,Important
fold 5,485,z21,Important
fold 7,480,z21,Important
fold 8,484,z21,Important
fold 9,495,z21,Important
fold 0,494,z210,Important
fold 1,485,z210,Important
fold 2,492,z210,Important
fold 4,477,z210,Important
fold 5,485,z210,Important
fold 6,488,z210,Important
fold 7,480,z210,Important
fold 8,484,z210,Important
fold 9,495,z210,Important
fold 0,494,z211,Important
fold 1,485,z211,Important
fold 2,492,z211,Important
fold 3,489,z211,Important
fold 4,477,z211,Important
fold 6,488,z211,Important
fold 7,480,z211,Important
fold 8,484,z211,Important
fold 9,495,z211,Important
fold 0,494,z212,Important
fold 1,485,z212,Important
fold 2,492,z212,Important
fold 3,489,z212,Important
fold 4,477,z212,Important
fold 5,485,z212,Important
fold 6,488,z212,Important
fold 7,480,z212,Important
fold 8,484,z212,Important
fold 9,495,z212,Important
fold 0,494,z213,Important
fold 1,485,z213,Important
fold 2,492,z213,Important
fold 3,489,z213,Important
fold 4,477,z213,Important
fold 5,485,z213,Important
fold 6,488,z213,Important
fold 7,480,z213,Important
fold 8,484,z213,Important
fold 9,495,z213,Important
fold 0,494,z214,Important
fold 1,485,z214,Important
fold 2,492,z214,Important
fold 4,477,z214,Important
fold 5,485,z214,Important
fold 6,488,z214,Important
fold 7,480,z214,Important
fold 8,484,z214,Important
fold 9,495,z214,Important
fold 0,494,z215,Important
fold 1,485,z215,Important
fold 2,492,z215,Important
fold 3,489,z215,Important
fold 4,477,z215,Important
fold 5,485,z215,Important
fold 6,488,z215,Important
fold 7,480,z215,Important
fold 8,484,z215,Important
fold 9,495,z215,Important
fold 0,494,z216,Important
fold 1,485,z216,Important
fold 2,492,z216,Important
fold 3,489,z216,Important
fold 4,477,z216,Important
fold 5,485,z216,Important
fold 6,488,z216,Important
fold 7,480,z216,Important
fold 8,484,z216,Important
fold 9,495,z216,Important
fold 0,494,z217,Important
fold 1,485,z217,Important
fold 2,492,z217,Important
fold 3,489,z217,Important
fold 4,477,z217,Important
fold 5,485,z217,Important
fold 6,488,z217,Important
fold 7,480,z217,Important
fold 8,484,z217,Important
fold 9,495,z217,Important
fold 0,494,z218,Important
fold 1,485,z218,Important
fold 2,492,z218,Important
fold 3,489,z218,Important
fold 4,477,z218,Important
fold 5,485,z218,Important
fold 6,488,z218,Important
fold 7,480,z218,Important
fold 8,484,z218,Important
fold 9,495,z218,Important
fold 0,494,z219,Important
fold 1,485,z219,Important
fold 2,492,z219,Important
fold 3,489,z219,Important
fold 4,477,z219,Important
fold 5,485,z219,Important
fold 6,488,z219,Important
fold 7,480,z219,Important
fold 8,484,z219,Important
fold 9,495,z219,Important
fold 1,485,z22,Important
fold 2,492,z22,Important
fold 3,489,z22,Important
fold 4,477,z22,Important
fold 5,485,z22,Important
fold 6,488,z22,Important
fold 7,480,z22,Important
fold 8,484,z22,Important
fold 9,495,z22,Important
fold 0,494,z220,Important
fold 1,485,z220,Important
fold 2,492,z220,Important
fold 3,489,z220,Important
fold 4,477,z220,Important
fold 5,485,z220,Important
fold 6,488,z220,Important
fold 7,480,z220,Important
fold 8,484,z220,Important
fold 9,495,z220,Important
fold 0,494,z221,Important
fold 1,485,z221,Important
fold 2,492,z221,Important
fold 3,489,z221,Important
fold 4,477,z221,Important
fold 5,485,z221,Important
fold 6,488,z221,Important
fold 7,480,z221,Important
fold 8,484,z221,Important
fold 9,495,z221,Important
fold 0,494,z222,Important
fold 1,485,z222,Important
fold 2,492,z222,Important
fold 3,489,z222,Important
fold 4,477,z222,Important
fold 5,485,z222,Important
fold 6,488,z222,Important
fold 7,480,z222,Important
fold 8,484,z222,Important
fold 9,495,z222,Important
fold 0,494,z223,Important
fold 1,485,z223,Important
fold 2,492,z223,Important
fold 3,489,z223,Important
fold 5,485,z223,Important
fold 6,488,z223,Important
fold 7,480,z223,Important
fold 8,484,z223,Important
fold 9,495,z223,Important
fold 0,494,z224,Important
fold 1,485,z224,Important
fold 2,492,z224,Important
fold 3,489,z224,Important
fold 4,477,z224,Important
fold 5,485,z224,Important
fold 6,488,z224,Important
fold 8,484,z224,Important
fold 9,495,z224,Important
fold 0,494,z225,Important
fold 1,485,z225,Important
fold 2,492,z225,Important
fold 4,477,z225,Important
fold 6,488,z225,Important
fold 7,480,z225,Important
fold 8,484,z225,Important
fold 9,495,z225,Important
fold 0,494,z226,Important
fold 1,485,z226,Important
fold 2,492,z226,Important
fold 3,489,z226,Important
fold 4,477,z226,Important
fold 6,488,z226,Important
fold 8,484,z226,Important
fold 9,495,z226,Important
fold 0,494,z227,Important
fold 1,485,z227,Important
fold 2,492,z227,Important
fold 3,489,z227,Important
fold 4,477,z227,Important
fold 5,485,z227,Important
fold 6,488,z227,Important
fold 7,480,z227,Important
fold 8,484,z227,Important
fold 9,495,z227,Important
fold 0,494,z228,Important
fold 1,485,z228,Important
fold 2,492,z228,Important
fold 3,489,z228,Important
fold 4,477,z228,Important
fold 5,485,z228,Important
fold 6,488,z228,Important
fold 7,480,z228,Important
fold 8,484,z228,Important
fold 9,495,z228,Important
fold 0,494,z229,Important
fold 1,485,z229,Important
fold 2,492,z229,Important
fold 3,489,z229,Important
fold 4,477,z229,Important
fold 5,485,z229,Important
fold 6,488,z229,Important
fold 7,480,z229,Important
fold 8,484,z229,Important
fold 9,495,z229,Important
fold 0,494,z23,Important
fold 1,485,z23,Important
fold 2,492,z23,Important
fold 3,489,z23,Important
fold 4,477,z23,Important
fold 5,485,z23,Important
fold 6,488,z23,Important
fold 8,484,z23,Important
fold 0,494,z230,Important
fold 1,485,z230,Important
fold 2,492,z230,Important
fold 5,485,z230,Important
fold 6,488,z230,Important
fold 7,480,z230,Important
fold 9,495,z230,Important
fold 0,494,z231,Important
fold 1,485,z231,Important
fold 2,492,z231,Important
fold 3,489,z231,Important
fold 4,477,z231,Important
fold 5,485,z231,Important
fold 6,488,z231,Important
fold 7,480,z231,Important
fold 8,484,z231,Important
fold 9,495,z231,Important
fold 0,494,z232,Important
fold 1,485,z232,Important
fold 2,492,z232,Important
fold 3,489,z232,Important
fold 4,477,z232,Important
fold 5,485,z232,Important
fold 6,488,z232,Important
fold 7,480,z232,Important
fold 8,484,z232,Important
fold 9,495,z232,Important
fold 0,494,z233,Important
fold 1,485,z233,Important
fold 2,492,z233,Important
fold 3,489,z233,Important
fold 4,477,z233,Important
fold 5,485,z233,Important
fold 6,488,z233,Important
fold 7,480,z233,Important
fold 8,484,z233,Important
fold 9,495,z233,Important
fold 0,494,z234,Important
fold 1,485,z234,Important
fold 2,492,z234,Important
fold 5,485,z234,Important
fold 6,488,z234,Important
fold 7,480,z234,Important
fold 8,484,z234,Important
fold 9,495,z234,Important
fold 0,494,z235,Important
fold 1,485,z235,Important
fold 2,492,z235,Important
fold 3,489,z235,Important
fold 4,477,z235,Important
fold 5,485,z235,Important
fold 6,488,z235,Important
fold 7,480,z235,Important
fold 8,484,z235,Important
fold 9,495,z235,Important
fold 0,494,z236,Important
fold 1,485,z236,Important
fold 2,492,z236,Important
fold 3,489,z236,Important
fold 5,485,z236,Important
fold 6,488,z236,Important
fold 7,480,z236,Important
fold 8,484,z236,Important
fold 9,495,z236,Important
fold 0,494,z237,Important
fold 1,485,z237,Important
fold 2,492,z237,Important
fold 3,489,z237,Important
fold 4,477,z237,Important
fold 5,485,z237,Important
fold 6,488,z237,Important
fold 7,480,z237,Important
fold 8,484,z237,Important
fold 9,495,z237,Important
fold 0,494,z238,Important
fold 1,485,z238,Important
fold 2,492,z238,Important
fold 3,489,z238,Important
fold 4,477,z238,Important
fold 5,485,z238,Important
fold 6,488,z238,Important
fold 7,480,z238,Important
fold 8,484,z238,Important
fold 9,495,z238,Important
fold 0,494,z239,Important
fold 1,485,z239,Important
fold 2,492,z239,Important
fold 3,489,z239,Important
fold 4,477,z239,Important
fold 5,485,z239,Important
fold 6,488,z239,Important
fold 7,480,z239,Important
fold 8,484,z239,Important
fold 9,495,z239,Important
fold 0,494,z24,Important
fold 1,485,z24,Important
fold 3,489,z24,Important
fold 4,477,z24,Important
fold 5,485,z24,Important
fold 6,488,z24,Important
fold 7,480,z24,Important
fold 9,495,z24,Important
fold 0,494,z240,Important
fold 2,492,z240,Important
fold 3,489,z240,Important
fold 4,477,z240,Important
fold 5,485,z240,Important
fold 6,488,z240,Important
fold 7,480,z240,Important
fold 8,484,z240,Important
fold 9,495,z240,Important
fold 0,494,z241,Important
fold 1,485,z241,Important
fold 2,492,z241,Important
fold 3,489,z241,Important
fold 5,485,z241,Important
fold 6,488,z241,Important
fold 7,480,z241,Important
fold 8,484,z241,Important
fold 9,495,z241,Important
fold 0,494,z242,Important
fold 1,485,z242,Important
fold 2,492,z242,Important
fold 3,489,z242,Important
fold 4,477,z242,Important
fold 5,485,z242,Important
fold 6,488,z242,Important
fold 7,480,z242,Important
fold 8,484,z242,Important
fold 9,495,z242,Important
fold 0,494,z243,Important
fold 1,485,z243,Important
fold 2,492,z243,Important
fold 3,489,z243,Important
fold 4,477,z243,Important
fold 5,485,z243,Important
fold 6,488,z243,Important
fold 7,480,z243,Important
fold 8,484,z243,Important
fold 9,495,z243,Important
fold 0,494,z244,Important
fold 1,485,z244,Important
fold 2,492,z244,Important
fold 3,489,z244,Important
fold 4,477,z244,Important
fold 5,485,z244,Important
fold 6,488,z244,Important
fold 7,480,z244,Important
fold 8,484,z244,Important
fold 9,495,z244,Important
fold 0,494,z245,Important
fold 1,485,z245,Important
fold 2,492,z245,Important
fold 3,489,z245,Important
fold 4,477,z245,Important
fold 5,485,z245,Important
fold 6,488,z245,Important
fold 7,480,z245,Important
fold 8,484,z245,Important
fold 9,495,z245,Important
fold 0,494,z246,Important
fold 1,485,z246,Important
fold 2,492,z246,Important
fold 3,489,z246,Important
fold 4,477,z246,Important
fold 5,485,z246,Important
fold 6,488,z246,Important
fold 7,480,z246,Important
fold 8,484,z246,Important
fold 9,495,z246,Important
fold 0,494,z247,Important
fold 1,485,z247,Important
fold 2,492,z247,Important
fold 3,489,z247,Important
fold 4,477,z247,Important
fold 5,485,z247,Important
fold 6,488,z247,Important
fold 7,480,z247,Important
fold 8,484,z247,Important
fold 9,495,z247,Important
fold 0,494,z248,Important
fold 1,485,z248,Important
fold 2,492,z248,Important
fold 3,489,z248,Important
fold 4,477,z248,Important
fold 5,485,z248,Important
fold 6,488,z248,Important
fold 7,480,z248,Important
fold 8,484,z248,Important
fold 9,495,z248,Important
fold 0,494,z249,Important
fold 1,485,z249,Important
fold 2,492,z249,Important
fold 3,489,z249,Important
fold 4,477,z249,Important
fold 5,485,z249,Important
fold 6,488,z249,Important
fold 7,480,z249,Important
fold 8,484,z249,Important
fold 9,495,z249,Important
fold 0,494,z25,Important
fold 1,485,z25,Important
fold 2,492,z25,Important
fold 3,489,z25,Important
fold 4,477,z25,Important
fold 5,485,z25,Important
fold 6,488,z25,Important
fold 7,480,z25,Important
fold 8,484,z25,Important
fold 9,495,z25,Important
fold 0,494,z250,Important
fold 1,485,z250,Important
fold 2,492,z250,Important
fold 3,489,z250,Important
fold 4,477,z250,Important
fold 5,485,z250,Important
fold 6,488,z250,Important
fold 7,480,z250,Important
fold 8,484,z250,Important
fold 9,495,z250,Important
fold 0,494,z251,Important
fold 1,485,z251,Important
fold 2,492,z251,Important
fold 3,489,z251,Important
fold 4,477,z251,Important
fold 5,485,z251,Important
fold 6,488,z251,Important
fold 7,480,z251,Important
fold 8,484,z251,Important
fold 9,495,z251,Important
fold 0,494,z252,Important
fold 1,485,z252,Important
fold 2,492,z252,Important
fold 3,489,z252,Important
fold 4,477,z252,Important
fold 5,485,z252,Important
fold 6,488,z252,Important
fold 7,480,z252,Important
fold 9,495,z252,Important
fold 0,494,z253,Important
fold 1,485,z253,Important
fold 2,492,z253,Important
fold 3,489,z253,Important
fold 4,477,z253,Important
fold 5,485,z253,Important
fold 6,488,z253,Important
fold 7,480,z253,Important
fold 8,484,z253,Important
fold 9,495,z253,Important
fold 0,494,z254,Important
fold 1,485,z254,Important
fold 2,492,z254,Important
fold 3,489,z254,Important
fold 4,477,z254,Important
fold 5,485,z254,Important
fold 6,488,z254,Important
fold 7,480,z254,Important
fold 8,484,z254,Important
fold 9,495,z254,Important
fold 0,494,z255,Important
fold 1,485,z255,Important
fold 2,492,z255,Important
fold 3,489,z255,Important
fold 4,477,z255,Important
fold 5,485,z255,Important
fold 6,488,z255,Important
fold 7,480,z255,Important
fold 8,484,z255,Important
fold 9,495,z255,Important
fold 0,494,z256,Important
fold 1,485,z256,Important
fold 2,492,z256,Important
fold 3,489,z256,Important
fold 4,477,z256,Important
fold 5,485,z256,Important
fold 6,488,z256,Important
fold 7,480,z256,Important
fold 8,484,z256,Important
fold 9,495,z256,Important
fold 1,485,z257,Important
fold 2,492,z257,Important
fold 3,489,z257,Important
fold 5,485,z257,Important
fold 6,488,z257,Important
fold 7,480,z257,Important
fold 8,484,z257,Important
fold 9,495,z257,Important
fold 0,494,z258,Important
fold 1,485,z258,Important
fold 2,492,z258,Important
fold 3,489,z258,Important
fold 4,477,z258,Important
fold 5,485,z258,Important
fold 6,488,z258,Important
fold 7,480,z258,Important
fold 8,484,z258,Important
fold 9,495,z258,Important
fold 0,494,z259,Important
fold 1,485,z259,Important
fold 2,492,z259,Important
fold 3,489,z259,Important
fold 4,477,z259,Important
fold 5,485,z259,Important
fold 6,488,z259,Important
fold 7,480,z259,Important
fold 8,484,z259,Important
fold 9,495,z259,Important
fold 0,494,z26,Important
fold 1,485,z26,Important
fold 2,492,z26,Important
fold 3,489,z26,Important
fold 4,477,z26,Important
fold 5,485,z26,Important
fold 6,488,z26,Important
fold 7,480,z26,Important
fold 8,484,z26,Important
fold 9,495,z26,Important
fold 1,485,z260,Important
fold 2,492,z260,Important
fold 3,489,z260,Important
fold 4,477,z260,Important
fold 5,485,z260,Important
fold 6,488,z260,Important
fold 8,484,z260,Important
fold 9,495,z260,Important
fold 0,494,z261,Important
fold 1,485,z261,Important
fold 2,492,z261,Important
fold 3,489,z261,Important
fold 4,477,z261,Important
fold 5,485,z261,Important
fold 6,488,z261,Important
fold 7,480,z261,Important
fold 8,484,z261,Important
fold 9,495,z261,Important
fold 0,494,z262,Important
fold 1,485,z262,Important
fold 2,492,z262,Important
fold 3,489,z262,Important
fold 4,477,z262,Important
fold 5,485,z262,Important
fold 6,488,z262,Important
fold 7,480,z262,Important
fold 8,484,z262,Important
fold 9,495,z262,Important
fold 0,494,z263,Important
fold 1,485,z263,Important
fold 2,492,z263,Important
fold 3,489,z263,Important
fold 4,477,z263,Important
fold 5,485,z263,Important
fold 6,488,z263,Important
fold 7,480,z263,Important
fold 8,484,z263,Important
fold 9,495,z263,Important
fold 0,494,z264,Important
fold 1,485,z264,Important
fold 2,492,z264,Important
fold 3,489,z264,Important
fold 4,477,z264,Important
fold 5,485,z264,Important
fold 6,488,z264,Important
fold 7,480,z264,Important
fold 8,484,z264,Important
fold 9,495,z264,Important
fold 0,494,z265,Important
fold 1,485,z265,Important
fold 2,492,z265,Important
fold 3,489,z265,Important
fold 4,477,z265,Important
fold 5,485,z265,Important
fold 6,488,z265,Important
fold 7,480,z265,Important
fold 8,484,z265,Important
fold 2,492,z266,Important
fold 3,489,z266,Important
fold 4,477,z266,Important
fold 5,485,z266,Important
fold 7,480,z266,Important
fold 8,484,z266,Important
fold 9,495,z266,Important
fold 0,494,z267,Important
fold 1,485,z267,Important
fold 2,492,z267,Important
fold 3,489,z267,Important
fold 4,477,z267,Important
fold 5,485,z267,Important
fold 6,488,z267,Important
fold 7,480,z267,Important
fold 8,484,z267,Important
fold 9,495,z267,Important
fold 0,494,z268,Important
fold 1,485,z268,Important
fold 2,492,z268,Important
fold 3,489,z268,Important
fold 5,485,z268,Important
fold 6,488,z268,Important
fold 7,480,z268,Important
fold 8,484,z268,Important
fold 9,495,z268,Important
fold 0,494,z269,Important
fold 1,485,z269,Important
fold 2,492,z269,Important
fold 3,489,z269,Important
fold 4,477,z269,Important
fold 5,485,z269,Important
fold 6,488,z269,Important
fold 7,480,z269,Important
fold 9,495,z269,Important
fold 0,494,z27,Important
fold 1,485,z27,Important
fold 2,492,z27,Important
fold 3,489,z27,Important
fold 4,477,z27,Important
fold 5,485,z27,Important
fold 6,488,z27,Important
fold 8,484,z27,Important
fold 9,495,z27,Important
fold 0,494,z270,Important
fold 1,485,z270,Important
fold 2,492,z270,Important
fold 3,489,z270,Important
fold 4,477,z270,Important
fold 5,485,z270,Important
fold 6,488,z270,Important
fold 7,480,z270,Important
fold 8,484,z270,Important
fold 9,495,z270,Important
fold 0,494,z271,Important
fold 1,485,z271,Important
fold 3,489,z271,Important
fold 5,485,z271,Important
fold 6,488,z271,Important
fold 7,480,z271,Important
fold 8,484,z271,Important
fold 9,495,z271,Important
fold 0,494,z272,Important
fold 2,492,z272,Important
fold 3,489,z272,Important
fold 4,477,z272,Important
fold 5,485,z272,Important
fold 6,488,z272,Important
fold 7,480,z272,Important
fold 8,484,z272,Important
fold 9,495,z272,Important
fold 0,494,z273,Important
fold 1,485,z273,Important
fold 2,492,z273,Important
fold 3,489,z273,Important
fold 4,477,z273,Important
fold 5,485,z273,Important
fold 6,488,z273,Important
fold 8,484,z273,Important
fold 9,495,z273,Important
fold 0,494,z274,Important
fold 1,485,z274,Important
fold 2,492,z274,Important
fold 3,489,z274,Important
fold 4,477,z274,Important
fold 5,485,z274,Important
fold 6,488,z274,Important
fold 7,480,z274,Important
fold 8,484,z274,Important
fold 9,495,z274,Important
fold 0,494,z275,Important
fold 1,485,z275,Important
fold 2,492,z275,Important
fold 3,489,z275,Important
fold 4,477,z275,Important
fold 5,485,z275,Important
fold 6,488,z275,Important
fold 7,480,z275,Important
fold 8,484,z275,Important
fold 9,495,z275,Important
fold 0,494,z276,Important
fold 1,485,z276,Important
fold 2,492,z276,Important
fold 3,489,z276,Important
fold 4,477,z276,Important
fold 5,485,z276,Important
fold 7,480,z276,Important
fold 8,484,z276,Important
fold 9,495,z276,Important
fold 0,494,z277,Important
fold 1,485,z277,Important
fold 2,492,z277,Important
fold 3,489,z277,Important
fold 4,477,z277,Important
fold 5,485,z277,Important
fold 6,488,z277,Important
fold 7,480,z277,Important
fold 8,484,z277,Important
fold 9,495,z277,Important
fold 0,494,z278,Important
fold 1,485,z278,Important
fold 2,492,z278,Important
fold 3,489,z278,Important
fold 4,477,z278,Important
fold 5,485,z278,Important
fold 6,488,z278,Important
fold 7,480,z278,Important
fold 8,484,z278,Important
fold 9,495,z278,Important
fold 0,494,z279,Important
fold 1,485,z279,Important
fold 2,492,z279,Important
fold 3,489,z279,Important
fold 4,477,z279,Important
fold 5,485,z279,Important
fold 6,488,z279,Important
fold 7,480,z279,Important
fold 8,484,z279,Important
fold 9,495,z279,Important
fold 0,494,z28,Important
fold 1,485,z28,Important
fold 2,492,z28,Important
fold 3,489,z28,Important
fold 5,485,z28,Important
fold 6,488,z28,Important
fold 7,480,z28,Important
fold 8,484,z28,Important
fold 9,495,z28,Important
fold 0,494,z280,Important
fold 1,485,z280,Important
fold 3,489,z280,Important
fold 4,477,z280,Important
fold 5,485,z280,Important
fold 6,488,z280,Important
fold 8,484,z280,Important
fold 9,495,z280,Important
fold 0,494,z281,Important
fold 1,485,z281,Important
fold 2,492,z281,Important
fold 3,489,z281,Important
fold 4,477,z281,Important
fold 5,485,z281,Important
fold 6,488,z281,Important
fold 7,480,z281,Important
fold 8,484,z281,Important
fold 9,495,z281,Important
fold 0,494,z282,Important
fold 1,485,z282,Important
fold 2,492,z282,Important
fold 3,489,z282,Important
fold 4,477,z282,Important
fold 5,485,z282,Important
fold 6,488,z282,Important
fold 7,480,z282,Important
fold 8,484,z282,Important
fold 9,495,z282,Important
fold 0,494,z283,Important
fold 2,492,z283,Important
fold 3,489,z283,Important
fold 4,477,z283,Important
fold 5,485,z283,Important
fold 6,488,z283,Important
fold 7,480,z283,Important
fold 8,484,z283,Important
fold 9,495,z283,Important
fold 0,494,z284,Important
fold 1,485,z284,Important
fold 2,492,z284,Important
fold 3,489,z284,Important
fold 4,477,z284,Important
fold 5,485,z284,Important
fold 6,488,z284,Important
fold 7,480,z284,Important
fold 8,484,z284,Important
fold 9,495,z284,Important
fold 0,494,z285,Important
fold 1,485,z285,Important
fold 2,492,z285,Important
fold 3,489,z285,Important
fold 4,477,z285,Important
fold 5,485,z285,Important
fold 6,488,z285,Important
fold 7,480,z285,Important
fold 8,484,z285,Important
fold 9,495,z285,Important
fold 0,494,z286,Important
fold 1,485,z286,Important
fold 2,492,z286,Important
fold 3,489,z286,Important
fold 4,477,z286,Important
fold 5,485,z286,Important
fold 6,488,z286,Important
fold 7,480,z286,Important
fold 8,484,z286,Important
fold 9,495,z286,Important
fold 0,494,z287,Important
fold 1,485,z287,Important
fold 2,492,z287,Important
fold 3,489,z287,Important
fold 4,477,z287,Important
fold 5,485,z287,Important
fold 6,488,z287,Important
fold 7,480,z287,Important
fold 8,484,z287,Important
fold 9,495,z287,Important
fold 0,494,z288,Important
fold 1,485,z288,Important
fold 2,492,z288,Important
fold 3,489,z288,Important
fold 5,485,z288,Important
fold 7,480,z288,Important
fold 8,484,z288,Important
fold 9,495,z288,Important
fold 0,494,z289,Important
fold 1,485,z289,Important
fold 2,492,z289,Important
fold 3,489,z289,Important
fold 4,477,z289,Important
fold 5,485,z289,Important
fold 6,488,z289,Important
fold 7,480,z289,Important
fold 9,495,z289,Important
fold 0,494,z29,Important
fold 1,485,z29,Important
fold 2,492,z29,Important
fold 3,489,z29,Important
fold 4,477,z29,Important
fold 5,485,z29,Important
fold 6,488,z29,Important
fold 7,480,z29,Important
fold 8,484,z29,Important
fold 9,495,z29,Important
fold 0,494,z290,Important
fold 1,485,z290,Important
fold 2,492,z290,Important
fold 3,489,z290,Important
fold 4,477,z290,Important
fold 5,485,z290,Important
fold 6,488,z290,Important
fold 7,480,z290,Important
fold 8,484,z290,Important
fold 9,495,z290,Important
fold 0,494,z291,Important
fold 1,485,z291,Important
fold 2,492,z291,Important
fold 3,489,z291,Important
fold 4,477,z291,Important
fold 5,485,z291,Important
fold 6,488,z291,Important
fold 7,480,z291,Important
fold 8,484,z291,Important
fold 9,495,z291,Important
fold 0,494,z292,Important
fold 1,485,z292,Important
fold 2,492,z292,Important
fold 3,489,z292,Important
fold 4,477,z292,Important
fold 6,488,z292,Important
fold 7,480,z292,Important
fold 9,495,z292,Important
fold 0,494,z293,Important
fold 1,485,z293,Important
fold 2,492,z293,Important
fold 3,489,z293,Important
fold 4,477,z293,Important
fold 5,485,z293,Important
fold 6,488,z293,Important
fold 7,480,z293,Important
fold 8,484,z293,Important
fold 9,495,z293,Important
fold 0,494,z294,Important
fold 1,485,z294,Important
fold 2,492,z294,Important
fold 3,489,z294,Important
fold 4,477,z294,Important
fold 5,485,z294,Important
fold 6,488,z294,Important
fold 7,480,z294,Important
fold 8,484,z294,Important
fold 9,495,z294,Important
fold 0,494,z295,Important
fold 1,485,z295,Important
fold 2,492,z295,Important
fold 3,489,z295,Important
fold 4,477,z295,Important
fold 5,485,z295,Important
fold 6,488,z295,Important
fold 7,480,z295,Important
fold 8,484,z295,Important
fold 9,495,z295,Important
fold 0,494,z296,Important
fold 1,485,z296,Important
fold 3,489,z296,Important
fold 4,477,z296,Important
fold 5,485,z296,Important
fold 6,488,z296,Important
fold 7,480,z296,Important
fold 8,484,z296,Important
fold 9,495,z296,Important
fold 0,494,z297,Important
fold 1,485,z297,Important
fold 2,492,z297,Important
fold 3,489,z297,Important
fold 4,477,z297,Important
fold 5,485,z297,Important
fold 6,488,z297,Important
fold 7,480,z297,Important
fold 8,484,z297,Important
fold 9,495,z297,Important
fold 0,494,z298,Important
fold 1,485,z298,Important
fold 2,492,z298,Important
fold 3,489,z298,Important
fold 4,477,z298,Important
fold 5,485,z298,Important
fold 6,488,z298,Important
fold 7,480,z298,Important
fold 8,484,z298,Important
fold 9,495,z298,Important
fold 0,494,z299,Important
fold 1,485,z299,Important
fold 2,492,z299,Important
fold 3,489,z299,Important
fold 6,488,z299,Important
fold 7,480,z299,Important
fold 9,495,z299,Important
fold 0,494,z3,Important
fold 1,485,z3,Important
fold 2,492,z3,Important
fold 3,489,z3,Important
fold 4,477,z3,Important
fold 5,485,z3,Important
fold 6,488,z3,Important
fold 7,480,z3,Important
fold 8,484,z3,Important
fold 9,495,z3,Important
fold 0,494,z30,Important
fold 1,485,z30,Important
fold 2,492,z30,Important
fold 3,489,z30,Important
fold 4,477,z30,Important
fold 5,485,z30,Important
fold 6,488,z30,Important
fold 7,480,z30,Important
fold 8,484,z30,Important
fold 9,495,z30,Important
fold 0,494,z300,Important
fold 2,492,z300,Important
fold 3,489,z300,Important
fold 4,477,z300,Important
fold 5,485,z300,Important
