bead_batch,nearest_dose,pert_dose,pert_dose_unit,pert_idose,pert_itime,pert_time,pert_time_unit,cell_mfc_name,pert_mfc_id,nsample,cc_q75,ss_ngene,tas,pct_self_rank_q25,wt,median_recall_rank_spearman,median_recall_rank_wtcs_50,median_recall_score_spearman,median_recall_score_wtcs_50,batch_effect_tstat,batch_effect_tstat_pct,is_hiq,qc_pass,pert_id,sig_id,pert_type,cell_iname,det_wells,det_plates,distil_ids,build_name,project_code,cmap_name,is_exemplar_sig,is_ncs_sig,is_null_sig,quality_replicates,per_cell_sigs,duplIdentifier,dupl_counts,conditionId
b35,,,Unknown,"",96 h,96,h,ES2.311,CMAP-000,3,0.5283,237,0.357791,0.246637,"0.35,0.32,0.33",0.678915,0.54664,0.50707,0.63556,9.36,38.7884,1,1,CMAP-000,XPR011_ES2.311_96H:D14,ctl_untrt,ES2,D14,XPR011_ES2.311_96H_X1_B35|XPR011_ES2.311_96H_X2_B35|XPR011_ES2.311_96H_X3_B35,XPR011_ES2.311_96H_X1_B35:D14|XPR011_ES2.311_96H_X2_B35:D14|XPR011_ES2.311_96H_X3_B35:D14,,XPR,UnTrt,0,0,0,1,296,UnTrt__96 h_ES2,296,UnTrt__96 h
b35,,,Unknown,"",96 h,96,h,ES2.311,CMAP-000,3,0.1888,48,0.0962703,6.97623,"0.35,0.19,0.46",23.4338,43.6553,0.105904,0.231186,12.11,52.5122,0,1,CMAP-000,XPR015_ES2.311_96H:H06,ctl_untrt,ES2,H06,XPR015_ES2.311_96H_X1_B35|XPR015_ES2.311_96H_X2_B35|XPR015_ES2.311_96H_X3_B35,XPR015_ES2.311_96H_X1_B35:H06|XPR015_ES2.311_96H_X2_B35:H06|XPR015_ES2.311_96H_X3_B35:H06,,XPR,UnTrt,0,0,0,1,296,UnTrt__96 h_ES2,296,UnTrt__96 h
b36,,,Unknown,"",96 h,96,h,ES2.311,CMAP-000,3,0.1786,99,0.134456,11.504,"0.50,0.16,0.34",22.0849,23.7482,0.100683,0.235229,9.37,38.8745,0,1,CMAP-000,XPR018_ES2.311_96H:N21,ctl_untrt,ES2,N21,XPR018_ES2.311_96H_X1_B36|XPR018_ES2.311_96H_X2_B36|XPR018_ES2.311_96H_X3_B36,XPR018_ES2.311_96H_X1_B36:N21|XPR018_ES2.311_96H_X2_B36:N21|XPR018_ES2.311_96H_X3_B36:N21,,XPR,UnTrt,0,0,0,1,296,UnTrt__96 h_ES2,296,UnTrt__96 h
b35,,,Unknown,"",96 h,96,h,ES2.311,CMAP-000,3,0.4587,179,0.289741,4.6288,"0.33,0.31,0.37",9.13171,6.44553,0.427896,0.561906,8.27,33.0462,0,1,CMAP-000,XPR009_ES2.311_96H:C10,ctl_untrt,ES2,C10,XPR009_ES2.311_96H_X1_B35|XPR009_ES2.311_96H_X2_B35|XPR009_ES2.311_96H_X3_B35,XPR009_ES2.311_96H_X1_B35:C10|XPR009_ES2.311_96H_X2_B35:C10|XPR009_ES2.311_96H_X3_B35:C10,,XPR,UnTrt,0,0,0,1,296,UnTrt__96 h_ES2,296,UnTrt__96 h
b38,,,Unknown,"",96 h,96,h,ES2.311,CMAP-000,3,0.2042,79,0.12843,7.06522,"0.36,0.43,0.21",17.3454,25.991,0.11204,0.225724,9.02,37.0657,0,1,CMAP-000,XPR031_ES2.311_96H:E22,ctl_untrt,ES2,E22,XPR031_ES2.311_96H_X1_B38|XPR031_ES2.311_96H_X2_B38|XPR031_ES2.311_96H_X3_B38,XPR031_ES2.311_96H_X1_B38:E22|XPR031_ES2.311_96H_X2_B38:E22|XPR031_ES2.311_96H_X3_B38:E22,,XPR,UnTrt,0,0,0,1,296,UnTrt__96 h_ES2,296,UnTrt__96 h
b40,,,Unknown,"",96 h,96,h,ES2.311,CMAP-000,3,0.3397,182,0.251425,2.21239,"0.40,0.36,0.24",4.76264,3.17253,0.21349,0.484515,17.5,73.184,1,1,CMAP-000,XPR037_ES2.311_96H:O13,ctl_untrt,ES2,O13,XPR037_ES2.311_96H_X1_B40|XPR037_ES2.311_96H_X2_B40|XPR037_ES2.311_96H_X3_B40,XPR037_ES2.311_96H_X1_B40:O13|XPR037_ES2.311_96H_X2_B40:O13|XPR037_ES2.311_96H_X3_B40:O13,,XPR,UnTrt,0,0,0,1,296,UnTrt__96 h_ES2,296,UnTrt__96 h
b35,,,Unknown,"",96 h,96,h,ES2.311,CMAP-000,3,0.3942,186,0.273799,1.92825,"0.31,0.37,0.32",2.59987,8.37412,0.374822,0.497985,9.36,38.7884,1,1,CMAP-000,XPR011_ES2.311_96H:H21,ctl_untrt,ES2,H21,XPR011_ES2.311_96H_X1_B35|XPR011_ES2.311_96H_X2_B35|XPR011_ES2.311_96H_X3_B35,XPR011_ES2.311_96H_X1_B35:H21|XPR011_ES2.311_96H_X2_B35:H21|XPR011_ES2.311_96H_X3_B35:H21,,XPR,UnTrt,0,0,0,1,296,UnTrt__96 h_ES2,296,UnTrt__96 h
b36,,,Unknown,"",96 h,96,h,ES2.311,CMAP-000,3,0.1298,89,0.108672,20.2498,"0.47,0.05,0.47",64.4615,47.8974,-0.0382206,0.159922,6.84,26.2417,0,1,CMAP-000,XPR021_ES2.311_96H:F20,ctl_untrt,ES2,F20,XPR021_ES2.311_96H_X1_B36|XPR021_ES2.311_96H_X2_B36|XPR021_ES2.311_96H_X3_B36,XPR021_ES2.311_96H_X1_B36:F20|XPR021_ES2.311_96H_X2_B36:F20|XPR021_ES2.311_96H_X3_B36:F20,,XPR,UnTrt,0,0,0,1,296,UnTrt__96 h_ES2,296,UnTrt__96 h
b36,,,Unknown,"",96 h,96,h,ES2.311,CMAP-000,3,0.212,106,0.151567,11.7306,"0.39,0.11,0.50",28.041,36.875,0.0700492,0.152221,6.84,26.2417,0,1,CMAP-000,XPR021_ES2.311_96H:F02,ctl_untrt,ES2,F02,XPR021_ES2.311_96H_X1_B36|XPR021_ES2.311_96H_X2_B36|XPR021_ES2.311_96H_X3_B36,XPR021_ES2.311_96H_X1_B36:F02|XPR021_ES2.311_96H_X2_B36:F02|XPR021_ES2.311_96H_X3_B36:F02,,XPR,UnTrt,0,0,0,1,296,UnTrt__96 h_ES2,296,UnTrt__96 h
b40,,,Unknown,"",96 h,96,h,ES2.311,CMAP-000,3,0.2995,194,0.243731,6.03448,"0.17,0.41,0.42",19.2477,33.638,0.101871,0.154634,5.84,22.4232,0,1,CMAP-000,XPR033_ES2.311_96H:N07,ctl_untrt,ES2,N07,XPR033_ES2.311_96H_X1_B40|XPR033_ES2.311_96H_X2_B40|XPR033_ES2.311_96H_X3_B40,XPR033_ES2.311_96H_X1_B40:N07|XPR033_ES2.311_96H_X2_B40:N07|XPR033_ES2.311_96H_X3_B40:N07,,XPR,UnTrt,0,0,0,1,296,UnTrt__96 h_ES2,296,UnTrt__96 h
