,F1,Accuracy,F1Species,AccuracySpecies,F1_global,Accuracy_global,F1Protection,AccProtection,recon_pear_primates,recon_pear_human,recon_r2_primates,recon_r2_human,latent_human_pear,latent_mouse_pear,KNNTranslationF1,ClassifierTranslationF1
0,0.9615384615384616,0.9459459459459459,1.0,1.0,0.9811320754716981,0.972972972972973,0.7666666666666667,0.6216216216216216,0.81746906042099,0.9333345890045166,0.08195644617080688,0.7979788780212402,0.03995557129383087,-0.01844225823879242,0.9411764705882353,0.8888888888888888
1,0.9841269841269841,0.9722222222222222,1.0,1.0,0.9841269841269841,0.9722222222222222,0.8518518518518519,0.7777777777777778,0.8436274528503418,0.8798555135726929,0.0645558163523674,0.5091904997825623,0.000818558968603611,-0.03648503124713898,1.0,1.0
2,1.0,1.0,1.0,1.0,1.0,1.0,0.43243243243243246,0.4,0.6276074647903442,0.8946201801300049,-1.5169559717178345,0.5640398859977722,0.024310480803251266,0.0340968519449234,1.0,1.0
3,0.9615384615384616,0.9428571428571428,1.0,1.0,0.9615384615384616,0.9428571428571428,0.8275862068965517,0.7142857142857143,0.6089633703231812,0.9368435144424438,-1.220530390739441,0.7573586702346802,0.004844213370233774,0.06208757683634758,1.0,0.9333333333333333
4,1.0,1.0,1.0,1.0,1.0,1.0,0.7924528301886793,0.6857142857142857,0.7561970353126526,0.9011462926864624,-0.22287337481975555,0.5273135900497437,-0.029113367199897766,-0.0038678310811519623,1.0,1.0
5,0.9811320754716981,0.9714285714285714,1.0,1.0,0.9811320754716981,0.9714285714285714,0.6666666666666666,0.5142857142857142,0.8589662909507751,0.9050777554512024,-0.18456503748893738,0.5575699210166931,0.032762736082077026,-0.024378066882491112,1.0,1.0
6,1.0,1.0,1.0,1.0,1.0,1.0,0.896551724137931,0.8285714285714286,0.8738336563110352,0.8141142129898071,0.16101834177970886,0.11553036421537399,0.053638607263565063,-0.015103958547115326,1.0,1.0
7,0.9836065573770492,0.9714285714285714,1.0,1.0,0.9836065573770492,0.9714285714285714,0.5641025641025641,0.5142857142857142,0.5795566439628601,0.9126320481300354,-1.298804521560669,0.630212128162384,0.02174321562051773,0.012531261891126633,1.0,1.0
8,0.9705882352941176,0.9428571428571428,1.0,1.0,0.9705882352941176,0.9428571428571428,0.0,0.42857142857142855,0.6265560388565063,0.8910830020904541,-1.3848828077316284,0.5472949743270874,-0.058014970272779465,0.15823304653167725,0.875,1.0
9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.17142857142857143,0.824026882648468,0.9108527302742004,-0.33216017484664917,0.6238356232643127,-0.034245189279317856,0.1497819572687149,1.0,0.9333333333333333
