,model_pearsonHT29,model_pearsonA375,model_spearHT29,model_spearA375,model_accHT29,model_accA375
0,0.5779327297619644,0.5653860614252739,0.6661163073966051,0.6661945310492026,0.49060455694426247,0.48930984616710754
1,0.58272839094605,0.5672644853365424,0.6681221853453574,0.6676807804485567,0.49596064130697326,0.4937172271432377
2,0.5789061702855153,0.5628661894745614,0.6671723267066725,0.6674572842982779,0.4918748362381348,0.4898072727147192
3,0.5828729025487605,0.5709769924196864,0.6682842200543097,0.6689658833126599,0.4964627284709794,0.4950275626754418
4,0.5772222404150861,0.5581325426845002,0.6671192463709812,0.6660771955703063,0.49271622601322196,0.4876823398967682
5,0.5835850098380433,0.5706296391441299,0.6668594320962821,0.6694044945075821,0.4932487628262326,0.4936518382317887
6,0.5875501312168232,0.5744207895483535,0.6704186082894722,0.6710835093365516,0.4997762560131036,0.4992029827518628
7,0.5825606008175361,0.5713008589473464,0.6667197470023579,0.6686557824041481,0.4929385388006827,0.4943151068418302
8,0.5900621176515759,0.5754565709757192,0.6719076513907047,0.6721814341747964,0.5044617650120335,0.5019745583807448
9,0.5853375431568977,0.5714869735878374,0.6687898800943153,0.6689994077352018,0.4968999288282528,0.4954994609295332
