,model_pearsonHT29,model_pearsonA375,model_spearHT29,model_spearA375,model_accHT29,model_accA375
0,0.6199130498443718,0.5911557566840968,0.6776073619631903,0.6791411042944786,0.5271971453561655,0.5205709385303069
1,0.5777265865498628,0.5765672712455229,0.6633946830265849,0.6731850715746421,0.4801508080966782,0.4878233378357629
2,0.6075881760719458,0.6084216672503415,0.6714979550102249,0.6783742331288344,0.51705928302238,0.5276451713905171
3,0.5769318616450955,0.5439890602982386,0.6643149284253578,0.666180981595092,0.48155412656225793,0.4792698293598267
4,0.6122918359717052,0.6326972847909554,0.6736963190184049,0.6891359918200409,0.5086417508070046,0.550506904897008
5,0.571360558997977,0.5473811463400193,0.6786042944785275,0.664519427402863,0.514598114963176,0.4944790362535196
6,0.528955377625624,0.5026441876335163,0.651635991820041,0.6479550102249488,0.4518426423514885,0.4416864391654326
7,0.5821665098601859,0.5434317570044874,0.6784253578732107,0.6650051124744376,0.5144090026457812,0.48416541910625527
8,0.4931244871016338,0.4827607907989421,0.6341002044989775,0.6339723926380368,0.40772917218709975,0.41422105145055915
9,0.5522157118389307,0.5362123100616752,0.6618098159509203,0.6633946830265849,0.47945776516196387,0.47707468634153366
