,model_pearsonHT29,model_pearsonA375,mean_pearsonHT29,mean_pearsonA375,uniform_pearsonHT29,uniform_pearsonA375,scrambled_pearsonHT29,scrampled_pearsonA375,recon_ht29,recon_a375,cross_corr_ht29,cross_corr_a375,Direct prediction
0,0.4469009041786194,0.43775877356529236,0.44275417923927307,0.4370657205581665,0.0005250580725260079,0.006489712744951248,-0.017342785373330116,-0.002829896751791239,0.9962939620018005,0.9961803555488586,0.9949313998222351,0.9952511191368103,0.4121619164943695
1,0.5311082005500793,0.530615508556366,0.4522992670536041,0.41702088713645935,-0.0033488089684396982,0.018200399354100227,0.005237362813204527,-0.0012203713413327932,0.9963245987892151,0.9963468909263611,0.9948098063468933,0.9952619671821594,0.4992164671421051
2,0.4791397452354431,0.47529086470603943,0.44192150235176086,0.43195849657058716,-0.0014769774861633778,0.008188496343791485,0.0011294845025986433,-0.0012474947143346071,0.9961987733840942,0.9961801767349243,0.9947850704193115,0.9950413107872009,0.44474202394485474
3,0.5972349047660828,0.589792013168335,0.4718613922595978,0.45801153779029846,0.011612428352236748,-0.0028702581766992807,0.0016622754046693444,0.0025664737913757563,0.9962679147720337,0.9963209629058838,0.9946585297584534,0.9953898191452026,0.5604972839355469
4,0.4085896909236908,0.4056846797466278,0.47385212779045105,0.4727523624897003,-0.017948567867279053,0.024255113676190376,0.002996765309944749,0.004130388144403696,0.9961479306221008,0.9962533712387085,0.9951184988021851,0.9953492283821106,0.3814299404621124
5,0.44780227541923523,0.443088561296463,0.43849560618400574,0.4685995578765869,-0.0009845129679888487,-0.0023082904517650604,0.0031023910269141197,-0.013429959304630756,0.9963676333427429,0.9963039755821228,0.9952948689460754,0.9954161643981934,0.4187585115432739
6,0.5352658629417419,0.5281111001968384,0.5293207764625549,0.49386799335479736,0.000571087934076786,0.02105594426393509,0.01124128419905901,-0.004475002642720938,0.9962295889854431,0.9962663650512695,0.9946406483650208,0.9951359629631042,0.49480608105659485
7,0.4097989797592163,0.401496946811676,0.5255188345909119,0.4861454665660858,-0.008355503901839256,-0.001974603859707713,0.0038943090476095676,0.008144383318722248,0.9962270259857178,0.9962990880012512,0.9950576424598694,0.995228111743927,0.3762117624282837
8,0.5603100061416626,0.5565062165260315,0.4655851423740387,0.5101969838142395,-0.011606848798692226,-0.013256466947495937,-0.018075590953230858,-0.010301309637725353,0.9961901307106018,0.9961585998535156,0.9945822358131409,0.9951988458633423,0.5279228687286377
9,0.4605604410171509,0.4551951587200165,0.5515896677970886,0.43590688705444336,0.0003691270831041038,0.0171730387955904,-0.0014831010485067964,0.0162399522960186,0.9962438344955444,0.9962844252586365,0.9944313764572144,0.9951121211051941,0.42511186003685
