,metric,variation 1,variation 2,variation 3,variation 4,variation 5,variation 6,direct translation
variation 1,pearson,1.0,0.9097218891455553,0.04515456962427901,0.0211339281291611,0.5205228832757727,0.7913367801006604,0.0211339281291611
variation 2,pearson,0.0,1.0,0.04515456962427901,0.03763531378731424,0.5205228832757727,0.6775849579524755,0.0211339281291611
variation 3,pearson,0.0,0.0,1.0,0.8501067391385259,0.16197241048012612,0.03763531378731424,0.00032983852077799353
variation 4,pearson,0.0,0.0,0.0,1.0,0.08897301170181328,0.025748080821108063,0.00018267179110955002
variation 5,pearson,0.0,0.0,0.0,0.0,1.0,0.5205228832757727,0.009108496398030965
variation 6,pearson,0.0,0.0,0.0,0.0,0.0,1.0,0.017257456083119765
direct translation,pearson,0.0,0.0,0.0,0.0,0.0,0.0,1.0
variation 1,spearman,1.0,0.9698499769931556,0.031209012771740218,0.053902557169387175,0.5205228832757727,0.8501067391385259,0.011329696684474665
variation 2,spearman,0.0,1.0,0.04515456962427901,0.03763531378731424,0.47267559351158717,0.6775849579524755,0.011329696684474665
variation 3,spearman,0.0,0.0,1.0,1.0,0.10410988966022681,0.031209012771740218,0.00032983852077799353
variation 4,spearman,0.0,0.0,0.0,1.0,0.14046504815835495,0.03763531378731424,0.00018267179110955002
variation 5,spearman,0.0,0.0,0.0,0.0,1.0,0.47267559351158717,0.004586392080253494
variation 6,spearman,0.0,0.0,0.0,0.0,0.0,1.0,0.011329696684474665
direct translation,spearman,0.0,0.0,0.0,0.0,0.0,0.0,1.0
variation 1,accuracy,1.0,0.9097218891455553,0.0211339281291611,0.053902557169387175,0.47267559351158717,0.7337299956962472,0.017257456083119765
variation 2,accuracy,0.0,1.0,0.031209012771740218,0.03763531378731424,0.4273553138978077,0.7337299956962472,0.017257456083119765
variation 3,accuracy,0.0,0.0,1.0,0.8501067391385259,0.10410988966022681,0.025748080821108063,0.00032983852077799353
variation 4,accuracy,0.0,0.0,0.0,1.0,0.16197241048012612,0.03763531378731424,0.00018267179110955002
variation 5,accuracy,0.0,0.0,0.0,0.0,1.0,0.4273553138978077,0.009108496398030965
variation 6,accuracy,0.0,0.0,0.0,0.0,0.0,1.0,0.0211339281291611
direct translation,accuracy,0.0,0.0,0.0,0.0,0.0,0.0,1.0
