,metric,variation 1,variation 2,variation 3,variation 4,variation 5,variation 6
variation 1,pearson,1.0,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002
variation 2,pearson,0.0,1.0,0.00018267179110955002,0.00018267179110955002,0.0013149446697132139,0.053902557169387175
variation 3,pearson,0.0,0.0,1.0,0.025748080821108063,0.00018267179110955002,0.00018267179110955002
variation 4,pearson,0.0,0.0,0.0,1.0,0.00018267179110955002,0.00018267179110955002
variation 5,pearson,0.0,0.0,0.0,0.0,1.0,0.00018267179110955002
variation 6,pearson,0.0,0.0,0.0,0.0,0.0,1.0
variation 1,spearman,1.0,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002
variation 2,spearman,0.0,1.0,0.00018267179110955002,0.00018267179110955002,0.0017062493689195964,0.04515456962427901
variation 3,spearman,0.0,0.0,1.0,0.10410988966022681,0.00018267179110955002,0.00018267179110955002
variation 4,spearman,0.0,0.0,0.0,1.0,0.00018267179110955002,0.00018267179110955002
variation 5,spearman,0.0,0.0,0.0,0.0,1.0,0.00018267179110955002
variation 6,spearman,0.0,0.0,0.0,0.0,0.0,1.0
variation 1,accuracy,1.0,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002,0.00018267179110955002
variation 2,accuracy,0.0,1.0,0.00018267179110955002,0.00018267179110955002,0.0028272720911168077,0.053902557169387175
variation 3,accuracy,0.0,0.0,1.0,0.18587673236587576,0.00018267179110955002,0.00018267179110955002
variation 4,accuracy,0.0,0.0,0.0,1.0,0.00018267179110955002,0.00018267179110955002
variation 5,accuracy,0.0,0.0,0.0,0.0,1.0,0.00032983852077799353
variation 6,accuracy,0.0,0.0,0.0,0.0,0.0,1.0
