,model_pearsonHT29,model_pearsonA375,recon_ht29,recon_a375,cross_corr_ht29,cross_corr_a375,Direct prediction
0,0.7345457673072815,0.7066949009895325,0.842825174331665,0.8224110007286072,0.6978740692138672,0.7142283916473389,0.5206855535507202
1,0.6712757349014282,0.6626285314559937,0.8338468670845032,0.813973069190979,0.6837114691734314,0.6952598690986633,0.4794166088104248
2,0.7281845808029175,0.7007618546485901,0.8182970285415649,0.8338609933853149,0.6766425967216492,0.702445924282074,0.5004222393035889
3,0.6400208473205566,0.6245298385620117,0.8274227380752563,0.8216094374656677,0.6573857665061951,0.6967772245407104,0.44552382826805115
4,0.7207888960838318,0.6929620504379272,0.848987340927124,0.8267402648925781,0.7089660167694092,0.7285804748535156,0.5428716540336609
5,0.6393188834190369,0.6048250794410706,0.8463298678398132,0.8289896845817566,0.687604546546936,0.7269533276557922,0.45602622628211975
6,0.5613869428634644,0.5307409167289734,0.8419561386108398,0.8133312463760376,0.673861563205719,0.7091747522354126,0.3912511467933655
7,0.6643018126487732,0.6267289519309998,0.853358268737793,0.8050376176834106,0.659936249256134,0.7150095105171204,0.4556507170200348
8,0.5729290843009949,0.5533976554870605,0.8297153115272522,0.8150168061256409,0.6592612266540527,0.6759293675422668,0.3736864924430847
9,0.5847131013870239,0.5689497590065002,0.8282071948051453,0.8093065619468689,0.6853379607200623,0.6863304972648621,0.4139716327190399
