,metric,variation 1,variation 2,variation 3,variation 4,variation 5,direct translation
variation 1,pearson,1.0,0.7913367801006604,0.5707503880581739,0.5205228832757727,0.16197241048012612,0.00018267179110955002
variation 2,pearson,0.0,1.0,0.8501067391385259,0.27303633975118835,0.12122450301291662,0.00018267179110955002
variation 3,pearson,0.0,0.0,1.0,0.3074894566186813,0.14046504815835495,0.00018267179110955002
variation 4,pearson,0.0,0.0,0.0,1.0,0.47267559351158717,0.00018267179110955002
variation 5,pearson,0.0,0.0,0.0,0.0,1.0,0.00018267179110955002
direct translation,pearson,0.0,0.0,0.0,0.0,0.0,1.0
variation 1,spearman,1.0,0.5205228832757727,0.6775849579524755,0.3447042220069576,0.14046504815835495,0.00018267179110955002
variation 2,spearman,0.0,1.0,1.0,0.24132159301718004,0.14046504815835495,0.00018267179110955002
variation 3,spearman,0.0,0.0,1.0,0.24132159301718004,0.10410988966022681,0.00018267179110955002
variation 4,spearman,0.0,0.0,0.0,1.0,0.6231762238821174,0.00018267179110955002
variation 5,spearman,0.0,0.0,0.0,0.0,1.0,0.00018267179110955002
direct translation,spearman,0.0,0.0,0.0,0.0,0.0,1.0
variation 1,accuracy,1.0,0.9097218891455553,0.7337299956962472,0.27303633975118835,0.16197241048012612,0.00018267179110955002
variation 2,accuracy,0.0,1.0,0.9698499769931556,0.2263014317699833,0.14046504815835495,0.00018267179110955002
variation 3,accuracy,0.0,0.0,1.0,0.14046504815835495,0.12122450301291662,0.00018267179110955002
variation 4,accuracy,0.0,0.0,0.0,1.0,0.5707503880581739,0.00018267179110955002
variation 5,accuracy,0.0,0.0,0.0,0.0,1.0,0.00018267179110955002
direct translation,accuracy,0.0,0.0,0.0,0.0,0.0,1.0
