,metric,variation 1,variation 2,variation 3,variation 4,variation 5,direct translation
variation 1,pearson,1.0,0.7337299956962472,1.0,0.21229383619233155,0.3447042220069576,0.00018267179110955002
variation 2,pearson,0.0,1.0,0.9698499769931556,0.18587673236587576,0.27303633975118835,0.00018267179110955002
variation 3,pearson,0.0,0.0,1.0,0.18587673236587576,0.27303633975118835,0.00018267179110955002
variation 4,pearson,0.0,0.0,0.0,1.0,1.0,0.00018267179110955002
variation 5,pearson,0.0,0.0,0.0,0.0,1.0,0.00018267179110955002
direct translation,pearson,0.0,0.0,0.0,0.0,0.0,1.0
variation 1,spearman,1.0,1.0,0.9698499769931556,0.08897301170181328,0.14046504815835495,0.00018267179110955002
variation 2,spearman,0.0,1.0,0.9097218891455553,0.10410988966022681,0.18587673236587576,0.00018267179110955002
variation 3,spearman,0.0,0.0,1.0,0.07566157214388704,0.16197241048012612,0.00018267179110955002
variation 4,spearman,0.0,0.0,0.0,1.0,0.7337299956962472,0.00018267179110955002
variation 5,spearman,0.0,0.0,0.0,0.0,1.0,0.00018267179110955002
direct translation,spearman,0.0,0.0,0.0,0.0,0.0,1.0
variation 1,accuracy,1.0,0.8501067391385259,1.0,0.08897301170181328,0.12122450301291662,0.00018267179110955002
variation 2,accuracy,0.0,1.0,1.0,0.07566157214388704,0.10410988966022681,0.00018267179110955002
variation 3,accuracy,0.0,0.0,1.0,0.07566157214388704,0.10410988966022681,0.00018267179110955002
variation 4,accuracy,0.0,0.0,0.0,1.0,0.7913367801006604,0.00024612812790522973
variation 5,accuracy,0.0,0.0,0.0,0.0,1.0,0.00018267179110955002
direct translation,accuracy,0.0,0.0,0.0,0.0,0.0,1.0
