,metric,variation 1,variation 2,variation 3,variation 4,variation 5,direct translation
variation 1,pearson,1.0,0.7913367801006604,0.7913367801006604,0.3846730627355087,0.3846730627355087,0.0028272720911168077
variation 2,pearson,0.0,1.0,0.9698499769931556,0.5205228832757727,0.3447042220069576,0.00579535854433471
variation 3,pearson,0.0,0.0,1.0,0.4273553138978077,0.3074894566186813,0.0036105143123296027
variation 4,pearson,0.0,0.0,0.0,1.0,0.7913367801006604,0.0211339281291611
variation 5,pearson,0.0,0.0,0.0,0.0,1.0,0.031209012771740218
direct translation,pearson,0.0,0.0,0.0,0.0,0.0,1.0
variation 1,spearman,1.0,0.9097218891455553,0.8501067391385259,0.3846730627355087,0.3846730627355087,0.004586392080253494
variation 2,spearman,0.0,1.0,0.6775849579524755,0.4273553138978077,0.24132159301718004,0.00728455700947966
variation 3,spearman,0.0,0.0,1.0,0.3846730627355087,0.5205228832757727,0.0036105143123296027
variation 4,spearman,0.0,0.0,0.0,1.0,0.8501067391385259,0.025748080821108063
variation 5,spearman,0.0,0.0,0.0,0.0,1.0,0.06402210128302689
direct translation,spearman,0.0,0.0,0.0,0.0,0.0,1.0
variation 1,accuracy,1.0,0.8501067391385259,0.9097218891455553,0.3846730627355087,0.27303633975118835,0.00579535854433471
variation 2,accuracy,0.0,1.0,0.6775849579524755,0.47267559351158717,0.24132159301718004,0.011329696684474665
variation 3,accuracy,0.0,0.0,1.0,0.4273553138978077,0.3846730627355087,0.004586392080253494
variation 4,accuracy,0.0,0.0,0.0,1.0,0.8501067391385259,0.025748080821108063
variation 5,accuracy,0.0,0.0,0.0,0.0,1.0,0.03763531378731424
direct translation,accuracy,0.0,0.0,0.0,0.0,0.0,1.0
