,model_pearsonHT29,model_pearsonA375,model_spearHT29,model_spearA375,model_accHT29,model_accA375,recon_pear_ht29,recon_pear_a375,recon_spear_ht29,recon_spear_a375,recon_acc_ht29,recon_acc_a375,cross_corr_ht29,cross_corr_a375,Direct_pearson,Direct_spearman,DirectAcc_ht29,DirectAcc_a375
0,0.6918089985847473,0.6235196590423584,0.6240840194816129,0.5629876364298413,0.7156697341513293,0.693200408997955,0.8087859153747559,0.7842037677764893,0.7457846783714202,0.6969939513683318,0.7828313812976389,0.7574301295160192,0.5331480503082275,0.5174641609191895,0.5206855535507202,0.46303116864283284,0.6627300613496933,0.6627300613496933
1,0.6470129489898682,0.6633592247962952,0.5175532172897384,0.5423632912498106,0.6767382413087935,0.6940439672801636,0.7887316346168518,0.7734847664833069,0.7015876988360963,0.6805198080725723,0.7594627254136458,0.7520620313565097,0.5184972882270813,0.5269132852554321,0.4794166088104248,0.4203035512506793,0.6498466257668711,0.6498466257668711
2,0.7653988599777222,0.7308180928230286,0.6431252893113527,0.6395490986694821,0.7230316973415133,0.7290899795501022,0.772241473197937,0.783195436000824,0.693244074734936,0.6941110964279706,0.757789551961331,0.7575749829584185,0.5307877063751221,0.5291707515716553,0.5004222393035889,0.43260756175577236,0.644836400817996,0.644836400817996
3,0.7099624276161194,0.6758705377578735,0.5665194851278819,0.5700470268835265,0.698159509202454,0.7076687116564419,0.7889959812164307,0.7764245271682739,0.6991885213610752,0.6800239788439423,0.7603643799962819,0.753996250852079,0.47147849202156067,0.4990823566913605,0.44552382826805115,0.39339340574144455,0.6358895705521472,0.6358895705521472
4,0.7105706930160522,0.6620550155639648,0.6004669074351735,0.5817107406552817,0.7122699386503069,0.698159509202454,0.8058025240898132,0.78326815366745,0.7368518981980229,0.6856512703937299,0.7852203011712213,0.7534935241990457,0.5568594932556152,0.5824698805809021,0.5428716540336609,0.44250330575762253,0.6531441717791411,0.6531441717791411
5,0.6719257831573486,0.6472226977348328,0.5506406171558785,0.5560979465114307,0.6902862985685071,0.6970858895705522,0.7831049561500549,0.7893922924995422,0.7044222733426334,0.7144829730710823,0.769836400817996,0.7712167689161553,0.4973594844341278,0.5517014265060425,0.45602622628211975,0.4331634256700152,0.6545245398773006,0.6545245398773006
6,0.648133397102356,0.5723832845687866,0.5082854498387384,0.4841000713149667,0.673364008179959,0.6629856850715747,0.7910264134407043,0.7628477811813354,0.7071240421757437,0.6836023490683516,0.770245398773006,0.7539110429447853,0.4698684811592102,0.4287470579147339,0.3912511467933655,0.35391626058167847,0.6184049079754601,0.6184049079754601
7,0.7034644484519958,0.6482922434806824,0.6367613226451713,0.5896504400644844,0.7282719836400818,0.7086145194274028,0.8048980832099915,0.7636399865150452,0.7468672928582993,0.70282200831725,0.7913087934560327,0.7652096114519427,0.4900667071342468,0.5282734632492065,0.4556507170200348,0.433181901263805,0.6524284253578732,0.6524284253578732
8,0.6463168859481812,0.5802559852600098,0.5147972389404546,0.4848654271255997,0.6746421267893661,0.6664110429447853,0.7779033780097961,0.7679922580718994,0.7094139020957512,0.7026453989435738,0.7673359360475924,0.7624488752556237,0.45370498299598694,0.49417659640312195,0.3736864924430847,0.33768846174922024,0.6101482617586912,0.6101482617586912
9,0.6004928946495056,0.6120471954345703,0.5119571618431726,0.5404063696541928,0.6765337423312883,0.6921523517382413,0.7659240365028381,0.7598358988761902,0.690077762360392,0.7046989924108611,0.7594162483733036,0.7639485344239945,0.48901185393333435,0.4937288165092468,0.4139716327190399,0.372399279128891,0.6288087934560327,0.6288087934560327
