,metric,variation 1,variation 2,variation 3,variation 4,variation 5
variation 1,pearson,1.0,0.9097218891455553,0.0022022199424970783,0.3846730627355087,0.011329696684474665
variation 2,pearson,0.0,1.0,0.0022022199424970783,0.18587673236587576,0.00728455700947966
variation 3,pearson,0.0,0.0,1.0,0.00018267179110955002,0.00018267179110955002
variation 4,pearson,0.0,0.0,0.0,1.0,0.00728455700947966
variation 5,pearson,0.0,0.0,0.0,0.0,1.0
variation 1,spearman,1.0,0.7913367801006604,0.0028272720911168077,0.3846730627355087,0.014019277113959953
variation 2,spearman,0.0,1.0,0.0022022199424970783,0.21229383619233155,0.00728455700947966
variation 3,spearman,0.0,0.0,1.0,0.00018267179110955002,0.00018267179110955002
variation 4,spearman,0.0,0.0,0.0,1.0,0.00728455700947966
variation 5,spearman,0.0,0.0,0.0,0.0,1.0
variation 1,accuracy,1.0,0.8501067391385259,0.0013149446697132139,0.3846730627355087,0.014019277113959953
variation 2,accuracy,0.0,1.0,0.0028272720911168077,0.18587673236587576,0.00728455700947966
variation 3,accuracy,0.0,0.0,1.0,0.00018267179110955002,0.00018267179110955002
variation 4,accuracy,0.0,0.0,0.0,1.0,0.0211339281291611
variation 5,accuracy,0.0,0.0,0.0,0.0,1.0
