,recon_pear_ht29,recon_pear_a375,recon_spear_ht29,recon_spear_a375,recon_acc_ht29,recon_acc_a375
0,0.7847651243209839,0.8242371678352356,0.4111534570735346,0.5878136769084664,0.6180884184308842,0.6997146118721461
1,0.7673770785331726,0.8213529586791992,0.40438434947795915,0.588300609588052,0.6163760896637608,0.6993150684931507
2,0.755598783493042,0.828536331653595,0.4020377079845937,0.6083336827758882,0.613480697384807,0.7085045662100456
3,0.7695084810256958,0.8263450860977173,0.42769917864129986,0.5929861175711123,0.6246575342465753,0.6994577625570776
4,0.8021947145462036,0.8393034934997559,0.38675832303331553,0.6047472735045909,0.6078455790784559,0.7053082191780822
5,0.8017992377281189,0.8407647609710693,0.41653068786989156,0.6052111002556313,0.6210149439601496,0.7011986301369864
6,0.8026819825172424,0.8359994888305664,0.40837694208450825,0.5983817636614769,0.6137608966376089,0.6978025114155251
7,0.8056110143661499,0.8306261301040649,0.41011602675884296,0.5960112819336272,0.6169676214196763,0.697859589041096
8,0.7940027117729187,0.8386044502258301,0.4170127257995915,0.6069336431884648,0.6204234122042339,0.7030251141552512
9,0.7892858982086182,0.8421537280082703,0.42372328970699236,0.593234671642086,0.6236924034869241,0.6972031963470319
