,model_pearsonHT29,model_pearsonA375,model_spearHT29,model_spearA375,model_accHT29,model_accA375,recon_pear_ht29,recon_pear_a375,recon_spear_ht29,recon_spear_a375,recon_acc_ht29,recon_acc_a375
0,0.7229976058006287,0.6477121114730835,0.6490287114901836,0.5916330787275188,0.7253323108384457,0.7052147239263803,0.8383475542068481,0.8264460563659668,0.7842654487561438,0.7452151138734284,0.7952686372931769,0.7763036809815951
1,0.6973473429679871,0.6881950497627258,0.5900576740948639,0.575788955352142,0.7050357873210634,0.7070040899795501,0.8358439207077026,0.8182268142700195,0.7671341966311086,0.7339852387485356,0.7863729317717049,0.772511929107021
2,0.7768973708152771,0.7217773199081421,0.6654863113596516,0.6257017516647293,0.7325153374233129,0.7196063394683027,0.8174871206283569,0.8362560272216797,0.7513085464035629,0.7627236570802037,0.7783509946086632,0.7863070892978868
3,0.702307939529419,0.6676191091537476,0.5687202027323741,0.5650079695173501,0.7010736196319018,0.6998721881390593,0.8259266018867493,0.8199582695960999,0.7515282521331956,0.7322970093351399,0.7805261200966723,0.7718899113837764
4,0.7338438034057617,0.697638213634491,0.6010649330440535,0.5994527901771266,0.7118865030674847,0.7061349693251534,0.8487904071807861,0.8297693729400635,0.7921812756359908,0.7408086217889644,0.8068228295222161,0.7760736196319018
5,0.669192910194397,0.636038064956665,0.5723412802166181,0.5630638223001274,0.7032719836400818,0.6936860940695297,0.8445351123809814,0.8282874822616577,0.7886447418518324,0.7596822304236238,0.8041364565904442,0.7881220177232446
6,0.6723895072937012,0.5797931551933289,0.5556208546675461,0.5149077388254629,0.691538854805726,0.6731850715746421,0.8488435745239258,0.8079221844673157,0.7871492644481729,0.736278878199914,0.8026584867075665,0.774301295160191
7,0.6983516216278076,0.6383343935012817,0.6329309123192198,0.5954730844986852,0.7236196319018404,0.7107873210633947,0.8559961318969727,0.8119446039199829,0.8045645998349279,0.7478158438348319,0.8138315672058005,0.7812201772324471
8,0.6488963961601257,0.5569882392883301,0.5311555737952401,0.4716088400774702,0.6836145194274028,0.6625511247443763,0.8443310856819153,0.8141379356384277,0.7912227260663179,0.7474951679388373,0.8030767800706453,0.7817910702113157
9,0.6450380086898804,0.6105903387069702,0.5648338887720158,0.5382889297064422,0.6962167689161554,0.6871165644171778,0.8287046551704407,0.8082921504974365,0.7647456566525513,0.7463503610954835,0.7865774307492099,0.7787321063394683
