,model_pearsonHT29,model_pearsonA375,model_spearHT29,model_spearA375,model_accHT29,model_accA375,recon_pear_ht29,recon_pear_a375,recon_spear_ht29,recon_spear_a375,recon_acc_ht29,recon_acc_a375
0,0.677996039390564,0.6059601902961731,0.5992595847388036,0.5640778513599359,0.7043456032719837,0.7026584867075665,0.865940272808075,0.8646747469902039,0.8069108039057217,0.8072773986657522,0.803885480572597,0.8027266530334015
1,0.6483789086341858,0.642803966999054,0.5382480345947436,0.536669650299152,0.685659509202454,0.6905674846625767,0.841392993927002,0.861807107925415,0.7823823225642534,0.8017199762412163,0.7927124000743632,0.8006561008861621
2,0.7243359684944153,0.6929833292961121,0.6103943492121473,0.6061713485129462,0.7090490797546012,0.7106083844580777,0.841995894908905,0.8757754564285278,0.7861118265105752,0.8229512409961761,0.7917642684513849,0.8122614178595774
3,0.6489328742027283,0.6135756969451904,0.5248940086622573,0.5186752999773865,0.6791922290388548,0.6807515337423313,0.852332353591919,0.8506451845169067,0.7920779455719058,0.7903806006423433,0.7971741959472022,0.795109066121336
4,0.6710501313209534,0.6636420488357544,0.5456890713245828,0.5666871084749858,0.6857361963190184,0.6958588957055214,0.8607319593429565,0.8735525608062744,0.81250188235735,0.8055277117922106,0.8126789366053169,0.8041325835037493
5,0.6429982781410217,0.6037895083427429,0.5592061948385231,0.5455443667886768,0.6960378323108385,0.6910276073619632,0.8695754408836365,0.881342887878418,0.823166951890076,0.8267108824934121,0.8204406023424429,0.820398773006135
6,0.596075177192688,0.5480868220329285,0.5028564453720774,0.4905698174279,0.6719325153374234,0.6660276073619633,0.8743401169776917,0.8654711842536926,0.818420673348929,0.8124934291676493,0.8150585610708311,0.8073449216087253
7,0.6593918800354004,0.6056199669837952,0.5942649960710161,0.5598346862771602,0.7068507157464212,0.69560327198364,0.8775445222854614,0.8636558651924133,0.8280928552677227,0.808220903125728,0.825181260457334,0.8080691888207225
8,0.5607245564460754,0.5123162269592285,0.4515967845412524,0.43679117518183813,0.649795501022495,0.6457055214723926,0.8489064574241638,0.8600090146064758,0.7924630430005767,0.7992927132747817,0.8027421453801823,0.805180640763463
9,0.5912207961082458,0.5612969994544983,0.5147521284258794,0.5053493753410582,0.6758179959100203,0.67609918200409,0.8442770838737488,0.8572583198547363,0.7884430783170094,0.8062046803090195,0.7950548429076036,0.8047631220177233
