,model_pearsonHA1E,model_pearsonPC3,model_spearHA1E,model_spearPC3,model_accHA1E,model_accPC3,recon_pear_ha1e,recon_pear_pc3,recon_spear_ha1e,recon_spear_pc3,recon_acc_ha1e,recon_acc_pc3
0,0.591240406036377,0.5340760350227356,0.4986881209068225,0.4708931700022898,0.6720007931786636,0.6649935554233591,0.7836732864379883,0.8859615325927734,0.7250068548796416,0.8526275295682384,0.7749523738704286,0.8385501569618168
1,0.5415351390838623,0.5558242797851562,0.4354994570219842,0.4455312456381396,0.6496529843347214,0.6597709696609161,0.7781261801719666,0.8981193900108337,0.7310607785665845,0.850689122816203,0.7781233180363163,0.8371382731882434
2,0.6260038614273071,0.6173210740089417,0.5159490737529699,0.5125749831419559,0.6807926829268294,0.6807480666270077,0.8013882040977478,0.8846427202224731,0.7417971939171725,0.8475105069600135,0.7824264893345797,0.834601002804453
3,0.5229547023773193,0.5434626340866089,0.4177803727033479,0.4319583308358297,0.6456821336506048,0.6527042435058498,0.7912216186523438,0.8920495510101318,0.745271260807365,0.8712896664887272,0.784244780601116,0.8537969565631671
4,0.6140026450157166,0.628876268863678,0.502584236101862,0.5197555183040278,0.6756518937140591,0.6855889351576443,0.8274657130241394,0.9159052968025208,0.7816684134120047,0.8913275214940105,0.8033872978102604,0.8651647777168301
5,0.5369774699211121,0.5235170722007751,0.46701757089552826,0.4338733607251191,0.665561173904422,0.6514376363275828,0.8113890886306763,0.9029131531715393,0.7808984873607614,0.8789581564032727,0.8010440568255858,0.8552873856264693
6,0.4803480803966522,0.40116992592811584,0.40048121408858267,0.3503091157444139,0.6378222288320444,0.6157768193535593,0.8072812557220459,0.9012603759765625,0.7773548787305327,0.8741055430374308,0.7987822582929661,0.8523683336294877
7,0.5695779919624329,0.5395336747169495,0.4765556858476045,0.4278904103835782,0.6682629387269483,0.6488251041046997,0.8247029781341553,0.897205114364624,0.7770824391708533,0.8734934286220141,0.8014282527407156,0.8529722310210114
8,0.4674108028411865,0.38585805892944336,0.3698523707319521,0.3135105954177278,0.6251115407495538,0.6021762839579615,0.7907508611679077,0.8956261277198792,0.7758044342692093,0.8689092198312074,0.7982095053964479,0.8486206932072489
9,0.4966113269329071,0.5116634368896484,0.3945051827591653,0.40638334032328893,0.6332441007336904,0.6423061669641086,0.8013120889663696,0.881433367729187,0.7625634507429581,0.8550675115538058,0.7914657162686609,0.8406213061180344
