,model_pearsonHT29,model_pearsonA375,model_spearHT29,model_spearA375,model_accHT29,model_accA375,recon_pear_ht29,recon_pear_a375,recon_spear_ht29,recon_spear_a375,recon_acc_ht29,recon_acc_a375
0,0.6469881534576416,0.5599113702774048,0.5532534431864476,0.49224709818176676,0.6945667261550664,0.673554927622447,0.8553005456924438,0.8465774655342102,0.8125256897928163,0.7949427661993245,0.8159735366755,0.8062785048582194
1,0.5800434350967407,0.5972949862480164,0.4762640368008365,0.48408610064224716,0.665774340670236,0.6744274241522902,0.8454962372779846,0.8555557131767273,0.7986459790211651,0.794674056884047,0.8079353919925009,0.8057819419657613
2,0.6787010431289673,0.6338061094284058,0.5633768861503049,0.5345825090179154,0.6974072972437042,0.6904818560380726,0.8320488929748535,0.8624492287635803,0.7889241492017871,0.815279852580571,0.803988426802228,0.8163642673012096
3,0.5894271731376648,0.5780639052391052,0.46795807310569515,0.4678222120405923,0.6636823319452707,0.6689520126908587,0.8389806151390076,0.8408836722373962,0.787004197876604,0.7956231995365951,0.8036062589007265,0.8063462555357261
4,0.6616126894950867,0.6469064354896545,0.5408992282163994,0.5375964520094803,0.6919194923656554,0.6932951616101526,0.8694034218788147,0.8609088659286499,0.8403589078619251,0.8089594986145191,0.8333098985091848,0.8160569105691057
5,0.5727140307426453,0.552361011505127,0.482617747608443,0.4595674164722725,0.669031330557208,0.6626016260162603,0.869644045829773,0.8708454370498657,0.8418839572619164,0.8337483456373759,0.8357831737962611,0.8302515037345496
6,0.5172752737998962,0.44876569509506226,0.42965421406921783,0.38528668306556374,0.6470875470949832,0.6305423359111639,0.8617951273918152,0.8547735214233398,0.8336049717888337,0.8204089094134768,0.8300921168856921,0.8212497521316675
7,0.6137999296188354,0.5786898136138916,0.5283824841071352,0.4534489483238195,0.6882931786634939,0.660841760856633,0.8772106766700745,0.8469402194023132,0.8546463220212204,0.8138296959376371,0.8438384439276764,0.8178770903562694
8,0.5047963261604309,0.4002203047275543,0.39919207165278664,0.3221636038854422,0.634823022010708,0.6047070196311719,0.8536216020584106,0.8514081835746765,0.8270851272712887,0.8148392695818053,0.8267526544445046,0.8181406570163262
9,0.5475181937217712,0.5137901902198792,0.4476258444205847,0.41935684450226984,0.6559190957763236,0.6480591909577632,0.8462763428688049,0.8447222709655762,0.8115216768359673,0.8138141989692781,0.817514827032971,0.8175540352964504
