,model_pearsonHA1E,model_pearsonPC3,model_spearHA1E,model_spearPC3,model_accHA1E,model_accPC3,recon_pear_ha1e,recon_pear_pc3,recon_spear_ha1e,recon_spear_pc3,recon_acc_ha1e,recon_acc_pc3
0,0.6873214244842529,0.6271917223930359,0.6038578777565398,0.570011682161698,0.7069274028629857,0.6990541922290389,0.8138281106948853,0.82243412733078,0.7469398462204191,0.7598269166794334,0.7754710780017529,0.7833373170796484
1,0.6395195722579956,0.6412947177886963,0.5337085105644658,0.5378871928346812,0.6856339468302658,0.691717791411043,0.8129252195358276,0.8368915915489197,0.7348742746920296,0.7476482973573738,0.7723670756646216,0.7775808036544233
2,0.7323949933052063,0.6960229277610779,0.6232638851831408,0.6063434325729029,0.7155163599182004,0.7108640081799591,0.8401210904121399,0.8242259621620178,0.7631530493012902,0.7472640944701254,0.7860703330411919,0.7769168459352509
3,0.6569874286651611,0.6232845783233643,0.5359810993642817,0.5340211272802575,0.6888292433537833,0.68859918200409,0.8317725658416748,0.826040506362915,0.7543541729148746,0.7747375947555466,0.7826376716330705,0.7991859878362946
4,0.6979023218154907,0.6879713535308838,0.5677106321630355,0.5882921316238797,0.6956799591002045,0.7026840490797546,0.8586210012435913,0.8621801137924194,0.7936589547626712,0.801971080292893,0.8036718521764533,0.8071136430032134
5,0.6259433031082153,0.6015695929527283,0.5537000895132816,0.5378117949247805,0.6940695296523518,0.6885480572597137,0.8478894233703613,0.8475590944290161,0.7871542655248513,0.7872099971493685,0.8008691206543966,0.797871351552333
6,0.6055796146392822,0.5404828190803528,0.49950516288511937,0.4797078630623579,0.668762781186094,0.6581799591002044,0.8444069623947144,0.8429850339889526,0.7873923850705042,0.7791598686288921,0.7991893076248904,0.79423950282846
7,0.6522014737129211,0.6102988123893738,0.5809147623706206,0.560772710496565,0.7047546012269938,0.6959355828220859,0.8541514277458191,0.8303965330123901,0.7871809296126041,0.7756155729063788,0.7985228600642712,0.7948968209704406
8,0.5743898749351501,0.5181153416633606,0.46982518984726573,0.43983945686914605,0.656058282208589,0.6482106339468302,0.82747483253479,0.8306461572647095,0.7725303502491014,0.7755857167146855,0.7909271837569383,0.7926792021884046
9,0.5921418070793152,0.581254780292511,0.5106490277106683,0.5149215378967861,0.6735429447852761,0.6770449897750511,0.830572783946991,0.8187634944915771,0.7751011703449423,0.7504357531274938,0.789849912357581,0.780648288317
