,model_pearsonHT29,model_pearsonA375,model_spearHT29,model_spearA375,model_accHT29,model_accA375,recon_pear_ht29,recon_pear_a375,recon_spear_ht29,recon_spear_a375,recon_acc_ht29,recon_acc_a375
0,0.7051286101341248,0.6155431270599365,0.6297975131504883,0.555952370408635,0.713982617586912,0.6934815950920246,0.876544713973999,0.8391113877296448,0.8174322433845117,0.7582699616205961,0.8083379810373675,0.7810582822085889
1,0.6736826300621033,0.6161938905715942,0.5639119938596553,0.5132821994869693,0.6920245398773007,0.6819274028629857,0.8577114343643188,0.8289530277252197,0.7927584955296967,0.746165315609347,0.7984383714445064,0.7774369461486026
2,0.7443166375160217,0.6711673736572266,0.6376889623902411,0.5746994480731777,0.7183026584867076,0.6998721881390593,0.8539291620254517,0.8502644896507263,0.794999436125995,0.778192550657306,0.798317531139617,0.7918711656441718
3,0.6711530089378357,0.612473726272583,0.5502987315861552,0.5233720284444396,0.6918456032719836,0.6843558282208588,0.8663661479949951,0.8283114433288574,0.7996463765793852,0.7420426279122891,0.801728945900725,0.7784253578732105
4,0.6842142343521118,0.6599646210670471,0.5660298974924345,0.5622371261003258,0.6978527607361963,0.6948108384458078,0.8712124824523926,0.8474122285842896,0.8203503621408114,0.765727806518907,0.8193437441903699,0.7863156100886163
5,0.6549139618873596,0.5919007062911987,0.5830890873255613,0.5312062491495138,0.7088445807770961,0.6833333333333333,0.8760824799537659,0.8466997146606445,0.8202060282441332,0.7805226101895608,0.8175962074735081,0.7972818677573279
6,0.6231374144554138,0.5168794989585876,0.5260315133814745,0.4784008418675696,0.6800102249488752,0.6604038854805726,0.884990394115448,0.8272141218185425,0.8254865323180102,0.7573934879728145,0.819250790109686,0.7831288343558283
7,0.654958188533783,0.5726134181022644,0.5976681173278864,0.530181649148718,0.7112218813905931,0.6846114519427402,0.8861600756645203,0.8189539313316345,0.8370248449294484,0.7543450523583336,0.829708124186652,0.7835293115201092
8,0.5965856909751892,0.49730148911476135,0.4930170515289444,0.4320318886557854,0.6670245398773005,0.6462934560327198,0.8649179339408875,0.8294423222541809,0.8073703118292826,0.7623453801207479,0.8103643799962821,0.7859918200408998
9,0.6130018830299377,0.5463114976882935,0.5332050370313339,0.4831279481078325,0.6824897750511247,0.6661298568507157,0.8673208355903625,0.8218383193016052,0.8093336743702058,0.7576405962413268,0.8079196876742888,0.7819700068166326
