,model_pearsonA375,model_spearA375,model_accA375,recon_pear_a375,recon_spear_a375,recon_acc_a375,Direct_pearson,Direct_spearman,DirectAcc_ht29,DirectAcc_a375
0,0.5459840297698975,0.4631960888216458,0.6612358715050565,0.8185886144638062,0.7463880356377847,0.7864655628263599,0.49128735065460205,0.4151903706567338,0.642982847511402,0.642982847511402
1,0.5833478569984436,0.45809190304106284,0.6651918500892325,0.821712076663971,0.7408891918466125,0.7820212836274704,0.44977280497550964,0.37370838092288994,0.63110499702558,0.63110499702558
2,0.6459618210792542,0.5451191390647286,0.6952062264525084,0.8384709358215332,0.7790096378730139,0.7999173772225527,0.46752122044563293,0.38020034327477603,0.6262790005948841,0.6262790005948841
3,0.5869114995002747,0.4698589540626747,0.6706623041840174,0.808064341545105,0.7375687113171894,0.779670665609095,0.4201890826225281,0.33817722758129615,0.6173755700971644,0.6173755700971644
4,0.6167065501213074,0.528435188502996,0.6887095974618284,0.8293846249580383,0.7569979434739461,0.7927465463679028,0.5349923968315125,0.41730942442906577,0.6468768590124926,0.6468768590124926
5,0.5610106587409973,0.4397649207698304,0.6537824707515367,0.8182222843170166,0.7686074682578031,0.7985160949170467,0.4142354726791382,0.36507086144076945,0.6263682331945271,0.6263682331945271
6,0.4787478446960449,0.3814761068155469,0.6274687685901249,0.8187691569328308,0.7666933222607449,0.7953995637517352,0.30587396025657654,0.2713862383736281,0.5905686099543923,0.5905686099543923
7,0.5682700872421265,0.43885197792070685,0.6538295657346817,0.8170487284660339,0.7678936531998908,0.796269581598255,0.45318472385406494,0.36913598746777254,0.6299672813801309,0.6299672813801309
8,0.4199989140033722,0.3339207164428812,0.6084176085663296,0.8119129538536072,0.7694609691722175,0.7976287262872629,0.3015519082546234,0.25471323340371976,0.5817345825897282,0.5817345825897282
9,0.5277286171913147,0.4243151710259463,0.6492316081697403,0.8048561215400696,0.7544848596411649,0.788474948773878,0.3816031515598297,0.30740572075347716,0.6040080309339679,0.6040080309339679
