,model_pearsonA375,model_spearA375,model_accA375,recon_pear_a375,recon_spear_a375,recon_acc_a375,Direct_pearson,Direct_spearman,DirectAcc_ht29,DirectAcc_a375
0,0.5802111625671387,0.498338638070648,0.6757981360301407,0.986034095287323,0.9766459012201222,0.9384038931852735,0.49128735065460205,0.4151903706567338,0.642982847511402,0.642982847511402
1,0.6017124652862549,0.46080776243961435,0.6671103509815586,0.9883880615234375,0.979012245261035,0.9412196774406768,0.44977280497550964,0.37370838092288994,0.63110499702558,0.63110499702558
2,0.6748630404472351,0.578589401739588,0.7083011104501289,0.9901964068412781,0.9837279665909286,0.9482558331680878,0.46752122044563293,0.38020034327477603,0.6262790005948841,0.6262790005948841
3,0.5928071737289429,0.4688958732790486,0.6702607574856236,0.9863777756690979,0.9771963580049441,0.9390731376825964,0.4201890826225281,0.33817722758129615,0.6173755700971644,0.6173755700971644
4,0.6629789471626282,0.5753755645948233,0.7088290699980171,0.9870662689208984,0.9779070722830965,0.9402976072443653,0.5349923968315125,0.41730942442906577,0.6468768590124926,0.6468768590124926
5,0.5582047700881958,0.4407872221674782,0.654518639698592,0.9833539724349976,0.974822616310354,0.9369299028356136,0.4142354726791382,0.36507086144076945,0.6263682331945271,0.6263682331945271
6,0.46152111887931824,0.37818647597915617,0.6266309736268095,0.983551561832428,0.9737394253861322,0.9345470619340339,0.30587396025657654,0.2713862383736281,0.5905686099543923,0.5905686099543923
7,0.5581620931625366,0.4443919730026426,0.6552870315288518,0.9834789633750916,0.973754416604273,0.9347205697666733,0.45318472385406494,0.36913598746777254,0.6299672813801309,0.6299672813801309
8,0.4183714985847473,0.3336445928347036,0.6076591314693636,0.9839205741882324,0.9757432642730538,0.9373909379337697,0.3015519082546234,0.25471323340371976,0.5817345825897282,0.5817345825897282
9,0.5424435138702393,0.44367014884863404,0.6586778703152885,0.9845403432846069,0.9776840689328161,0.9402240729724372,0.3816031515598297,0.30740572075347716,0.6040080309339679,0.6040080309339679
