,metric,DCS,DCS modified v1,DCS modified v2,similarity-trained Autoencoders,direct translation,GAN-based Autoencoders,TransCompR-combined and GAN-based Autoencoders
DCS,pearson,1.0,0.0010079762403767444,0.00018267179110955002,0.00018267179110955002,0.07566157214388704,0.00018267179110955002,0.00018267179110955002
DCS modified v1,pearson,0.0,1.0,0.21229383619233155,0.025748080821108063,0.00018267179110955002,0.04515456962427901,0.06402210128302689
DCS modified v2,pearson,0.0,0.0,1.0,0.6231762238821174,0.00018267179110955002,0.6775849579524755,0.7337299956962472
similarity-trained Autoencoders,pearson,0.0,0.0,0.0,1.0,0.00018267179110955002,0.9097218891455553,1.0
direct translation,pearson,0.0,0.0,0.0,0.0,1.0,0.00018267179110955002,0.00018267179110955002
GAN-based Autoencoders,pearson,0.0,0.0,0.0,0.0,0.0,1.0,0.8501067391385259
TransCompR-combined and GAN-based Autoencoders,pearson,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DCS,spearman,1.0,0.00032983852077799353,0.00018267179110955002,0.00018267179110955002,0.031209012771740218,0.00018267179110955002,0.00024612812790522973
DCS modified v1,spearman,0.0,1.0,0.3447042220069576,0.3447042220069576,0.00018267179110955002,0.5707503880581739,0.4273553138978077
DCS modified v2,spearman,0.0,0.0,1.0,0.8501067391385259,0.00018267179110955002,0.9698499769931556,1.0
similarity-trained Autoencoders,spearman,0.0,0.0,0.0,1.0,0.00018267179110955002,0.9097218891455553,0.7913367801006604
direct translation,spearman,0.0,0.0,0.0,0.0,1.0,0.00018267179110955002,0.00018267179110955002
GAN-based Autoencoders,spearman,0.0,0.0,0.0,0.0,0.0,1.0,0.7337299956962472
TransCompR-combined and GAN-based Autoencoders,spearman,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DCS,accuracy,1.0,0.0013149446697132139,0.00024612812790522973,0.00018267179110955002,0.04515456962427901,0.00024612812790522973,0.0005828399431792743
DCS modified v1,accuracy,0.0,1.0,0.27303633975118835,0.3074894566186813,0.00018267179110955002,0.5205228832757727,0.4273553138978077
DCS modified v2,accuracy,0.0,0.0,1.0,1.0,0.00018267179110955002,0.9097218891455553,0.8501067391385259
similarity-trained Autoencoders,accuracy,0.0,0.0,0.0,1.0,0.00018267179110955002,0.9698499769931556,0.7337299956962472
direct translation,accuracy,0.0,0.0,0.0,0.0,1.0,0.00018267179110955002,0.00018267179110955002
GAN-based Autoencoders,accuracy,0.0,0.0,0.0,0.0,0.0,1.0,0.7913367801006604
TransCompR-combined and GAN-based Autoencoders,accuracy,0.0,0.0,0.0,0.0,0.0,0.0,1.0
