,F1_score,ClassAccuracy,model_pearsonHT29,model_pearsonA375,model_spearHT29,model_spearA375,model_accHT29,model_accA375,recon_pear_ht29,recon_pear_a375,recon_spear_ht29,recon_spear_a375,recon_acc_ht29,recon_acc_a375,Direct_pearson,Direct_spearman,DirectAcc_ht29,DirectAcc_a375
0,1.0,1.0,0.7484808564186096,0.6733417510986328,0.6620728857898823,0.6046822519341928,0.7327965235173824,0.7175102249488752,0.831325888633728,0.8061531186103821,0.7774269494131536,0.7379341845125206,0.797824874511991,0.7772154055896386,0.5206855535507202,0.46303116864283284,0.6627300613496933,0.6627300613496933
1,1.0,1.0,0.6956961750984192,0.6721383929252625,0.5810357844813319,0.5669824719443571,0.7025306748466258,0.7025562372188139,0.8169904351234436,0.7898679375648499,0.7504844048329965,0.7045390276692065,0.7860568878973786,0.7643745739604635,0.4794166088104248,0.4203035512506793,0.6498466257668711,0.6498466257668711
2,1.0,1.0,0.7646355032920837,0.7304056286811829,0.6618589410801019,0.6479496701827787,0.7305725971370143,0.7311605316973415,0.7906204462051392,0.8150078058242798,0.7265765277441352,0.7466539879047057,0.7708403048893847,0.7797716428084527,0.5004222393035889,0.43260756175577236,0.644836400817996,0.644836400817996
3,1.0,1.0,0.7185727953910828,0.66925448179245,0.6041237934501004,0.5741808708756334,0.717101226993865,0.7045245398773006,0.8126679062843323,0.8030636310577393,0.7430984370807372,0.7221540332792178,0.782515337423313,0.7724352419904567,0.44552382826805115,0.39339340574144455,0.6358895705521472,0.6358895705521472
4,1.0,1.0,0.7467969059944153,0.6985621452331543,0.6272612893640133,0.6133574574132992,0.7201175869120655,0.7121932515337424,0.8359578847885132,0.8110647797584534,0.7811099940824097,0.7344166726101641,0.805763153002417,0.776593387866394,0.5428716540336609,0.44250330575762253,0.6531441717791411,0.6531441717791411
5,1.0,1.0,0.6803497076034546,0.6370077133178711,0.6085841468475048,0.5594565488031591,0.722060327198364,0.6971370143149285,0.8319593071937561,0.8110532164573669,0.7733857305608188,0.7454938747382697,0.8040249116936234,0.7850630538513974,0.45602622628211975,0.4331634256700152,0.6545245398773006,0.6545245398773006
6,1.0,1.0,0.6645179390907288,0.5763983726501465,0.5640260559132406,0.5189730359854686,0.6946063394683026,0.6803680981595093,0.8287902474403381,0.7894855737686157,0.7714455499958066,0.7222037272718632,0.8000650678564788,0.7718813905930471,0.3912511467933655,0.35391626058167847,0.6184049079754601,0.6184049079754601
7,1.0,1.0,0.7108097672462463,0.6257370710372925,0.6419906820130951,0.58465700332516,0.7262525562372188,0.7081799591002045,0.836766242980957,0.7676568627357483,0.7803335326433518,0.6934124216528381,0.8083100948131622,0.7593558282208588,0.4556507170200348,0.433181901263805,0.6524284253578732,0.6524284253578732
8,1.0,1.0,0.6290941834449768,0.566340446472168,0.49826693361418045,0.4794796398434887,0.6677658486707566,0.6615286298568507,0.7966259717941284,0.792136013507843,0.7358752917559644,0.7354580850727096,0.7790016731734523,0.7802402862985685,0.3736864924430847,0.33768846174922024,0.6101482617586912,0.6101482617586912
9,1.0,1.0,0.6406837701797485,0.5999090075492859,0.5515357654691775,0.54761512394696,0.6877811860940695,0.6959867075664621,0.8080066442489624,0.7853083610534668,0.7474839080101711,0.7357326439271253,0.7825897006878603,0.7790473755964553,0.4139716327190399,0.372399279128891,0.6288087934560327,0.6288087934560327
