,F1_score,ClassAccuracy,model_pearsonHT29,model_pearsonA375,model_spearHT29,model_spearA375,model_accHT29,model_accA375,recon_pear_ht29,recon_pear_a375,recon_spear_ht29,recon_spear_a375,recon_acc_ht29,recon_acc_a375,Direct_pearson,Direct_spearman,DirectAcc_ht29,DirectAcc_a375
0,1.0,1.0,0.7337580323219299,0.6546912789344788,0.6418326575402065,0.5951541918781654,0.7224437627811862,0.7115030674846625,0.8267840147018433,0.8031284809112549,0.772760464831332,0.7341619229281046,0.7950083658672616,0.7743779822767554,0.5206855535507202,0.46303116864283284,0.6627300613496933,0.6627300613496933
1,0.967479674796748,0.9652173913043478,0.6793277263641357,0.6844439506530762,0.5633337821614457,0.5702581468421809,0.6970092024539877,0.7066462167689161,0.8186960220336914,0.7953278422355652,0.7517522989875953,0.7251232131606017,0.7853132552519055,0.7729890933878665,0.4794166088104248,0.4203035512506793,0.6498466257668711,0.6498466257668711
2,1.0,1.0,0.7838161587715149,0.7269436120986938,0.6772455035561229,0.6542942511023462,0.7381901840490798,0.7315950920245399,0.7966318726539612,0.8132364749908447,0.7355521959812882,0.7479758361259662,0.7775515895147798,0.7814758009543286,0.5004222393035889,0.43260756175577236,0.644836400817996,0.644836400817996
3,1.0,1.0,0.6986365914344788,0.6638637185096741,0.564603850956392,0.5754183744168947,0.7006390593047035,0.7060071574642126,0.8072642683982849,0.8017256855964661,0.7334351508215453,0.7253154175599911,0.778090723182748,0.7737815269256987,0.44552382826805115,0.39339340574144455,0.6358895705521472,0.6358895705521472
4,1.0,1.0,0.730870246887207,0.6922101974487305,0.6156441556370253,0.5978739815181161,0.7193507157464213,0.7071830265848671,0.8327321410179138,0.8127809762954712,0.7814924114398322,0.7378803656580353,0.8075292805354154,0.7780674846625767,0.5428716540336609,0.44250330575762253,0.6531441717791411,0.6531441717791411
5,0.9427312775330396,0.9434782608695652,0.6883291006088257,0.644157350063324,0.6006825080899009,0.5617605106969177,0.7178169734151328,0.6985940695296524,0.8227402567863464,0.815146803855896,0.767122059018765,0.7584513531981749,0.8003160438743259,0.7928936605316974,0.45602622628211975,0.4331634256700152,0.6545245398773006,0.6545245398773006
6,0.9836065573770492,0.9826086956521739,0.6796689629554749,0.5898951888084412,0.5611421635454162,0.5120990119885799,0.6942229038854806,0.6741053169734151,0.8292199969291687,0.7968515157699585,0.7714398885742415,0.734908497526466,0.8028165086447295,0.7780674846625767,0.3912511467933655,0.35391626058167847,0.6184049079754601,0.6184049079754601
7,0.995850622406639,0.9956521739130435,0.7350581288337708,0.6567105054855347,0.6683469243444317,0.6080589088272309,0.7407464212678936,0.7168456032719837,0.8409014344215393,0.7941996455192566,0.7917776545324119,0.7452330905740252,0.813915225878416,0.7858384458077711,0.4556507170200348,0.433181901263805,0.6524284253578732,0.6524284253578732
8,1.0,1.0,0.6342477202415466,0.549005389213562,0.5067461695947071,0.4648458237216757,0.6700920245398774,0.657898773006135,0.8138672113418579,0.7953230738639832,0.7651924460696319,0.7430867169624312,0.794794571481688,0.7840576005453307,0.3736864924430847,0.33768846174922024,0.6101482617586912,0.6101482617586912
9,1.0,1.0,0.6429954767227173,0.6206007599830627,0.5649430391256024,0.5637420908553862,0.6956288343558282,0.7015848670756646,0.8056725859642029,0.7828525900840759,0.7441463825400658,0.738440389053175,0.7801914854062092,0.7802317655078391,0.4139716327190399,0.372399279128891,0.6288087934560327,0.6288087934560327
