,model_pearsonPC3,model_spearPC3,model_accPC3,recon_pear_pc3,recon_spear_pc3,recon_acc_pc3,Direct_pearson,Direct_spearman,DirectAcc_ha1e,DirectAcc_pc3
0,0.4583148658275604,0.37733637687217864,0.6279090728823031,0.8645579218864441,0.8468424161639045,0.8368365390970983,0.2947435975074768,0.27606533295265984,0.5935379974642319,0.5935379974642319
1,0.45559731125831604,0.37562089821849615,0.6321033055119908,0.8682498335838318,0.8359275248815936,0.8309753804357357,0.3503803312778473,0.31528465636093594,0.6098762761463534,0.6098762761463534
2,0.509122908115387,0.4006677388465874,0.636018122930675,0.8508095741271973,0.828078817880039,0.8254035701133516,0.337028831243515,0.28246581885320887,0.5944423413192003,0.5944423413192003
3,0.4815027117729187,0.39433623004135065,0.6366911230087909,0.86859130859375,0.8587768801710086,0.8491429488710018,0.3484990894794464,0.3127216656515044,0.6076109098119805,0.6076109098119805
4,0.5531161427497864,0.457211981814685,0.6603632998635973,0.8921604752540588,0.8691674211066184,0.8530366737216402,0.3832576274871826,0.3137478586997966,0.6117841111892273,0.6117841111892273
5,0.47184327244758606,0.39065849279535475,0.6315114259790048,0.8845750093460083,0.8637454709577586,0.8483187445114869,0.32032957673072815,0.2592670257481762,0.5859216796159092,0.5859216796159092
6,0.4533310532569885,0.374895145040625,0.6255625860028001,0.879463791847229,0.8618443147996222,0.8467479000325094,0.2690584659576416,0.22449735544117713,0.5745287497220869,0.5745287497220869
7,0.3967047333717346,0.33392814129386716,0.6104471244268984,0.872754693031311,0.8619518391419971,0.8482351100265607,0.3091377913951874,0.26040072529378133,0.589316724652834,0.589316724652834
8,0.3923499882221222,0.3184958274265017,0.6019174493297039,0.8775715231895447,0.8597928340564527,0.8460612878901312,0.2982670068740845,0.2527786197678285,0.5835902150595785,0.5835902150595785
9,0.44773074984550476,0.36218425623542255,0.614364946310217,0.852990984916687,0.8366502098248915,0.8302577425973364,0.2685238718986511,0.23090945748852568,0.5720290351462273,0.5720290351462273
